Zeitstempel: 2020-09-05T17:05:54.965  ///  Zu vergleichendes Bild: Rad10
Distanz zwischen Rad10 und Landschaft07_rot => 176.2224478346
Distanz zwischen Rad10 und Landschaft09 => 2609.1958641981582
Distanz zwischen Rad10 und Landschaft09_bw => 2228.2960500998565
Distanz zwischen Rad10 und Landschaft09_mir => 2187.2960766992596
Distanz zwischen Rad10 und Landschaft09_rot => 1557.0282006476868
Distanz zwischen Rad10 und Landschaft10 => 328.34511003556327
Distanz zwischen Rad10 und Landschaft10_bw => 633.0697746763279
Distanz zwischen Rad10 und Landschaft10_mir => 433.7379068537788
Distanz zwischen Rad10 und Landschaft10_rot => 493.5306257965471
Distanz zwischen Rad10 und Mensch01 => 15752.306184294064
Distanz zwischen Rad10 und Mensch01_bw => 15556.518989053337
Distanz zwischen Rad10 und Mensch01_mir => 15752.568923004597
Distanz zwischen Rad10 und Mensch01_rot => 6445.093197119812
Distanz zwischen Rad10 und Mensch02 => 890.0122389233377
Distanz zwischen Rad10 und Mensch02_bw => 839.7081094363191
Distanz zwischen Rad10 und Mensch02_mir => 885.4471497589233
Distanz zwischen Rad10 und Mensch02_rot => 992.7460465079287
Distanz zwischen Rad10 und Mensch03 => 605.0293618596721
Distanz zwischen Rad10 und Mensch03_bw => 261.74232550894817
Distanz zwischen Rad10 und Mensch03_mir => 603.1981090652589
Distanz zwischen Rad10 und Mensch03_rot => 555.6826118223648
Distanz zwischen Rad10 und Mensch04 => 2816.9466384815537
Distanz zwischen Rad10 und Mensch05 => 2991.7716859042034
Distanz zwischen Rad10 und Mensch05_bw => 3458.376215174599
Distanz zwischen Rad10 und Mensch05_mir => 2991.6634691240897
Distanz zwischen Rad10 und Mensch05_rot => 1839.735130356087
Distanz zwischen Rad10 und Mensch06 => 523.5374240813485
Distanz zwischen Rad10 und Mensch06_bw => 523.4455967102135
Distanz zwischen Rad10 und Mensch06_mir => 522.7902391595608
Distanz zwischen Rad10 und Mensch06_rot => 475.5564803673597
Distanz zwischen Rad10 und Mensch07 => 2567.75934785417
Distanz zwischen Rad10 und Mensch07_bw => 2171.678444058937
Distanz zwischen Rad10 und Mensch07_mir => 2567.573076108406
Distanz zwischen Rad10 und Mensch07_rot => 894.8179976872532
Distanz zwischen Rad10 und Mensch08 => 3007.592201558231
Distanz zwischen Rad10 und Mensch08_bw => 2243.530234485018
Distanz zwischen Rad10 und Mensch08_mir => 3205.284662199938
Distanz zwischen Rad10 und Mensch08_rot => 22.9034553973252
Distanz zwischen Rad10 und Mensch09 => 659.7444064418734
Distanz zwischen Rad10 und Mensch09_bw => 334.6018837733437
Distanz zwischen Rad10 und Mensch09_mir => 659.8433299258542
Distanz zwischen Rad10 und Mensch09_rot => 1232.5291893819879
Distanz zwischen Rad10 und Mensch10 => 8939.939271531255
Distanz zwischen Rad10 und Mensch10_bw => 8338.998623694873
Distanz zwischen Rad10 und Mensch10_mir => 9246.23200794251
Distanz zwischen Rad10 und Mensch10_rot => 6145.255278633536
Distanz zwischen Rad10 und Pferd01 => 1604.0924015270564
Distanz zwischen Rad10 und Pferd01_bw => 2454.863063737729
Distanz zwischen Rad10 und Pferd01_mir => 1604.2437447089333
Distanz zwischen Rad10 und Pferd01_rot => 229.42256698138112
Distanz zwischen Rad10 und Pferd02 => 304.7154436880794
Distanz zwischen Rad10 und Pferd02_bw => 120.45358236943693
Distanz zwischen Rad10 und Pferd02_mir => 304.81589968877176
Distanz zwischen Rad10 und Pferd02_rot => 256.0702347161941
Distanz zwischen Rad10 und Pferd03 => 132.82710832291838
Distanz zwischen Rad10 und Pferd03_bw => 71.8463335585884
Distanz zwischen Rad10 und Pferd03_mir => 132.8216325334023
Distanz zwischen Rad10 und Pferd03_rot => 984.0182650439991
Distanz zwischen Rad10 und Pferd04 => 622.4446135141818
Distanz zwischen Rad10 und Pferd04_bw => 621.3190008665362
Distanz zwischen Rad10 und Pferd04_mir => 622.4578004410854
Distanz zwischen Rad10 und Pferd04_rot => 622.1970604511861
Distanz zwischen Rad10 und Pferd05 => 394.4976492325374
Distanz zwischen Rad10 und Pferd05_bw => 394.4983748144763
Distanz zwischen Rad10 und Pferd05_mir => 389.6617659107888
Distanz zwischen Rad10 und Pferd05_rot => 32.353598491329365
Distanz zwischen Rad10 und Pferd06 => 752.3379452851253
Distanz zwischen Rad10 und Pferd06_bw => 754.2618688585704
