Zeitstempel: 2020-09-22T23:18:21.246  ///  Zu vergleichendes Bild: Pferd06
Distanz zwischen Pferd06 und Landschaft09_mir => 137596.416
Distanz zwischen Pferd06 und Landschaft09_rot => 137598.77120000002
Distanz zwischen Pferd06 und Landschaft10 => 137601.9456
Distanz zwischen Pferd06 und Landschaft10_bw => 137596.0064
Distanz zwischen Pferd06 und Landschaft10_mir => 137602.56
Distanz zwischen Pferd06 und Landschaft10_rot => 137598.0544
Distanz zwischen Pferd06 und Mensch01 => 137603.3792
Distanz zwischen Pferd06 und Mensch01_bw => 137597.5424
Distanz zwischen Pferd06 und Mensch01_mir => 137596.928
Distanz zwischen Pferd06 und Mensch01_rot => 137598.66879999998
Distanz zwischen Pferd06 und Mensch02 => 137601.7408
Distanz zwischen Pferd06 und Mensch02_bw => 137602.86719999998
Distanz zwischen Pferd06 und Mensch02_mir => 137601.7408
Distanz zwischen Pferd06 und Mensch02_rot => 137599.8976
Distanz zwischen Pferd06 und Mensch03 => 137597.44
Distanz zwischen Pferd06 und Mensch03_bw => 137598.0544
Distanz zwischen Pferd06 und Mensch03_mir => 137597.44
Distanz zwischen Pferd06 und Mensch03_rot => 137600.0
Distanz zwischen Pferd06 und Mensch04 => 137603.6864
Distanz zwischen Pferd06 und Mensch05 => 137598.464
Distanz zwischen Pferd06 und Mensch05_bw => 137597.3376
Distanz zwischen Pferd06 und Mensch05_mir => 137597.3376
Distanz zwischen Pferd06 und Mensch05_rot => 137601.8432
Distanz zwischen Pferd06 und Mensch06 => 137596.7232
Distanz zwischen Pferd06 und Mensch06_bw => 137596.21120000002
Distanz zwischen Pferd06 und Mensch06_mir => 137603.17440000002
Distanz zwischen Pferd06 und Mensch06_rot => 137598.8736
Distanz zwischen Pferd06 und Mensch07 => 137603.6864
Distanz zwischen Pferd06 und Mensch07_bw => 137596.1088
Distanz zwischen Pferd06 und Mensch07_mir => 137604.3008
Distanz zwischen Pferd06 und Mensch07_rot => 137603.584
Distanz zwischen Pferd06 und Mensch08 => 137600.1024
Distanz zwischen Pferd06 und Mensch08_bw => 137600.1024
Distanz zwischen Pferd06 und Mensch08_mir => 137599.5904
Distanz zwischen Pferd06 und Mensch08_rot => 137600.6144
Distanz zwischen Pferd06 und Mensch09 => 137597.74719999998
Distanz zwischen Pferd06 und Mensch09_bw => 137598.2592
Distanz zwischen Pferd06 und Mensch09_mir => 137600.7168
Distanz zwischen Pferd06 und Mensch09_rot => 137600.30719999998
Distanz zwischen Pferd06 und Mensch10 => 137600.8192
Distanz zwischen Pferd06 und Mensch10_bw => 137603.17440000002
Distanz zwischen Pferd06 und Mensch10_mir => 137596.82559999998
Distanz zwischen Pferd06 und Mensch10_rot => 137597.0304
Distanz zwischen Pferd06 und Pferd01 => 137595.6992
Distanz zwischen Pferd06 und Pferd01_bw => 137600.2048
Distanz zwischen Pferd06 und Pferd01_mir => 137597.44
Distanz zwischen Pferd06 und Pferd01_rot => 137597.952
Distanz zwischen Pferd06 und Pferd02 => 137596.6208
Distanz zwischen Pferd06 und Pferd02_bw => 137600.1024
Distanz zwischen Pferd06 und Pferd02_mir => 137600.8192
Distanz zwischen Pferd06 und Pferd02_rot => 137600.0
Distanz zwischen Pferd06 und Pferd03 => 137603.37920000002
Distanz zwischen Pferd06 und Pferd03_bw => 137600.3072
Distanz zwischen Pferd06 und Pferd03_mir => 137596.928
Distanz zwischen Pferd06 und Pferd03_rot => 137597.84960000002
Distanz zwischen Pferd06 und Pferd04 => 137603.072
Distanz zwischen Pferd06 und Pferd04_bw => 137602.86719999998
Distanz zwischen Pferd06 und Pferd04_mir => 137600.7168
Distanz zwischen Pferd06 und Pferd04_rot => 137597.84960000002
Distanz zwischen Pferd06 und Pferd05 => 137597.84960000002
Distanz zwischen Pferd06 und Pferd05_bw => 137597.13280000002
Distanz zwischen Pferd06 und Pferd05_mir => 137599.5904
Distanz zwischen Pferd06 und Pferd05_rot => 137598.5664
Distanz zwischen Pferd06 und Pferd06 => 0.0
Distanz zwischen Pferd06 und Pferd06_bw => 137603.07200000001
Distanz zwischen Pferd06 und Pferd06_mir => 137598.97600000002
Distanz zwischen Pferd06 und Pferd06_rot => 137599.0784
Distanz zwischen Pferd06 und Pferd07 => 137601.024
Distanz zwischen Pferd06 und Pferd07_bw => 137597.1328
Distanz zwischen Pferd06 und Pferd07_mir => 137599.2832
Distanz zwischen Pferd06 und Pferd07_rot => 137602.048
Distanz zwischen Pferd06 und Pferd08 => 137599.2832
Distanz zwischen Pferd06 und Pferd08_bw => 137596.21120000002
Distanz zwischen Pferd06 und Pferd08_mir => 137601.6384
Distanz zwischen Pferd06 und Pferd08_rot => 137604.1984
Distanz zwischen Pferd06 und Pferd09 => 137595.6992
Distanz zwischen Pferd06 und Pferd09_bw => 137596.21120000002
Distanz zwischen Pferd06 und Pferd09_mir => 137602.15039999998
Distanz zwischen Pferd06 und Pferd09_rot => 137600.4096
Distanz zwischen Pferd06 und Pferd10 => 137603.2768
Distanz zwischen Pferd06 und Pferd10_bw => 137600.9216
Distanz zwischen Pferd06 und Pferd10_mir => 137599.1808
Distanz zwischen Pferd06 und Pferd10_rot => 137604.09600000002
Distanz zwischen Pferd06 und Rad01 => 267461.04217599996
Distanz zwischen Pferd06 und Rad01_bw => 267004.698624
Distanz zwischen Pferd06 und Rad01_mir => 267461.04217599996
Distanz zwischen Pferd06 und Rad01_rot => 243644.796928
Distanz zwischen Pferd06 und Rad03 => 231289.36448
Distanz zwischen Pferd06 und Rad03_bw => 229182.406656
Distanz zwischen Pferd06 und Rad03_mir => 231289.36448
Distanz zwischen Pferd06 und Rad03_rot => 208959.32416
Distanz zwischen Pferd06 und Rad04 => 224581.799936
Distanz zwischen Pferd06 und Rad04_bw => 223424.585728
Distanz zwischen Pferd06 und Rad04_mir => 224581.799936
Distanz zwischen Pferd06 und Rad04_rot => 203519.05792
Distanz zwischen Pferd06 und Rad05 => 250630.610944
Distanz zwischen Pferd06 und Rad06 => 285049.110528
Distanz zwischen Pferd06 und Rad07 => 240895.7952
Distanz zwischen Pferd06 und Rad07_bw => 240647.5776
Distanz zwischen Pferd06 und Rad07_mir => 240895.7952
Distanz zwischen Pferd06 und Rad07_rot => 222138.216448
Distanz zwischen Pferd06 und Rad08 => 244286.636032
Distanz zwischen Pferd06 und Rad08_bw => 245564.66176
Distanz zwischen Pferd06 und Rad08_mir => 244286.636032
Distanz zwischen Pferd06 und Rad08_rot => 226370.768896
Distanz zwischen Pferd06 und Rad09 => 232068.66944
Distanz zwischen Pferd06 und Rad09_bw => 229882.404864
Distanz zwischen Pferd06 und Rad09_mir => 232068.66944
Distanz zwischen Pferd06 und Rad09_rot => 214208.364544
Distanz zwischen Pferd06 und Rad10 => 137600.512
Distanz zwischen Pferd06 und Rad10_bw => 137596.6208
Distanz zwischen Pferd06 und Rad10_mir => 137601.1264
Distanz zwischen Pferd06 und Rad10_rot => 137604.09600000002
Distanz zwischen Pferd06 und Schaf01 => 155716.562944
Distanz zwischen Pferd06 und Schaf01_bw => 154626.99008
Distanz zwischen Pferd06 und Schaf01_mir => 156100.243456
Distanz zwischen Pferd06 und Schaf01_rot => 137599.7952
Distanz zwischen Pferd06 und Schaf02 => 137603.4816
Distanz zwischen Pferd06 und Schaf03 => 137597.84960000002
Distanz zwischen Pferd06 und Schaf03_bw => 137598.0544
Distanz zwischen Pferd06 und Schaf03_mir => 137597.84960000002
Distanz zwischen Pferd06 und Schaf03_rot => 137598.2592
Distanz zwischen Pferd06 und Schaf04 => 137595.90399999998
Distanz zwischen Pferd06 und Schaf04_bw => 137600.8192
Distanz zwischen Pferd06 und Schaf04_mir => 137595.90399999998
Distanz zwischen Pferd06 und Schaf04_rot => 137602.048
Distanz zwischen Pferd06 und Schaf06 => 137601.4336
Distanz zwischen Pferd06 und Schaf06_bw => 137603.4816
Distanz zwischen Pferd06 und Schaf06_mir => 137601.4336
Distanz zwischen Pferd06 und Schaf06_rot => 137595.90399999998
Distanz zwischen Pferd06 und Schaf07 => 137600.30719999998
Distanz zwischen Pferd06 und Schaf07_bw => 137603.4816
