Zeitstempel: 2020-09-23T09:20:08.656  ///  Zu vergleichendes Bild: Bike01

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike01 und Auto01 => 204352.262144
Distanz zwischen Bike01 und Auto01_bw => 203138.646016
Distanz zwischen Bike01 und Auto01_mir => 204352.262144
Distanz zwischen Bike01 und Auto01_rot => 180740.11238399998
Distanz zwischen Bike01 und Auto02 => 175744.229376
Distanz zwischen Bike01 und Auto02_bw => 176644.34175999998
Distanz zwischen Bike01 und Auto02_mir => 175744.229376
Distanz zwischen Bike01 und Auto02_rot => 154627.94854399998
Distanz zwischen Bike01 und Auto03 => 93311.96723200001
Distanz zwischen Bike01 und Auto03_bw => 92798.7712
Distanz zwischen Bike01 und Auto03_mir => 93311.96723200001
Distanz zwischen Bike01 und Auto03_rot => 84226.686976
Distanz zwischen Bike01 und Auto04 => 119292.936192
Distanz zwischen Bike01 und Auto04_bw => 121088.80281600001
Distanz zwischen Bike01 und Auto04_mir => 119292.936192
Distanz zwischen Bike01 und Auto04_rot => 106691.223552
Distanz zwischen Bike01 und Auto05 => 177857.16736000002
Distanz zwischen Bike01 und Auto05_bw => 178879.56991999998
Distanz zwischen Bike01 und Auto05_mir => 177857.16736000002
Distanz zwischen Bike01 und Auto05_rot => 160642.00704
Distanz zwischen Bike01 und Auto06 => 175491.23583999998
Distanz zwischen Bike01 und Auto06_bw => 175491.23583999998
Distanz zwischen Bike01 und Auto06_mir => 175491.23583999998
Distanz zwischen Bike01 und Auto06_rot => 157888.495616
Distanz zwischen Bike01 und Auto07 => 147647.488
Distanz zwischen Bike01 und Auto08 => 131710.959616
Distanz zwischen Bike01 und Auto08_bw => 128899.145728
Distanz zwischen Bike01 und Auto08_mir => 131710.959616
Distanz zwischen Bike01 und Auto08_rot => 116674.011136
Distanz zwischen Bike01 und Auto09 => 130944.262144
Distanz zwischen Bike01 und Auto09_bw => 132418.88767999999
Distanz zwischen Bike01 und Auto09_mir => 130944.262144
Distanz zwischen Bike01 und Auto09_rot => 115522.60096
Distanz zwischen Bike01 und Auto10 => 160832.135168
Distanz zwischen Bike01 und Auto10_bw => 160190.775296
Distanz zwischen Bike01 und Auto10_mir => 160772.21068800002
Distanz zwischen Bike01 und Auto10_rot => 139967.96723200002
Distanz zwischen Bike01 und Bike01 => 0.0
Distanz zwischen Bike01 und Bike01_bw => 68801.3312
Distanz zwischen Bike01 und Bike01_mir => 67391.30368
Distanz zwischen Bike01 und Bike01_rot => 67330.023424
Distanz zwischen Bike01 und Bike02 => 162108.46515200002
Distanz zwischen Bike01 und Bike02_bw => 162555.24864
Distanz zwischen Bike01 und Bike02_mir => 162237.70624
Distanz zwischen Bike01 und Bike02_rot => 131395.56761600001
Distanz zwischen Bike01 und Bike03 => 88834.392064
Distanz zwischen Bike01 und Bike03_bw => 89984.188416
Distanz zwischen Bike01 und Bike03_mir => 88834.392064
Distanz zwischen Bike01 und Bike03_rot => 72449.114112
Distanz zwischen Bike01 und Bike04 => 143871.492096
Distanz zwischen Bike01 und Bike04_bw => 142719.30368
Distanz zwischen Bike01 und Bike04_mir => 143871.492096
