Zeitstempel: 2020-09-23T01:01:52.116  ///  Zu vergleichendes Bild: Schaf03
Distanz zwischen Schaf03 und Landschaft09_mir => 80703.954944
Distanz zwischen Schaf03 und Landschaft09_rot => 80704.024576
Distanz zwischen Schaf03 und Landschaft10 => 80704.339968
Distanz zwischen Schaf03 und Landschaft10_bw => 80704.806912
Distanz zwischen Schaf03 und Landschaft10_mir => 80702.087168
Distanz zwischen Schaf03 und Landschaft10_rot => 80701.81273599999
Distanz zwischen Schaf03 und Mensch01 => 105918.5664
Distanz zwischen Schaf03 und Mensch01_bw => 105598.0544
Distanz zwischen Schaf03 und Mensch01_mir => 105853.227008
Distanz zwischen Schaf03 und Mensch01_rot => 84030.988288
Distanz zwischen Schaf03 und Mensch02 => 80704.577536
Distanz zwischen Schaf03 und Mensch02_bw => 80705.937408
Distanz zwischen Schaf03 und Mensch02_mir => 80704.577536
Distanz zwischen Schaf03 und Mensch02_rot => 80702.271488
Distanz zwischen Schaf03 und Mensch03 => 80704.749568
Distanz zwischen Schaf03 und Mensch03_bw => 80702.496768
Distanz zwischen Schaf03 und Mensch03_mir => 80704.749568
Distanz zwischen Schaf03 und Mensch03_rot => 80705.36806400001
Distanz zwischen Schaf03 und Mensch04 => 97538.748416
Distanz zwischen Schaf03 und Mensch05 => 91455.700992
Distanz zwischen Schaf03 und Mensch05_bw => 91008.438272
Distanz zwischen Schaf03 und Mensch05_mir => 91008.438272
Distanz zwischen Schaf03 und Mensch05_rot => 81791.184896
Distanz zwischen Schaf03 und Mensch06 => 80703.905792
Distanz zwischen Schaf03 und Mensch06_bw => 80705.458176
Distanz zwischen Schaf03 und Mensch06_mir => 80701.886464
Distanz zwischen Schaf03 und Mensch06_rot => 80703.42655999999
Distanz zwischen Schaf03 und Mensch07 => 86526.242816
Distanz zwischen Schaf03 und Mensch07_bw => 86015.65184
Distanz zwischen Schaf03 und Mensch07_mir => 86274.420736
Distanz zwischen Schaf03 und Mensch07_rot => 80702.984192
