Zeitstempel: 2020-09-22T23:57:05.086  ///  Zu vergleichendes Bild: Rad03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Rad03 und Auto01 => 231298.64191999997
Distanz zwischen Rad03 und Auto01_bw => 231300.80051199996
Distanz zwischen Rad03 und Auto01_mir => 231298.64191999997
Distanz zwischen Rad03 und Auto01_rot => 231289.143296
Distanz zwischen Rad03 und Auto02 => 231292.551168
Distanz zwischen Rad03 und Auto02_bw => 231299.530752
Distanz zwischen Rad03 und Auto02_mir => 231292.551168
Distanz zwischen Rad03 und Auto02_rot => 231288.75008
Distanz zwischen Rad03 und Auto03 => 231301.758976
Distanz zwischen Rad03 und Auto03_bw => 231295.655936
Distanz zwischen Rad03 und Auto03_mir => 231301.758976
Distanz zwischen Rad03 und Auto03_rot => 231300.75136
Distanz zwischen Rad03 und Auto04 => 231296.925696
Distanz zwischen Rad03 und Auto04_bw => 231296.08191999997
Distanz zwischen Rad03 und Auto04_mir => 231296.925696
Distanz zwischen Rad03 und Auto04_rot => 231292.817408
Distanz zwischen Rad03 und Auto05 => 231297.37216
Distanz zwischen Rad03 und Auto05_bw => 231294.775296
Distanz zwischen Rad03 und Auto05_mir => 231297.37216
Distanz zwischen Rad03 und Auto05_rot => 231297.548288
Distanz zwischen Rad03 und Auto06 => 231296.90112
Distanz zwischen Rad03 und Auto06_bw => 231296.90112
Distanz zwischen Rad03 und Auto06_mir => 231296.90112
Distanz zwischen Rad03 und Auto06_rot => 231296.200704
Distanz zwischen Rad03 und Auto07 => 231292.563456
Distanz zwischen Rad03 und Auto08 => 231300.59571199998
Distanz zwischen Rad03 und Auto08_bw => 231289.23340799997
Distanz zwischen Rad03 und Auto08_mir => 231300.59571199998
Distanz zwischen Rad03 und Auto08_rot => 231300.80460799998
Distanz zwischen Rad03 und Auto09 => 231298.84262399998
Distanz zwischen Rad03 und Auto09_bw => 231292.33407999997
Distanz zwischen Rad03 und Auto09_mir => 231298.84262399998
Distanz zwischen Rad03 und Auto09_rot => 231298.17497599998
Distanz zwischen Rad03 und Auto10 => 231297.98656
Distanz zwischen Rad03 und Auto10_bw => 231301.459968
Distanz zwischen Rad03 und Auto10_mir => 231302.774784
Distanz zwischen Rad03 und Auto10_rot => 231289.83552
Distanz zwischen Rad03 und Bike01 => 231291.78931199998
Distanz zwischen Rad03 und Bike01_bw => 231300.083712
Distanz zwischen Rad03 und Bike01_mir => 231301.804032
Distanz zwischen Rad03 und Bike01_rot => 231295.066112
Distanz zwischen Rad03 und Bike02 => 231291.039744
Distanz zwischen Rad03 und Bike02_bw => 231301.931008
Distanz zwischen Rad03 und Bike02_mir => 231296.26624
Distanz zwischen Rad03 und Bike02_rot => 231294.930944
Distanz zwischen Rad03 und Bike03 => 231296.46694399999
Distanz zwischen Rad03 und Bike03_bw => 231299.09657599998
Distanz zwischen Rad03 und Bike03_mir => 231296.46694399999
Distanz zwischen Rad03 und Bike03_rot => 231293.607936
Distanz zwischen Rad03 und Bike04 => 231293.812736
Distanz zwischen Rad03 und Bike04_bw => 231291.183104
Distanz zwischen Rad03 und Bike04_mir => 231293.812736
