Zeitstempel: 2020-09-23T12:08:22.245  ///  Zu vergleichendes Bild: Mensch05

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch05 und Auto01 => 204354.146304
Distanz zwischen Mensch05 und Auto01_bw => 203139.95264
Distanz zwischen Mensch05 und Auto01_mir => 204354.146304
Distanz zwischen Mensch05 und Auto01_rot => 180741.091328
Distanz zwischen Mensch05 und Auto02 => 175742.365696
Distanz zwischen Mensch05 und Auto02_bw => 176641.1264
Distanz zwischen Mensch05 und Auto02_mir => 175742.365696
Distanz zwischen Mensch05 und Auto02_rot => 154626.240512
Distanz zwischen Mensch05 und Auto03 => 93310.717952
Distanz zwischen Mensch05 und Auto03_bw => 92801.7408
Distanz zwischen Mensch05 und Auto03_mir => 93310.717952
Distanz zwischen Mensch05 und Auto03_rot => 91453.464576
Distanz zwischen Mensch05 und Auto04 => 119298.99417599998
Distanz zwischen Mensch05 und Auto04_bw => 121085.40723200001
Distanz zwischen Mensch05 und Auto04_mir => 119298.99417599998
Distanz zwischen Mensch05 und Auto04_rot => 106686.660608
Distanz zwischen Mensch05 und Auto05 => 177860.66944
Distanz zwischen Mensch05 und Auto05_bw => 178884.62848
Distanz zwischen Mensch05 und Auto05_mir => 177860.66944
Distanz zwischen Mensch05 und Auto05_rot => 160643.42015999998
Distanz zwischen Mensch05 und Auto06 => 175487.922176
Distanz zwischen Mensch05 und Auto06_bw => 175487.922176
Distanz zwischen Mensch05 und Auto06_mir => 175487.922176
Distanz zwischen Mensch05 und Auto06_rot => 157890.834432
Distanz zwischen Mensch05 und Auto07 => 147643.990016
Distanz zwischen Mensch05 und Auto08 => 131708.383232
Distanz zwischen Mensch05 und Auto08_bw => 128892.227584
Distanz zwischen Mensch05 und Auto08_mir => 131708.383232
Distanz zwischen Mensch05 und Auto08_rot => 116671.913984
Distanz zwischen Mensch05 und Auto09 => 130943.479808
Distanz zwischen Mensch05 und Auto09_bw => 132418.142208
Distanz zwischen Mensch05 und Auto09_mir => 130943.479808
Distanz zwischen Mensch05 und Auto09_rot => 115518.8736
Distanz zwischen Mensch05 und Auto10 => 160831.50848000002
Distanz zwischen Mensch05 und Auto10_bw => 160196.661248
Distanz zwischen Mensch05 und Auto10_mir => 160772.27212799998
Distanz zwischen Mensch05 und Auto10_rot => 139963.731968
Distanz zwischen Mensch05 und Bike01 => 91457.175552
Distanz zwischen Mensch05 und Bike01_bw => 91454.324736
Distanz zwischen Mensch05 und Bike01_mir => 91457.560576
Distanz zwischen Mensch05 und Bike01_rot => 91456.724992
Distanz zwischen Mensch05 und Bike02 => 162113.10592
Distanz zwischen Mensch05 und Bike02_bw => 162564.15743999998
Distanz zwischen Mensch05 und Bike02_mir => 162240.63488
Distanz zwischen Mensch05 und Bike02_rot => 131393.241088
Distanz zwischen Mensch05 und Bike03 => 91457.773568
Distanz zwischen Mensch05 und Bike03_bw => 91458.850816
Distanz zwischen Mensch05 und Bike03_mir => 91457.773568
Distanz zwischen Mensch05 und Bike03_rot => 91458.711552
Distanz zwischen Mensch05 und Bike04 => 143867.94905599998
Distanz zwischen Mensch05 und Bike04_bw => 142723.54304000002
