Zeitstempel: 2020-09-23T00:48:59.712  ///  Zu vergleichendes Bild: Schaf01

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf01 und Auto01 => 204352.954368
Distanz zwischen Schaf01 und Auto01_bw => 203133.431808
Distanz zwischen Schaf01 und Auto01_mir => 204352.954368
Distanz zwischen Schaf01 und Auto01_rot => 180740.354048
Distanz zwischen Schaf01 und Auto02 => 175743.995904
Distanz zwischen Schaf01 und Auto02_bw => 176642.51904
Distanz zwischen Schaf01 und Auto02_mir => 175743.995904
Distanz zwischen Schaf01 und Auto02_rot => 155713.753088
Distanz zwischen Schaf01 und Auto03 => 155707.61318400002
Distanz zwischen Schaf01 und Auto03_bw => 155711.36921600002
Distanz zwischen Schaf01 und Auto03_mir => 155707.61318400002
Distanz zwischen Schaf01 und Auto03_rot => 155716.980736
Distanz zwischen Schaf01 und Auto04 => 155713.81452800002
Distanz zwischen Schaf01 und Auto04_bw => 155715.616768
Distanz zwischen Schaf01 und Auto04_mir => 155713.81452800002
Distanz zwischen Schaf01 und Auto04_rot => 155715.371008
Distanz zwischen Schaf01 und Auto05 => 177860.48512
Distanz zwischen Schaf01 und Auto05_bw => 178876.60032
Distanz zwischen Schaf01 und Auto05_mir => 177860.48512
Distanz zwischen Schaf01 und Auto05_rot => 160643.42016
Distanz zwischen Schaf01 und Auto06 => 175485.800448
Distanz zwischen Schaf01 und Auto06_bw => 175485.800448
Distanz zwischen Schaf01 und Auto06_mir => 175485.800448
Distanz zwischen Schaf01 und Auto06_rot => 157891.46112
Distanz zwischen Schaf01 und Auto07 => 155713.855488
Distanz zwischen Schaf01 und Auto08 => 155714.912256
Distanz zwischen Schaf01 und Auto08_bw => 155710.65651200002
Distanz zwischen Schaf01 und Auto08_mir => 155714.912256
Distanz zwischen Schaf01 und Auto08_rot => 155716.87014400001
Distanz zwischen Schaf01 und Auto09 => 155715.56352000003
Distanz zwischen Schaf01 und Auto09_bw => 155708.502016
Distanz zwischen Schaf01 und Auto09_mir => 155715.56352000003
Distanz zwischen Schaf01 und Auto09_rot => 155712.86425600003
Distanz zwischen Schaf01 und Auto10 => 160836.255744
Distanz zwischen Schaf01 und Auto10_bw => 160191.750144
Distanz zwischen Schaf01 und Auto10_mir => 160772.026368
Distanz zwischen Schaf01 und Auto10_rot => 155710.40256
Distanz zwischen Schaf01 und Bike01 => 155711.377408
Distanz zwischen Schaf01 und Bike01_bw => 155714.281472
Distanz zwischen Schaf01 und Bike01_mir => 155707.17081600003
Distanz zwischen Schaf01 und Bike01_rot => 155714.686976
Distanz zwischen Schaf01 und Bike02 => 162110.521344
Distanz zwischen Schaf01 und Bike02_bw => 162562.27328
Distanz zwischen Schaf01 und Bike02_mir => 162236.86656
Distanz zwischen Schaf01 und Bike02_rot => 155716.01408000002
Distanz zwischen Schaf01 und Bike03 => 155713.073152
Distanz zwischen Schaf01 und Bike03_bw => 155707.113472
Distanz zwischen Schaf01 und Bike03_mir => 155713.073152
Distanz zwischen Schaf01 und Bike03_rot => 155713.67936
Distanz zwischen Schaf01 und Bike04 => 155712.905216
Distanz zwischen Schaf01 und Bike04_bw => 155708.899328
