Zeitstempel: 2020-09-23T08:21:13.828  ///  Zu vergleichendes Bild: Auto03
Distanz zwischen Auto03 und Landschaft10_bw => 93309.775872
Distanz zwischen Auto03 und Landschaft10_mir => 93309.980672
Distanz zwischen Auto03 und Landschaft10_rot => 93310.390272
Distanz zwischen Auto03 und Mensch01 => 105919.2832
Distanz zwischen Auto03 und Mensch01_bw => 105601.22880000001
Distanz zwischen Auto03 und Mensch01_mir => 105853.100032
Distanz zwischen Auto03 und Mensch01_rot => 93311.561728
Distanz zwischen Auto03 und Mensch02 => 93311.40608
Distanz zwischen Auto03 und Mensch02_bw => 93311.30368
Distanz zwischen Auto03 und Mensch02_mir => 93311.40608
Distanz zwischen Auto03 und Mensch02_rot => 93309.48096
Distanz zwischen Auto03 und Mensch03 => 93311.676416
Distanz zwischen Auto03 und Mensch03_bw => 93310.881792
Distanz zwischen Auto03 und Mensch03_mir => 93311.676416
Distanz zwischen Auto03 und Mensch03_rot => 93312.98303999999
Distanz zwischen Auto03 und Mensch04 => 97533.960192
Distanz zwischen Auto03 und Mensch05 => 93310.717952
Distanz zwischen Auto03 und Mensch05_bw => 93310.820352
Distanz zwischen Auto03 und Mensch05_mir => 93310.820352
Distanz zwischen Auto03 und Mensch05_rot => 93312.073728
Distanz zwischen Auto03 und Mensch06 => 93314.940928
Distanz zwischen Auto03 und Mensch06_bw => 93314.24870400001
Distanz zwischen Auto03 und Mensch06_mir => 93310.660608
Distanz zwischen Auto03 und Mensch06_rot => 93311.913984
Distanz zwischen Auto03 und Mensch07 => 93311.844352
Distanz zwischen Auto03 und Mensch07_bw => 93310.255104
Distanz zwischen Auto03 und Mensch07_mir => 93311.049728
Distanz zwischen Auto03 und Mensch07_rot => 93309.022208
Distanz zwischen Auto03 und Mensch08 => 93310.32473600001
Distanz zwischen Auto03 und Mensch08_bw => 93310.32473600001
Distanz zwischen Auto03 und Mensch08_mir => 93309.632512
Distanz zwischen Auto03 und Mensch08_rot => 93312.679936
Distanz zwischen Auto03 und Mensch09 => 109186.760704
Distanz zwischen Auto03 und Mensch09_bw => 109887.614976
Distanz zwischen Auto03 und Mensch09_mir => 108864.995328
Distanz zwischen Auto03 und Mensch09_rot => 93314.306048
Distanz zwischen Auto03 und Mensch10 => 93310.68928
Distanz zwischen Auto03 und Mensch10_bw => 93314.9696
Distanz zwischen Auto03 und Mensch10_mir => 93311.791104
Distanz zwischen Auto03 und Mensch10_rot => 93310.48038400001
Distanz zwischen Auto03 und Pferd01 => 93310.230528
Distanz zwischen Auto03 und Pferd01_bw => 93309.820928
Distanz zwischen Auto03 und Pferd01_mir => 93309.333504
Distanz zwischen Auto03 und Pferd01_rot => 93313.35168
Distanz zwischen Auto03 und Pferd02 => 119744.18841599999
Distanz zwischen Auto03 und Pferd02_bw => 120127.586304
Distanz zwischen Auto03 und Pferd02_mir => 118910.722048
Distanz zwischen Auto03 und Pferd02_rot => 104575.909888
Distanz zwischen Auto03 und Pferd03 => 93313.65888
Distanz zwischen Auto03 und Pferd03_bw => 93311.66003200001
Distanz zwischen Auto03 und Pferd03_mir => 93311.96723200001
Distanz zwischen Auto03 und Pferd03_rot => 93310.529536
Distanz zwischen Auto03 und Pferd04 => 93312.147456
Distanz zwischen Auto03 und Pferd04_bw => 93309.149184
Distanz zwischen Auto03 und Pferd04_mir => 93313.839104
Distanz zwischen Auto03 und Pferd04_rot => 93312.68403199999
Distanz zwischen Auto03 und Pferd05 => 93311.021056
Distanz zwischen Auto03 und Pferd05_bw => 93313.302528
Distanz zwischen Auto03 und Pferd05_mir => 93310.124032
Distanz zwischen Auto03 und Pferd05_rot => 93310.40256
Distanz zwischen Auto03 und Pferd06 => 137600.61440000002
Distanz zwischen Auto03 und Pferd06_bw => 136316.3136
Distanz zwischen Auto03 und Pferd06_mir => 136187.86304
Distanz zwischen Auto03 und Pferd06_rot => 107711.336448
