Zeitstempel: 2020-09-23T01:21:09.811  ///  Zu vergleichendes Bild: Schaf07

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf07 und Auto01 => 204354.633728
Distanz zwischen Schaf07 und Auto01_bw => 203131.506688
Distanz zwischen Schaf07 und Auto01_mir => 204354.633728
Distanz zwischen Schaf07 und Auto01_rot => 180737.978368
Distanz zwischen Schaf07 und Auto02 => 175748.943872
Distanz zwischen Schaf07 und Auto02_bw => 176643.42015999998
Distanz zwischen Schaf07 und Auto02_mir => 175748.943872
Distanz zwischen Schaf07 und Auto02_rot => 154628.53427200002
Distanz zwischen Schaf07 und Auto03 => 101696.995328
Distanz zwischen Schaf07 und Auto03_bw => 101694.820352
Distanz zwischen Schaf07 und Auto03_mir => 101696.995328
Distanz zwischen Schaf07 und Auto03_rot => 101699.067904
Distanz zwischen Schaf07 und Auto04 => 119297.45407999998
Distanz zwischen Schaf07 und Auto04_bw => 121090.42073600001
Distanz zwischen Schaf07 und Auto04_mir => 119297.45407999998
Distanz zwischen Schaf07 und Auto04_rot => 106688.708608
Distanz zwischen Schaf07 und Auto05 => 177853.792256
Distanz zwischen Schaf07 und Auto05_bw => 178879.42656
Distanz zwischen Schaf07 und Auto05_mir => 177853.792256
Distanz zwischen Schaf07 und Auto05_rot => 160643.25632
Distanz zwischen Schaf07 und Auto06 => 175490.80576000002
Distanz zwischen Schaf07 und Auto06_bw => 175490.80576000002
Distanz zwischen Schaf07 und Auto06_mir => 175490.80576000002
Distanz zwischen Schaf07 und Auto06_rot => 157887.029248
Distanz zwischen Schaf07 und Auto07 => 147647.217664
Distanz zwischen Schaf07 und Auto08 => 131710.308352
Distanz zwischen Schaf07 und Auto08_bw => 128897.912832
Distanz zwischen Schaf07 und Auto08_mir => 131710.308352
Distanz zwischen Schaf07 und Auto08_rot => 116669.181952
Distanz zwischen Schaf07 und Auto09 => 130944.34816
Distanz zwischen Schaf07 und Auto09_bw => 132415.488
Distanz zwischen Schaf07 und Auto09_mir => 130944.34816
Distanz zwischen Schaf07 und Auto09_rot => 115518.5664
Distanz zwischen Schaf07 und Auto10 => 160833.29024
Distanz zwischen Schaf07 und Auto10_bw => 160188.444672
Distanz zwischen Schaf07 und Auto10_mir => 160769.978368
Distanz zwischen Schaf07 und Auto10_rot => 139971.629056
Distanz zwischen Schaf07 und Bike01 => 101698.88768
Distanz zwischen Schaf07 und Bike01_bw => 101697.818624
Distanz zwischen Schaf07 und Bike01_mir => 101693.464576
Distanz zwischen Schaf07 und Bike01_rot => 101694.40256
Distanz zwischen Schaf07 und Bike02 => 162113.396736
Distanz zwischen Schaf07 und Bike02_bw => 162561.536
Distanz zwischen Schaf07 und Bike02_mir => 162238.62784
Distanz zwischen Schaf07 und Bike02_rot => 131395.51027199998
Distanz zwischen Schaf07 und Bike03 => 101699.117056
Distanz zwischen Schaf07 und Bike03_bw => 101699.129344
Distanz zwischen Schaf07 und Bike03_mir => 101699.117056
Distanz zwischen Schaf07 und Bike03_rot => 101694.603264
Distanz zwischen Schaf07 und Bike04 => 143876.23936
Distanz zwischen Schaf07 und Bike04_bw => 142722.84672
