Zeitstempel: 2020-09-22T22:39:51.847  ///  Zu vergleichendes Bild: Mensch10
Distanz zwischen Mensch10 und Landschaft09_mir => 80381.833216
Distanz zwischen Mensch10 und Landschaft09_rot => 80383.401984
Distanz zwischen Mensch10 und Landschaft10 => 80386.207744
Distanz zwischen Mensch10 und Landschaft10_bw => 80384.13516800001
Distanz zwischen Mensch10 und Landschaft10_mir => 80384.978944
Distanz zwischen Mensch10 und Landschaft10_rot => 80381.52192
Distanz zwischen Mensch10 und Mensch01 => 105919.95904
Distanz zwischen Mensch10 und Mensch01_bw => 105600.4096
Distanz zwischen Mensch10 und Mensch01_mir => 105854.81216
Distanz zwischen Mensch10 und Mensch01_rot => 84033.683456
Distanz zwischen Mensch10 und Mensch02 => 80386.953216
Distanz zwischen Mensch10 und Mensch02_bw => 80386.531328
Distanz zwischen Mensch10 und Mensch02_mir => 80386.953216
Distanz zwischen Mensch10 und Mensch02_rot => 80384.1024
Distanz zwischen Mensch10 und Mensch03 => 80384.83968
Distanz zwischen Mensch10 und Mensch03_bw => 80383.61088
Distanz zwischen Mensch10 und Mensch03_mir => 80384.83968
Distanz zwischen Mensch10 und Mensch03_rot => 80383.033344
Distanz zwischen Mensch10 und Mensch04 => 97534.148608
Distanz zwischen Mensch10 und Mensch05 => 91453.775872
Distanz zwischen Mensch10 und Mensch05_bw => 91008.090112
Distanz zwischen Mensch10 und Mensch05_mir => 91008.090112
Distanz zwischen Mensch10 und Mensch05_rot => 81791.868928
Distanz zwischen Mensch10 und Mensch06 => 80381.99296
Distanz zwischen Mensch10 und Mensch06_bw => 80386.330624
Distanz zwischen Mensch10 und Mensch06_mir => 80384.872448
Distanz zwischen Mensch10 und Mensch06_rot => 80381.792256
Distanz zwischen Mensch10 und Mensch07 => 86530.588672
Distanz zwischen Mensch10 und Mensch07_bw => 86016.360448
Distanz zwischen Mensch10 und Mensch07_mir => 86274.179072
Distanz zwischen Mensch10 und Mensch07_rot => 80383.266816
Distanz zwischen Mensch10 und Mensch08 => 80384.479232
Distanz zwischen Mensch10 und Mensch08_bw => 80384.479232
Distanz zwischen Mensch10 und Mensch08_mir => 80383.67232
Distanz zwischen Mensch10 und Mensch08_rot => 80383.893504
Distanz zwischen Mensch10 und Mensch09 => 109187.375104
Distanz zwischen Mensch10 und Mensch09_bw => 109889.26976
Distanz zwischen Mensch10 und Mensch09_mir => 108861.693952
Distanz zwischen Mensch10 und Mensch09_rot => 90689.8432
Distanz zwischen Mensch10 und Mensch10 => 0.0
Distanz zwischen Mensch10 und Mensch10_bw => 80386.265088
Distanz zwischen Mensch10 und Mensch10_mir => 80386.494464
