Zeitstempel: 2020-09-23T00:16:34.973  ///  Zu vergleichendes Bild: Rad06
Distanz zwischen Rad06 und Landschaft10_bw => 285053.390848
Distanz zwischen Rad06 und Landschaft10_mir => 285055.455232
Distanz zwischen Rad06 und Landschaft10_rot => 285059.584
Distanz zwischen Rad06 und Mensch01 => 285058.248704
Distanz zwischen Rad06 und Mensch01_bw => 285049.864192
Distanz zwischen Rad06 und Mensch01_mir => 285049.274368
Distanz zwischen Rad06 und Mensch01_rot => 285053.947904
Distanz zwischen Rad06 und Mensch02 => 285051.334656
Distanz zwischen Rad06 und Mensch02_bw => 285059.42425599997
Distanz zwischen Rad06 und Mensch02_mir => 285051.334656
Distanz zwischen Rad06 und Mensch02_rot => 285056.684032
Distanz zwischen Rad06 und Mensch03 => 285057.437696
Distanz zwischen Rad06 und Mensch03_bw => 285058.02752
Distanz zwischen Rad06 und Mensch03_mir => 285057.437696
Distanz zwischen Rad06 und Mensch03_rot => 285052.88704
Distanz zwischen Rad06 und Mensch04 => 285050.200064
Distanz zwischen Rad06 und Mensch05 => 285055.086592
Distanz zwischen Rad06 und Mensch05_bw => 285046.99699200003
Distanz zwischen Rad06 und Mensch05_mir => 285046.99699200003
Distanz zwischen Rad06 und Mensch05_rot => 285049.987072
Distanz zwischen Rad06 und Mensch06 => 285060.64486400003
Distanz zwischen Rad06 und Mensch06_bw => 285053.145088
Distanz zwischen Rad06 und Mensch06_mir => 285051.37561600003
Distanz zwischen Rad06 und Mensch06_rot => 285054.365696
Distanz zwischen Rad06 und Mensch07 => 285057.318912
Distanz zwischen Rad06 und Mensch07_bw => 285058.49856
Distanz zwischen Rad06 und Mensch07_mir => 285057.908736
Distanz zwischen Rad06 und Mensch07_rot => 285053.104128
Distanz zwischen Rad06 und Mensch08 => 285055.545344
Distanz zwischen Rad06 und Mensch08_bw => 285055.545344
Distanz zwischen Rad06 und Mensch08_mir => 285048.045568
Distanz zwischen Rad06 und Mensch08_rot => 285051.920384
Distanz zwischen Rad06 und Mensch09 => 285059.85024
Distanz zwischen Rad06 und Mensch09_bw => 285049.106432
Distanz zwischen Rad06 und Mensch09_mir => 285051.465728
Distanz zwischen Rad06 und Mensch09_rot => 285056.856064
Distanz zwischen Rad06 und Mensch10 => 285053.231104
Distanz zwischen Rad06 und Mensch10_bw => 285062.500352
Distanz zwischen Rad06 und Mensch10_mir => 285064.859648
Distanz zwischen Rad06 und Mensch10_rot => 285058.158592
Distanz zwischen Rad06 und Pferd01 => 285049.65119999996
Distanz zwischen Rad06 und Pferd01_bw => 285063.766016
Distanz zwischen Rad06 und Pferd01_mir => 285058.330624
Distanz zwischen Rad06 und Pferd01_rot => 285061.824512
Distanz zwischen Rad06 und Pferd02 => 285062.885376
Distanz zwischen Rad06 und Pferd02_bw => 285062.00064
Distanz zwischen Rad06 und Pferd02_mir => 285055.680512
Distanz zwischen Rad06 und Pferd02_rot => 285052.223488
Distanz zwischen Rad06 und Pferd03 => 285055.799296
Distanz zwischen Rad06 und Pferd03_bw => 285052.85017600004
Distanz zwischen Rad06 und Pferd03_mir => 285065.068544
Distanz zwischen Rad06 und Pferd03_rot => 285057.609728
Distanz zwischen Rad06 und Pferd04 => 285058.285568
Distanz zwischen Rad06 und Pferd04_bw => 285053.861888
Distanz zwischen Rad06 und Pferd04_mir => 285049.01632
Distanz zwischen Rad06 und Pferd04_rot => 285063.172096
Distanz zwischen Rad06 und Pferd05 => 285056.053248
Distanz zwischen Rad06 und Pferd05_bw => 285062.373376
Distanz zwischen Rad06 und Pferd05_mir => 285064.732672
Distanz zwischen Rad06 und Pferd05_rot => 285056.851968
Distanz zwischen Rad06 und Pferd06 => 285049.110528
Distanz zwischen Rad06 und Pferd06_bw => 285052.059648
Distanz zwischen Rad06 und Pferd06_mir => 285052.35456
Distanz zwischen Rad06 und Pferd06_rot => 285054.119936
Distanz zwischen Rad06 und Pferd07 => 285058.54771199997
Distanz zwischen Rad06 und Pferd07_bw => 285063.266304
Distanz zwischen Rad06 und Pferd07_mir => 285049.868288
Distanz zwischen Rad06 und Pferd07_rot => 285047.291904
Distanz zwischen Rad06 und Pferd08 => 285060.100096
Distanz zwischen Rad06 und Pferd08_bw => 285057.150976
Distanz zwischen Rad06 und Pferd08_mir => 285051.12575999997
Distanz zwischen Rad06 und Pferd08_rot => 285048.131584
Distanz zwischen Rad06 und Pferd09 => 285056.77004800003
Distanz zwischen Rad06 und Pferd09_bw => 285064.269824
Distanz zwischen Rad06 und Pferd09_mir => 285047.5008
Distanz zwischen Rad06 und Pferd09_rot => 285051.502592
Distanz zwischen Rad06 und Pferd10 => 285061.152768
Distanz zwischen Rad06 und Pferd10_bw => 285051.88352000003
Distanz zwischen Rad06 und Pferd10_mir => 285061.44768
Distanz zwischen Rad06 und Pferd10_rot => 285060.603904
Distanz zwischen Rad06 und Rad01 => 285050.94144
Distanz zwischen Rad06 und Rad01_bw => 285061.095424
Distanz zwischen Rad06 und Rad01_mir => 285050.94144
Distanz zwischen Rad06 und Rad01_rot => 285051.06432
Distanz zwischen Rad06 und Rad03 => 285052.15795200004
Distanz zwischen Rad06 und Rad03_bw => 285047.902208
Distanz zwischen Rad06 und Rad03_mir => 285052.15795200004
Distanz zwischen Rad06 und Rad03_rot => 285058.011136
Distanz zwischen Rad06 und Rad04 => 285058.51904000004
Distanz zwischen Rad06 und Rad04_bw => 285061.173248
Distanz zwischen Rad06 und Rad04_mir => 285058.51904000004
Distanz zwischen Rad06 und Rad04_rot => 285061.423104
Distanz zwischen Rad06 und Rad05 => 285062.356992
Distanz zwischen Rad06 und Rad06 => 0.0
Distanz zwischen Rad06 und Rad07 => 285048.28313600004
Distanz zwischen Rad06 und Rad07_bw => 285048.87296
Distanz zwischen Rad06 und Rad07_mir => 285048.28313600004
Distanz zwischen Rad06 und Rad07_rot => 285064.122368
Distanz zwischen Rad06 und Rad08 => 285049.58976
