Zeitstempel: 2020-09-23T10:29:33.828  ///  Zu vergleichendes Bild: Bike10
Distanz zwischen Bike10 und Landschaft10_mir => 145412.059136
Distanz zwischen Bike10 und Landschaft10_rot => 145407.97952
Distanz zwischen Bike10 und Mensch01 => 145410.166784
Distanz zwischen Bike10 und Mensch01_bw => 145404.452864
Distanz zwischen Bike10 und Mensch01_mir => 145409.024
Distanz zwischen Bike10 und Mensch01_rot => 145410.19136
Distanz zwischen Bike10 und Mensch02 => 145410.03571199998
Distanz zwischen Bike10 und Mensch02_bw => 145408.729088
Distanz zwischen Bike10 und Mensch02_mir => 145410.03571199998
Distanz zwischen Bike10 und Mensch02_rot => 145404.0064
Distanz zwischen Bike10 und Mensch03 => 145409.593344
Distanz zwischen Bike10 und Mensch03_bw => 145405.022208
Distanz zwischen Bike10 und Mensch03_mir => 145409.593344
Distanz zwischen Bike10 und Mensch03_rot => 145411.391488
Distanz zwischen Bike10 und Mensch04 => 145409.359872
Distanz zwischen Bike10 und Mensch05 => 145412.468736
Distanz zwischen Bike10 und Mensch05_bw => 145404.469248
Distanz zwischen Bike10 und Mensch05_mir => 145404.469248
Distanz zwischen Bike10 und Mensch05_rot => 145407.418368
Distanz zwischen Bike10 und Mensch06 => 145406.779392
Distanz zwischen Bike10 und Mensch06_bw => 145403.51488
Distanz zwischen Bike10 und Mensch06_mir => 145407.922176
Distanz zwischen Bike10 und Mensch06_rot => 145410.871296
Distanz zwischen Bike10 und Mensch07 => 145408.229376
Distanz zwischen Bike10 und Mensch07_bw => 145408.393216
Distanz zwischen Bike10 und Mensch07_mir => 145403.65824000002
Distanz zwischen Bike10 und Mensch07_rot => 145405.628416
Distanz zwischen Bike10 und Mensch08 => 145411.035136
Distanz zwischen Bike10 und Mensch08_bw => 145411.035136
Distanz zwischen Bike10 und Mensch08_mir => 145407.770624
Distanz zwischen Bike10 und Mensch08_rot => 145403.86304
Distanz zwischen Bike10 und Mensch09 => 145412.612096
Distanz zwischen Bike10 und Mensch09_bw => 145406.570496
Distanz zwischen Bike10 und Mensch09_mir => 145406.898176
Distanz zwischen Bike10 und Mensch09_rot => 145408.06144000002
Distanz zwischen Bike10 und Mensch10 => 145410.195456
Distanz zwischen Bike10 und Mensch10_bw => 145409.05267200002
Distanz zwischen Bike10 und Mensch10_mir => 145409.380352
Distanz zwischen Bike10 und Mensch10_rot => 145411.190784
Distanz zwischen Bike10 und Pferd01 => 145411.817472
Distanz zwischen Bike10 und Pferd01_bw => 145406.590976
Distanz zwischen Bike10 und Pferd01_mir => 145405.93971200002
Distanz zwischen Bike10 und Pferd01_rot => 145406.943232
Distanz zwischen Bike10 und Pferd02 => 145405.743104
Distanz zwischen Bike10 und Pferd02_bw => 145412.599808
Distanz zwischen Bike10 und Pferd02_mir => 145409.499136
Distanz zwischen Bike10 und Pferd02_rot => 145404.78054399998
Distanz zwischen Bike10 und Pferd03 => 145410.863104
Distanz zwischen Bike10 und Pferd03_bw => 145405.800448
Distanz zwischen Bike10 und Pferd03_mir => 145409.72032
Distanz zwischen Bike10 und Pferd03_rot => 145404.342272
Distanz zwischen Bike10 und Pferd04 => 145406.451712
Distanz zwischen Bike10 und Pferd04_bw => 145403.51078399998
Distanz zwischen Bike10 und Pferd04_mir => 145407.594496
Distanz zwischen Bike10 und Pferd04_rot => 145409.56057600002
Distanz zwischen Bike10 und Pferd05 => 145410.69107200002
Distanz zwischen Bike10 und Pferd05_bw => 145404.485632
Distanz zwischen Bike10 und Pferd05_mir => 145404.813312
Distanz zwischen Bike10 und Pferd05_rot => 145406.459904
Distanz zwischen Bike10 und Pferd06 => 145408.172032
Distanz zwischen Bike10 und Pferd06_bw => 145403.928576
Distanz zwischen Bike10 und Pferd06_mir => 145410.94912
Distanz zwischen Bike10 und Pferd06_rot => 145404.94028799998
Distanz zwischen Bike10 und Pferd07 => 145409.482752
Distanz zwischen Bike10 und Pferd07_bw => 145410.138112
Distanz zwischen Bike10 und Pferd07_mir => 145406.0544
Distanz zwischen Bike10 und Pferd07_rot => 145411.48979199998
Distanz zwischen Bike10 und Pferd08 => 145410.838528
Distanz zwischen Bike10 und Pferd08_bw => 145405.775872
Distanz zwischen Bike10 und Pferd08_mir => 145409.695744
Distanz zwischen Bike10 und Pferd08_rot => 145405.145088
Distanz zwischen Bike10 und Pferd09 => 145410.686976
Distanz zwischen Bike10 und Pferd09_bw => 145404.645376
Distanz zwischen Bike10 und Pferd09_mir => 145411.82976
Distanz zwischen Bike10 und Pferd09_rot => 145412.48921600002
Distanz zwischen Bike10 und Pferd10 => 145406.435328
Distanz zwischen Bike10 und Pferd10_bw => 145407.57811200002
Distanz zwischen Bike10 und Pferd10_mir => 145404.14976
Distanz zwischen Bike10 und Pferd10_rot => 145408.89292800002
Distanz zwischen Bike10 und Rad01 => 267458.47808000003
Distanz zwischen Bike10 und Rad01_bw => 267006.148608
Distanz zwischen Bike10 und Rad01_mir => 267458.47808000003
Distanz zwischen Bike10 und Rad01_rot => 243649.1264
Distanz zwischen Bike10 und Rad03 => 231297.318912
Distanz zwischen Bike10 und Rad03_bw => 229177.663488
Distanz zwischen Bike10 und Rad03_mir => 231297.318912
Distanz zwischen Bike10 und Rad03_rot => 208961.41312
Distanz zwischen Bike10 und Rad04 => 224578.265088
Distanz zwischen Bike10 und Rad04_bw => 223423.913984
Distanz zwischen Bike10 und Rad04_mir => 224578.265088
Distanz zwischen Bike10 und Rad04_rot => 203526.22592
Distanz zwischen Bike10 und Rad05 => 250618.01984
Distanz zwischen Bike10 und Rad06 => 285049.36448
Distanz zwischen Bike10 und Rad07 => 240888.971264
Distanz zwischen Bike10 und Rad07_bw => 240632.46336
Distanz zwischen Bike10 und Rad07_mir => 240888.971264
Distanz zwischen Bike10 und Rad07_rot => 222149.685248
Distanz zwischen Bike10 und Rad08 => 244280.2176
Distanz zwischen Bike10 und Rad08_bw => 245567.688704
Distanz zwischen Bike10 und Rad08_mir => 244280.2176
Distanz zwischen Bike10 und Rad08_rot => 226371.559424
Distanz zwischen Bike10 und Rad09 => 232058.01984
Distanz zwischen Bike10 und Rad09_bw => 229886.918656
Distanz zwischen Bike10 und Rad09_mir => 232058.01984
Distanz zwischen Bike10 und Rad09_rot => 214214.672384
Distanz zwischen Bike10 und Rad10 => 145406.21824
Distanz zwischen Bike10 und Rad10_bw => 145406.8736
Distanz zwischen Bike10 und Rad10_mir => 145410.953216
Distanz zwischen Bike10 und Rad10_rot => 145404.1088
Distanz zwischen Bike10 und Schaf01 => 155711.602688
Distanz zwischen Bike10 und Schaf01_bw => 154626.883584
Distanz zwischen Bike10 und Schaf01_mir => 156094.54592
Distanz zwischen Bike10 und Schaf01_rot => 145409.318912
Distanz zwischen Bike10 und Schaf02 => 145406.418944
Distanz zwischen Bike10 und Schaf03 => 145406.603264
Distanz zwischen Bike10 und Schaf03_bw => 145409.544192
Distanz zwischen Bike10 und Schaf03_mir => 145406.603264
Distanz zwischen Bike10 und Schaf03_rot => 145412.48512
Distanz zwischen Bike10 und Schaf04 => 145408.4096
Distanz zwischen Bike10 und Schaf04_bw => 145409.06496
Distanz zwischen Bike10 und Schaf04_mir => 145408.4096
Distanz zwischen Bike10 und Schaf04_rot => 145409.22879999998
Distanz zwischen Bike10 und Schaf06 => 145411.97311999998
Distanz zwischen Bike10 und Schaf06_bw => 145410.50675200002
Distanz zwischen Bike10 und Schaf06_mir => 145411.97311999998
Distanz zwischen Bike10 und Schaf06_rot => 145410.670592
Distanz zwischen Bike10 und Schaf07 => 145409.19193600002
Distanz zwischen Bike10 und Schaf07_bw => 145406.418944
Distanz zwischen Bike10 und Schaf07_mir => 145409.19193600002
Distanz zwischen Bike10 und Schaf07_rot => 145408.217088
Distanz zwischen Bike10 und Schaf10 => 145409.642496
Distanz zwischen Bike10 und Schaf10_bw => 145403.604992
Distanz zwischen Bike10 und Schaf10_mir => 145409.642496
Distanz zwischen Bike10 und Schaf10_rot => 145409.49094400002
___________________________________________________________________________________


Execution Time: 453 s
Score (Image): 4

Score (Schwarz-wei�): 0
Score (Rotiert 90 Grad): 3
Score (Gespiegelt): 0
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 322
Berechnungszeit Cluster: 4058
Berechnungszeit Distanz: 51
Gesamt:  4431 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 443
Berechnungszeit Cluster: 3879
Berechnungszeit Distanz: 16
Gesamt:  4338 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 410
Berechnungszeit Cluster: 3743
Berechnungszeit Distanz: 15
Gesamt:  4168 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 291
Berechnungszeit Cluster: 4455
Berechnungszeit Distanz: 16
Gesamt:  4762 ms

Für Auto02.png: 
Berechnungszeit KPs: 304
Berechnungszeit Cluster: 2946
Berechnungszeit Distanz: 3
Gesamt:  3253 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 3065
Berechnungszeit Distanz: 16
Gesamt:  3362 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 293
Berechnungszeit Cluster: 2720
Berechnungszeit Distanz: 0
Gesamt:  3013 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 271
Berechnungszeit Cluster: 2002
Berechnungszeit Distanz: 16
Gesamt:  2289 ms

Für Auto03.png: 
Berechnungszeit KPs: 201
Berechnungszeit Cluster: 725
Berechnungszeit Distanz: 0
Gesamt:  926 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 181
Berechnungszeit Cluster: 719
Berechnungszeit Distanz: 15
Gesamt:  915 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 199
Berechnungszeit Cluster: 714
Berechnungszeit Distanz: 0
Gesamt:  913 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 193
Berechnungszeit Cluster: 594
Berechnungszeit Distanz: 0
Gesamt:  787 ms

Für Auto04.png: 
Berechnungszeit KPs: 251
Berechnungszeit Cluster: 1352
Berechnungszeit Distanz: 16
Gesamt:  1619 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 1359
Berechnungszeit Distanz: 0
Gesamt:  1651 ms

Für Auto04_mir.png: 
Berechnungszeit KPs: 352
Berechnungszeit Cluster: 1510
Berechnungszeit Distanz: 0
Gesamt:  1862 ms

Für Auto04_rot.png: 
Berechnungszeit KPs: 433
Berechnungszeit Cluster: 959
Berechnungszeit Distanz: 15
Gesamt:  1407 ms

Für Auto05.png: 
Berechnungszeit KPs: 382
Berechnungszeit Cluster: 3004
Berechnungszeit Distanz: 0
Gesamt:  3386 ms

Für Auto05_bw.png: 
Berechnungszeit KPs: 403
Berechnungszeit Cluster: 3163
Berechnungszeit Distanz: 16
Gesamt:  3582 ms

Für Auto05_mir.png: 
Berechnungszeit KPs: 388
Berechnungszeit Cluster: 2889
Berechnungszeit Distanz: 7
Gesamt:  3284 ms

Für Auto05_rot.png: 
Berechnungszeit KPs: 337
Berechnungszeit Cluster: 2515
Berechnungszeit Distanz: 0
Gesamt:  2852 ms

Für Auto06.png: 
Berechnungszeit KPs: 351
Berechnungszeit Cluster: 2818
Berechnungszeit Distanz: 0
Gesamt:  3169 ms

Für Auto06_bw.png: 
Berechnungszeit KPs: 376
Berechnungszeit Cluster: 2940
Berechnungszeit Distanz: 15
Gesamt:  3331 ms

Für Auto06_mir.png: 
Berechnungszeit KPs: 331
Berechnungszeit Cluster: 2980
Berechnungszeit Distanz: 0
Gesamt:  3311 ms

Für Auto06_rot.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 2563
Berechnungszeit Distanz: 16
Gesamt:  2871 ms

Für Auto07.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 1800
Berechnungszeit Distanz: 0
Gesamt:  2081 ms

Für Auto08.png: 
Berechnungszeit KPs: 273
Berechnungszeit Cluster: 1592
Berechnungszeit Distanz: 15
Gesamt:  1880 ms

Für Auto08_bw.png: 
Berechnungszeit KPs: 252
Berechnungszeit Cluster: 1539
Berechnungszeit Distanz: 0
Gesamt:  1791 ms

Für Auto08_mir.png: 
Berechnungszeit KPs: 261
Berechnungszeit Cluster: 1570
Berechnungszeit Distanz: 0
Gesamt:  1831 ms

Für Auto08_rot.png: 
Berechnungszeit KPs: 241
Berechnungszeit Cluster: 1520
Berechnungszeit Distanz: 16
Gesamt:  1777 ms

Für Auto09.png: 
