Zeitstempel: 2020-09-05T17:52:55.968  ///  Zu vergleichendes Bild: Schaf03
Distanz zwischen Schaf03 und Landschaft07 => 290.3663378604548
Distanz zwischen Schaf03 und Landschaft07_bw => 250.19437238459466
Distanz zwischen Schaf03 und Landschaft07_mir => 574.8120368776575
Distanz zwischen Schaf03 und Landschaft07_rot => 249.39492009771783
Distanz zwischen Schaf03 und Landschaft09 => 2050.620981804118
Distanz zwischen Schaf03 und Landschaft09_bw => 1781.0481231700394
Distanz zwischen Schaf03 und Landschaft09_mir => 1738.0759402245048
Distanz zwischen Schaf03 und Landschaft09_rot => 1285.3671324486284
Distanz zwischen Schaf03 und Landschaft10 => 125.36662619398841
Distanz zwischen Schaf03 und Landschaft10_bw => 369.0346402277838
Distanz zwischen Schaf03 und Landschaft10_mir => 207.03838857562926
Distanz zwischen Schaf03 und Landschaft10_rot => 247.40478686871884
Distanz zwischen Schaf03 und Mensch01 => 13136.308775386835
Distanz zwischen Schaf03 und Mensch01_bw => 12907.809993335008
Distanz zwischen Schaf03 und Mensch01_mir => 13136.546232774152
Distanz zwischen Schaf03 und Mensch01_rot => 5709.9350896431015
Distanz zwischen Schaf03 und Mensch02 => 608.520199948191
Distanz zwischen Schaf03 und Mensch02_bw => 569.8035912963846
Distanz zwischen Schaf03 und Mensch02_mir => 608.529165225123
Distanz zwischen Schaf03 und Mensch02_rot => 694.1660913358618
Distanz zwischen Schaf03 und Mensch03 => 363.62973553442606
Distanz zwischen Schaf03 und Mensch03_bw => 86.119301590666
Distanz zwischen Schaf03 und Mensch03_mir => 363.59297217860865
Distanz zwischen Schaf03 und Mensch03_rot => 322.09010023961565
Distanz zwischen Schaf03 und Mensch04 => 2342.7189105514544
Distanz zwischen Schaf03 und Mensch05 => 2449.714911172632
Distanz zwischen Schaf03 und Mensch05_bw => 2806.059761781111
Distanz zwischen Schaf03 und Mensch05_mir => 2449.643875544369
Distanz zwischen Schaf03 und Mensch05_rot => 1564.4882965653846
Distanz zwischen Schaf03 und Mensch06 => 525.3022892502132
Distanz zwischen Schaf03 und Mensch06_bw => 524.9948182530986
Distanz zwischen Schaf03 und Mensch06_mir => 525.4270119677287
Distanz zwischen Schaf03 und Mensch06_rot => 482.01950903754135
Distanz zwischen Schaf03 und Mensch07 => 2084.1466371857496
Distanz zwischen Schaf03 und Mensch07_bw => 1781.9466292474604
Distanz zwischen Schaf03 und Mensch07_mir => 2084.0611824462894
Distanz zwischen Schaf03 und Mensch07_rot => 824.0482186979066
Distanz zwischen Schaf03 und Mensch08 => 2403.8417165661153
Distanz zwischen Schaf03 und Mensch08_bw => 1828.6676813350768
Distanz zwischen Schaf03 und Mensch08_mir => 2555.813095440265
Distanz zwischen Schaf03 und Mensch08_rot => 146.778422681708
Distanz zwischen Schaf03 und Mensch09 => 407.9261874217883
Distanz zwischen Schaf03 und Mensch09_bw => 124.31099982154274
Distanz zwischen Schaf03 und Mensch09_mir => 407.74521837805383
Distanz zwischen Schaf03 und Mensch09_rot => 906.6825112689198
Distanz zwischen Schaf03 und Mensch10 => 7871.660691432026
Distanz zwischen Schaf03 und Mensch10_bw => 7343.832179391881
Distanz zwischen Schaf03 und Mensch10_mir => 8135.836417945324
Distanz zwischen Schaf03 und Mensch10_rot => 5420.386169976555
Distanz zwischen Schaf03 und Pferd01 => 1395.5504737538254
Distanz zwischen Schaf03 und Pferd01_bw => 2060.6543764420458
Distanz zwischen Schaf03 und Pferd01_mir => 1395.563826955041
Distanz zwischen Schaf03 und Pferd01_rot => 328.7269949006427
Distanz zwischen Schaf03 und Pferd02 => 124.12712464425776
Distanz zwischen Schaf03 und Pferd02_bw => 51.046200861127986
Distanz zwischen Schaf03 und Pferd02_mir => 124.4140950549109
Distanz zwischen Schaf03 und Pferd02_rot => 83.24731309918293
Distanz zwischen Schaf03 und Pferd03 => 206.15517178122226
Distanz zwischen Schaf03 und Pferd03_bw => 87.24141796815417
Distanz zwischen Schaf03 und Pferd03_mir => 206.26911133604776
Distanz zwischen Schaf03 und Pferd03_rot => 679.2487652737423
Distanz zwischen Schaf03 und Pferd04 => 358.4092447379455
Distanz zwischen Schaf03 und Pferd04_bw => 359.28149490775604
Distanz zwischen Schaf03 und Pferd04_mir => 358.3988392381936
Distanz zwischen Schaf03 und Pferd04_rot => 358.6603218115057
Distanz zwischen Schaf03 und Pferd05 => 427.11090633662866
Distanz zwischen Schaf03 und Pferd05_bw => 426.3981260270501
Distanz zwischen Schaf03 und Pferd05_mir => 426.8846846423244
Distanz zwischen Schaf03 und Pferd05_rot => 129.3817390807265
Distanz zwischen Schaf03 und Pferd06 => 476.5677146202644
Distanz zwischen Schaf03 und Pferd06_bw => 477.41863205055427
Distanz zwischen Schaf03 und Pferd06_mir => 438.2771348110966
Distanz zwischen Schaf03 und Pferd06_rot => 396.22797992361484
Distanz zwischen Schaf03 und Pferd07 => 593.9419987634234
Distanz zwischen Schaf03 und Pferd07_bw => 635.1542120598707
Distanz zwischen Schaf03 und Pferd07_mir => 593.9626796680644
Distanz zwischen Schaf03 und Pferd07_rot => 596.6198832708786
Distanz zwischen Schaf03 und Pferd08 => 937.8495912343368
Distanz zwischen Schaf03 und Pferd08_bw => 1060.016894868949
Distanz zwischen Schaf03 und Pferd08_mir => 938.3162205802398
Distanz zwischen Schaf03 und Pferd08_rot => 874.43762142347
Distanz zwischen Schaf03 und Pferd09 => 322.94519527819836
Distanz zwischen Schaf03 und Pferd09_bw => 322.70447722107616
Distanz zwischen Schaf03 und Pferd09_mir => 735.9074163240292
Distanz zwischen Schaf03 und Pferd09_rot => 120.92195061042379
Distanz zwischen Schaf03 und Pferd10 => 42.291083062820405
Distanz zwischen Schaf03 und Pferd10_bw => 122.80231273281443
Distanz zwischen Schaf03 und Pferd10_mir => 42.12640344923757
Distanz zwischen Schaf03 und Pferd10_rot => 369.4890302408479
Distanz zwischen Schaf03 und Rad01 => 266.9777198623152
Distanz zwischen Schaf03 und Rad01_bw => 424.95790608246256
Distanz zwischen Schaf03 und Rad01_mir => 266.7619452452164
Distanz zwischen Schaf03 und Rad01_rot => 895.6922557514521
Distanz zwischen Schaf03 und Rad03 => 278.3949470804699
Distanz zwischen Schaf03 und Rad03_bw => 278.4837606554656
Distanz zwischen Schaf03 und Rad03_mir => 278.40611823116046
Distanz zwischen Schaf03 und Rad03_rot => 239.37132156511566
Distanz zwischen Schaf03 und Rad04 => 17.938598765083764
Distanz zwischen Schaf03 und Rad04_bw => 97.6207627132519
Distanz zwischen Schaf03 und Rad04_mir => 18.334629966302103
Distanz zwischen Schaf03 und Rad04_rot => 139.13792345675265
Distanz zwischen Schaf03 und Rad05 => 99.48899403037454
Distanz zwischen Schaf03 und Rad06 => 889.6401099581201
Distanz zwischen Schaf03 und Rad07 => 125.15400409377858
Distanz zwischen Schaf03 und Rad07_bw => 313.80360334169103
Distanz zwischen Schaf03 und Rad07_mir => 124.25770126300243
Distanz zwischen Schaf03 und Rad07_rot => 364.9710862078158
Distanz zwischen Schaf03 und Rad08 => 481.69309595761325
Distanz zwischen Schaf03 und Rad08_bw => 435.45180394982964
Distanz zwischen Schaf03 und Rad08_mir => 481.9355315128894
Distanz zwischen Schaf03 und Rad08_rot => 703.6137053580525
Distanz zwischen Schaf03 und Rad09 => 716.7912204625679
Distanz zwischen Schaf03 und Rad09_bw => 718.1369695068526
Distanz zwischen Schaf03 und Rad09_mir => 716.7925122149741
Distanz zwischen Schaf03 und Rad09_rot => 468.7970861791768
Distanz zwischen Schaf03 und Rad10 => 183.3509404349957
Distanz zwischen Schaf03 und Rad10_bw => 406.7976401826884
Distanz zwischen Schaf03 und Rad10_mir => 183.7621867536018
Distanz zwischen Schaf03 und Rad10_rot => 399.9729628253666
Distanz zwischen Schaf03 und Schaf01 => 176.06621054264696
Distanz zwischen Schaf03 und Schaf01_bw => 21.214496991662187
Distanz zwischen Schaf03 und Schaf01_mir => 176.13200466998987
Distanz zwischen Schaf03 und Schaf01_rot => 451.18719050205794
Distanz zwischen Schaf03 und Schaf02 => 145.70360634773067
Distanz zwischen Schaf03 und Schaf03 => 0.0
Distanz zwischen Schaf03 und Schaf03_bw => 44.38045633872412
Distanz zwischen Schaf03 und Schaf03_mir => 1.3532210705493712
Distanz zwischen Schaf03 und Schaf03_rot => 122.34650304266435
Distanz zwischen Schaf03 und Schaf04 => 635.9975485320052
Distanz zwischen Schaf03 und Schaf04_bw => 672.6168778362793
Distanz zwischen Schaf03 und Schaf04_mir => 636.0027386592444
Distanz zwischen Schaf03 und Schaf04_rot => 479.12334055710414
Distanz zwischen Schaf03 und Schaf06 => 1171.070536699632
Distanz zwischen Schaf03 und Schaf06_bw => 1101.6196475818547
Distanz zwischen Schaf03 und Schaf06_mir => 1171.119270240627
Distanz zwischen Schaf03 und Schaf06_rot => 972.0535953939846
