Zeitstempel: 2020-09-23T16:12:47.896  ///  Zu vergleichendes Bild: Mensch02

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch02 und Auto01 => 47865.06297852643
Distanz zwischen Mensch02 und Auto01_bw => 47180.56302531344
Distanz zwischen Mensch02 und Auto01_mir => 47869.04501309988
Distanz zwischen Mensch02 und Auto01_rot => 39027.62167295852
Distanz zwischen Mensch02 und Auto02 => 38387.099442744075
Distanz zwischen Mensch02 und Auto02_bw => 38583.61867123261
Distanz zwischen Mensch02 und Auto02_mir => 38387.17522485236
Distanz zwischen Mensch02 und Auto02_rot => 30274.866678711292
Distanz zwischen Mensch02 und Auto03 => 6589.6106405865585
Distanz zwischen Mensch02 und Auto03_bw => 6417.789576781093
Distanz zwischen Mensch02 und Auto03_mir => 6586.415007134376
Distanz zwischen Mensch02 und Auto03_rot => 3305.6919027582235
Distanz zwischen Mensch02 und Auto04 => 15565.666600713075
Distanz zwischen Mensch02 und Auto04_bw => 16315.832372602446
Distanz zwischen Mensch02 und Auto04_mir => 15567.06679429465
Distanz zwischen Mensch02 und Auto04_rot => 10815.378310538174
Distanz zwischen Mensch02 und Auto05 => 37772.12240039164
Distanz zwischen Mensch02 und Auto05_bw => 37997.87089361614
Distanz zwischen Mensch02 und Auto05_mir => 37770.118340694025
Distanz zwischen Mensch02 und Auto05_rot => 31462.552284782065
Distanz zwischen Mensch02 und Auto06 => 35691.277177235504
Distanz zwischen Mensch02 und Auto06_bw => 35823.238631547334
Distanz zwischen Mensch02 und Auto06_mir => 35684.25043300885
Distanz zwischen Mensch02 und Auto06_rot => 29177.070213716466
Distanz zwischen Mensch02 und Auto07 => 25012.155789043303
Distanz zwischen Mensch02 und Auto08 => 20194.83041668815
Distanz zwischen Mensch02 und Auto08_bw => 18878.038465123645
Distanz zwischen Mensch02 und Auto08_mir => 20193.417894643575
Distanz zwischen Mensch02 und Auto08_rot => 14662.797728869466
Distanz zwischen Mensch02 und Auto09 => 19911.475002625742
Distanz zwischen Mensch02 und Auto09_bw => 20506.63213584444
Distanz zwischen Mensch02 und Auto09_mir => 19912.018720767384
Distanz zwischen Mensch02 und Auto09_rot => 14220.820428354102
Distanz zwischen Mensch02 und Auto10 => 30349.810275076416
Distanz zwischen Mensch02 und Auto10_bw => 30069.23840974345
Distanz zwischen Mensch02 und Auto10_mir => 30334.28991171767
Distanz zwischen Mensch02 und Auto10_rot => 22928.71027278236
Distanz zwischen Mensch02 und Bike01 => 3631.909721873935
Distanz zwischen Mensch02 und Bike01_bw => 3195.713755007617
Distanz zwischen Mensch02 und Bike01_mir => 3610.4446351241327
Distanz zwischen Mensch02 und Bike01_rot => 8309.916890611816
Distanz zwischen Mensch02 und Bike02 => 32585.38590929024
Distanz zwischen Mensch02 und Bike02_bw => 32638.970425132524
Distanz zwischen Mensch02 und Bike02_mir => 32640.816903860137
Distanz zwischen Mensch02 und Bike02_rot => 20984.901464155093
Distanz zwischen Mensch02 und Bike03 => 4978.341226268758
Distanz zwischen Mensch02 und Bike03_bw => 5253.910696771505
Distanz zwischen Mensch02 und Bike03_mir => 4967.617744548115
