Zeitstempel: 2020-09-23T12:40:57.610  ///  Zu vergleichendes Bild: Auto01

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Auto01 und Auto01 => 0.0
Distanz zwischen Auto01 und Auto01_bw => 531.5609796078913
Distanz zwischen Auto01 und Auto01_mir => 20.832190727180567
Distanz zwischen Auto01 und Auto01_rot => 8854.330965996633
Distanz zwischen Auto01 und Auto02 => 11879.310368126688
Distanz zwischen Auto01 und Auto02_bw => 11518.563977296195
Distanz zwischen Auto01 und Auto02_mir => 11885.371591509338
Distanz zwischen Auto01 und Auto02_rot => 20111.75810141602
Distanz zwischen Auto01 und Auto03 => 42297.308756834165
Distanz zwischen Auto01 und Auto03_bw => 42233.75950626213
Distanz zwischen Auto01 und Auto03_mir => 42222.90665047652
Distanz zwischen Auto01 und Auto03_rot => 45711.657737533715
Distanz zwischen Auto01 und Auto04 => 32106.931211231444
Distanz zwischen Auto01 und Auto04_bw => 31345.231483016654
Distanz zwischen Auto01 und Auto04_mir => 32527.703009731544
Distanz zwischen Auto01 und Auto04_rot => 36819.048386112445
Distanz zwischen Auto01 und Auto05 => 10833.506404116919
Distanz zwischen Auto01 und Auto05_bw => 10459.198862529001
Distanz zwischen Auto01 und Auto05_mir => 10833.148195535
Distanz zwischen Auto01 und Auto05_rot => 17168.1128626415
Distanz zwischen Auto01 und Auto06 => 11868.89051149894
Distanz zwischen Auto01 und Auto06_bw => 11820.830764330607
Distanz zwischen Auto01 und Auto06_mir => 11836.380509674833
Distanz zwischen Auto01 und Auto06_rot => 18376.244447458655
Distanz zwischen Auto01 und Auto07 => 22145.648583869144
Distanz zwischen Auto01 und Auto08 => 28127.130351317242
Distanz zwischen Auto01 und Auto08_bw => 29188.390121634566
Distanz zwischen Auto01 und Auto08_mir => 28155.151090277024
Distanz zwischen Auto01 und Auto08_rot => 33646.47886471892
Distanz zwischen Auto01 und Auto09 => 28218.706100077117
Distanz zwischen Auto01 und Auto09_bw => 27636.2376718509
Distanz zwischen Auto01 und Auto09_mir => 28211.567438864375
Distanz zwischen Auto01 und Auto09_rot => 33927.05229037207
Distanz zwischen Auto01 und Auto10 => 17116.062178658787
Distanz zwischen Auto01 und Auto10_bw => 17299.81679226552
Distanz zwischen Auto01 und Auto10_mir => 17191.417093749013
Distanz zwischen Auto01 und Auto10_rot => 24629.235499738887
Distanz zwischen Auto01 und Bike01 => 52113.89228345811
Distanz zwischen Auto01 und Bike01_bw => 51555.18049293857
Distanz zwischen Auto01 und Bike01_mir => 52089.47335137041
Distanz zwischen Auto01 und Bike01_rot => 56910.62996041859
Distanz zwischen Auto01 und Bike02 => 16622.468362028652
Distanz zwischen Auto01 und Bike02_bw => 16408.645334603967
Distanz zwischen Auto01 und Bike02_mir => 16578.344044468147
Distanz zwischen Auto01 und Bike02_rot => 28176.151725878906
Distanz zwischen Auto01 und Bike03 => 44087.331152166225
Distanz zwischen Auto01 und Bike03_bw => 43690.985700088495
Distanz zwischen Auto01 und Bike03_mir => 44087.510183127866
Distanz zwischen Auto01 und Bike03_rot => 50855.806808713845
Distanz zwischen Auto01 und Bike04 => 23745.678503836796
