Zeitstempel: 2020-09-23T17:28:48.196  ///  Zu vergleichendes Bild: Pferd03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd03 und Auto01 => 51771.17274929541
Distanz zwischen Pferd03 und Auto01_bw => 51223.314689753395
Distanz zwischen Pferd03 und Auto01_mir => 51774.28341424965
Distanz zwischen Pferd03 und Auto01_rot => 42963.990837601676
Distanz zwischen Pferd03 und Auto02 => 42503.638735758825
Distanz zwischen Pferd03 und Auto02_bw => 42696.206537451806
Distanz zwischen Pferd03 und Auto02_mir => 42501.9378538983
Distanz zwischen Pferd03 und Auto02_rot => 34339.612355428464
Distanz zwischen Pferd03 und Auto03 => 10197.606411287657
Distanz zwischen Pferd03 und Auto03_bw => 10025.949012006373
Distanz zwischen Pferd03 und Auto03_mir => 10179.038235810509
Distanz zwischen Pferd03 und Auto03_rot => 6907.713384154293
Distanz zwischen Pferd03 und Auto04 => 19719.57455193235
Distanz zwischen Pferd03 und Auto04_bw => 20403.180599840827
Distanz zwischen Pferd03 und Auto04_mir => 19970.124075331136
Distanz zwischen Pferd03 und Auto04_rot => 14999.826697691818
Distanz zwischen Pferd03 und Auto05 => 41787.60327039943
Distanz zwischen Pferd03 und Auto05_bw => 42090.63234027328
Distanz zwischen Pferd03 und Auto05_mir => 41785.24467861642
Distanz zwischen Pferd03 und Auto05_rot => 35424.29973944185
Distanz zwischen Pferd03 und Auto06 => 41271.99274830252
Distanz zwischen Pferd03 und Auto06_bw => 41213.17524837991
Distanz zwischen Pferd03 und Auto06_mir => 41140.5043866768
Distanz zwischen Pferd03 und Auto06_rot => 34741.59355025897
Distanz zwischen Pferd03 und Auto07 => 30268.82403612237
Distanz zwischen Pferd03 und Auto08 => 24381.275327925185
Distanz zwischen Pferd03 und Auto08_bw => 23288.723420424416
Distanz zwischen Pferd03 und Auto08_mir => 24403.61143681877
Distanz zwischen Pferd03 und Auto08_rot => 18797.172100100885
Distanz zwischen Pferd03 und Auto09 => 24067.186559315825
Distanz zwischen Pferd03 und Auto09_bw => 24617.074223502754
Distanz zwischen Pferd03 und Auto09_mir => 24060.550266817718
Distanz zwischen Pferd03 und Auto09_rot => 18424.11832239816
Distanz zwischen Pferd03 und Auto10 => 35353.322576690465
Distanz zwischen Pferd03 und Auto10_bw => 35031.36032586876
Distanz zwischen Pferd03 und Auto10_mir => 35473.00127396729
Distanz zwischen Pferd03 und Auto10_rot => 27449.189637936946
Distanz zwischen Pferd03 und Bike01 => 622.3158568653126
Distanz zwischen Pferd03 und Bike01_bw => 801.2490806370936
Distanz zwischen Pferd03 und Bike01_mir => 598.1675954557406
Distanz zwischen Pferd03 und Bike01_rot => 5640.055687583867
Distanz zwischen Pferd03 und Bike02 => 36613.91202868028
Distanz zwischen Pferd03 und Bike02_bw => 36648.473592485425
Distanz zwischen Pferd03 und Bike02_mir => 36670.65856593882
Distanz zwischen Pferd03 und Bike02_rot => 24907.89443897408
Distanz zwischen Pferd03 und Bike03 => 8538.549235307553
Distanz zwischen Pferd03 und Bike03_bw => 8810.237054179845
Distanz zwischen Pferd03 und Bike03_mir => 8531.249389976223
