Zeitstempel: 2020-09-23T19:20:12.691  ///  Zu vergleichendes Bild: Rad10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Rad10 und Auto01 => 29084.72975463071
Distanz zwischen Rad10 und Auto01_bw => 28580.443490058016
Distanz zwischen Rad10 und Auto01_mir => 29072.129128820558
Distanz zwischen Rad10 und Auto01_rot => 19844.42148439365
Distanz zwischen Rad10 und Auto02 => 17460.83113142687
Distanz zwischen Rad10 und Auto02_bw => 17812.7355778676
Distanz zwischen Rad10 und Auto02_mir => 17484.53354109109
Distanz zwischen Rad10 und Auto02_rot => 9052.604744808394
Distanz zwischen Rad10 und Auto03 => 16471.635063909638
Distanz zwischen Rad10 und Auto03_bw => 16559.93384842011
Distanz zwischen Rad10 und Auto03_mir => 16445.50081340814
Distanz zwischen Rad10 und Auto03_rot => 20008.702298495737
Distanz zwischen Rad10 und Auto04 => 5958.528493892253
Distanz zwischen Rad10 und Auto04_bw => 5184.425159429897
Distanz zwischen Rad10 und Auto04_mir => 6027.463508226012
Distanz zwischen Rad10 und Auto04_rot => 10906.52804414262
Distanz zwischen Rad10 und Auto05 => 18156.826239516347
Distanz zwischen Rad10 und Auto05_bw => 18593.212827228504
Distanz zwischen Rad10 und Auto05_mir => 18152.994810257198
Distanz zwischen Rad10 und Auto05_rot => 11419.001432803045
Distanz zwischen Rad10 und Auto06 => 17566.520577626223
Distanz zwischen Rad10 und Auto06_bw => 17537.960326266562
Distanz zwischen Rad10 und Auto06_mir => 17506.578926507325
Distanz zwischen Rad10 und Auto06_rot => 10636.787040123912
Distanz zwischen Rad10 und Auto07 => 7036.462206320893
Distanz zwischen Rad10 und Auto08 => 1716.9419084618244
Distanz zwischen Rad10 und Auto08_bw => 2787.0633176081355
Distanz zwischen Rad10 und Auto08_mir => 1717.5337000706559
Distanz zwischen Rad10 und Auto08_rot => 7475.083203413255
Distanz zwischen Rad10 und Auto09 => 1977.050380552625
Distanz zwischen Rad10 und Auto09_bw => 1393.1442206482989
Distanz zwischen Rad10 und Auto09_mir => 1981.3273408294053
Distanz zwischen Rad10 und Auto09_rot => 7863.1463426400605
Distanz zwischen Rad10 und Auto10 => 11678.347330450135
Distanz zwischen Rad10 und Auto10_bw => 11403.201483215355
Distanz zwischen Rad10 und Auto10_mir => 11698.512225604545
Distanz zwischen Rad10 und Auto10_rot => 3508.807307204568
Distanz zwischen Rad10 und Bike01 => 26794.57997691127
Distanz zwischen Rad10 und Bike01_bw => 26177.875152206117
Distanz zwischen Rad10 und Bike01_mir => 26768.66820354475
Distanz zwischen Rad10 und Bike01_rot => 32048.190181768103
Distanz zwischen Rad10 und Bike02 => 11942.490696957915
Distanz zwischen Rad10 und Bike02_bw => 12150.349547587191
Distanz zwischen Rad10 und Bike02_mir => 11970.093653596152
Distanz zwischen Rad10 und Bike02_rot => 1064.1202763901842
Distanz zwischen Rad10 und Bike03 => 18182.987784808996
Distanz zwischen Rad10 und Bike03_bw => 17849.108428717875
Distanz zwischen Rad10 und Bike03_mir => 17942.443193616637
Distanz zwischen Rad10 und Bike03_rot => 24487.067908124754
Distanz zwischen Rad10 und Bike04 => 5198.507468558384
