Zeitstempel: 2020-09-23T14:08:11.471  ///  Zu vergleichendes Bild: Bike02

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Bike02 und Auto01 => 16622.468362028652
Distanz zwischen Bike02 und Auto01_bw => 16136.546598993358
Distanz zwischen Bike02 und Auto01_mir => 16606.385282049945
Distanz zwischen Bike02 und Auto01_rot => 7736.151402626527
Distanz zwischen Bike02 und Auto02 => 5662.114726821138
Distanz zwischen Bike02 und Auto02_bw => 5968.45957710918
Distanz zwischen Bike02 und Auto02_mir => 5672.160530739146
Distanz zwischen Bike02 und Auto02_rot => 3488.5093279366743
Distanz zwischen Bike02 und Auto03 => 26772.192857144724
Distanz zwischen Bike02 und Auto03_bw => 26804.833973201643
Distanz zwischen Bike02 und Auto03_mir => 26724.217437728057
Distanz zwischen Bike02 und Auto03_rot => 30215.616583982086
Distanz zwischen Bike02 und Auto04 => 16498.486430790024
Distanz zwischen Bike02 und Auto04_bw => 15737.516102883721
Distanz zwischen Bike02 und Auto04_mir => 16706.688931799225
Distanz zwischen Bike02 und Auto04_rot => 21284.973170495334
Distanz zwischen Bike02 und Auto05 => 6183.728731790377
Distanz zwischen Bike02 und Auto05_bw => 6624.583412773251
Distanz zwischen Bike02 und Auto05_mir => 6183.544635949095
Distanz zwischen Bike02 und Auto05_rot => 969.2407299920479
Distanz zwischen Bike02 und Auto06 => 5518.02923579885
Distanz zwischen Bike02 und Auto06_bw => 5493.555579358999
Distanz zwischen Bike02 und Auto06_mir => 5497.908701840561
Distanz zwischen Bike02 und Auto06_rot => 2076.070519393244
Distanz zwischen Bike02 und Auto07 => 6520.1466468533745
Distanz zwischen Bike02 und Auto08 => 12433.631901281835
Distanz zwischen Bike02 und Auto08_bw => 13485.93302151909
Distanz zwischen Bike02 und Auto08_mir => 12446.768676411622
Distanz zwischen Bike02 und Auto08_rot => 18021.017961502825
Distanz zwischen Bike02 und Auto09 => 12648.033455242623
Distanz zwischen Bike02 und Auto09_bw => 12064.420564540453
Distanz zwischen Bike02 und Auto09_mir => 12643.79074897241
Distanz zwischen Bike02 und Auto09_rot => 18409.311180210443
Distanz zwischen Bike02 und Auto10 => 1010.5263301644165
Distanz zwischen Bike02 und Auto10_bw => 1241.0679293479075
Distanz zwischen Bike02 und Auto10_mir => 1033.8104112578822
Distanz zwischen Bike02 und Auto10_rot => 8797.763603664705
Distanz zwischen Bike02 und Bike01 => 36754.365758722226
Distanz zwischen Bike02 und Bike01_bw => 36155.09002480121
Distanz zwischen Bike02 und Bike01_mir => 36728.23039544193
Distanz zwischen Bike02 und Bike01_rot => 41746.2423563813
Distanz zwischen Bike02 und Bike02 => 0.0
Distanz zwischen Bike02 und Bike02_bw => 239.96184856015435
Distanz zwischen Bike02 und Bike02_mir => 71.35508837319374
Distanz zwischen Bike02 und Bike02_rot => 11742.8556159402
Distanz zwischen Bike02 und Bike03 => 28575.414439113392
Distanz zwischen Bike02 und Bike03_bw => 28211.657150280622
Distanz zwischen Bike02 und Bike03_mir => 28187.21812377463
Distanz zwischen Bike02 und Bike03_rot => 34549.490036071846
Distanz zwischen Bike02 und Bike04 => 7758.337981644945
