Zeitstempel: 2020-09-23T17:08:05.452  ///  Zu vergleichendes Bild: Mensch10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch10 und Auto01 => 52450.68141608621
Distanz zwischen Mensch10 und Auto01_bw => 51910.408493214774
Distanz zwischen Mensch10 und Auto01_mir => 52424.88105074406
Distanz zwischen Mensch10 und Auto01_rot => 42685.48457920967
Distanz zwischen Mensch10 und Auto02 => 40132.05373880885
Distanz zwischen Mensch10 und Auto02_bw => 40494.41442308181
Distanz zwischen Mensch10 und Auto02_mir => 40185.86058170313
Distanz zwischen Mensch10 und Auto02_rot => 31216.183271934693
Distanz zwischen Mensch10 und Auto03 => 5884.142509697767
Distanz zwischen Mensch10 und Auto03_bw => 5722.890941045199
Distanz zwischen Mensch10 und Auto03_mir => 5873.152532898542
Distanz zwischen Mensch10 und Auto03_rot => 2202.3905238025295
Distanz zwischen Mensch10 und Auto04 => 16676.010355908187
Distanz zwischen Mensch10 und Auto04_bw => 17452.464750903364
Distanz zwischen Mensch10 und Auto04_mir => 16864.389156202826
Distanz zwischen Mensch10 und Auto04_rot => 11411.575795596953
Distanz zwischen Mensch10 und Auto05 => 41057.602265268455
Distanz zwischen Mensch10 und Auto05_bw => 41525.91577710869
Distanz zwischen Mensch10 und Auto05_mir => 41052.482576625705
Distanz zwischen Mensch10 und Auto05_rot => 33950.0152012403
Distanz zwischen Mensch10 und Auto06 => 40576.3255432682
Distanz zwischen Mensch10 und Auto06_bw => 40523.42579488779
Distanz zwischen Mensch10 und Auto06_mir => 40459.42961350438
Distanz zwischen Mensch10 und Auto06_rot => 33273.36343524151
Distanz zwischen Mensch10 und Auto07 => 28330.062010071724
Distanz zwischen Mensch10 und Auto08 => 21719.359724742513
Distanz zwischen Mensch10 und Auto08_bw => 20521.427407169842
Distanz zwischen Mensch10 und Auto08_mir => 21736.10675792723
Distanz zwischen Mensch10 und Auto08_rot => 15476.21006155008
Distanz zwischen Mensch10 und Auto09 => 21376.054495209126
Distanz zwischen Mensch10 und Auto09_bw => 21993.464021562955
Distanz zwischen Mensch10 und Auto09_mir => 21372.091310076376
Distanz zwischen Mensch10 und Auto09_rot => 15058.312665132331
Distanz zwischen Mensch10 und Auto10 => 34075.53182143976
Distanz zwischen Mensch10 und Auto10_bw => 33739.974982853455
Distanz zwischen Mensch10 und Auto10_mir => 34176.257466078554
Distanz zwischen Mensch10 und Auto10_rot => 25281.277899429275
Distanz zwischen Mensch10 und Bike01 => 6054.882244450535
Distanz zwischen Mensch10 und Bike01_bw => 5415.026186289718
Distanz zwischen Mensch10 und Bike01_mir => 6031.913277664637
Distanz zwischen Mensch10 und Bike01_rot => 11654.76288738155
Distanz zwischen Mensch10 und Bike02 => 34617.33309337317
Distanz zwischen Mensch10 und Bike02_bw => 34864.857427506315
Distanz zwischen Mensch10 und Bike02_mir => 34622.50748683977
Distanz zwischen Mensch10 und Bike02_rot => 21837.25821273615
Distanz zwischen Mensch10 und Bike03 => 4159.683192464491
Distanz zwischen Mensch10 und Bike03_bw => 4479.22167467874
Distanz zwischen Mensch10 und Bike03_mir => 4092.2085561817003
