Zeitstempel: 2020-09-23T17:56:19.251  ///  Zu vergleichendes Bild: Pferd07
Distanz zwischen Pferd07 und Landschaft07 => 44847.77134023628
Distanz zwischen Pferd07 und Landschaft07_bw => 45423.93297309647
Distanz zwischen Pferd07 und Landschaft07_mir => 44408.61432598273
Distanz zwischen Pferd07 und Landschaft07_rot => 44517.30552938597
Distanz zwischen Pferd07 und Landschaft09 => 40781.76518182807
Distanz zwischen Pferd07 und Landschaft09_bw => 40933.253280482655
Distanz zwischen Pferd07 und Landschaft09_mir => 40656.590081174036
Distanz zwischen Pferd07 und Landschaft09_rot => 42719.247788968016
Distanz zwischen Pferd07 und Landschaft10 => 41515.13476712169
Distanz zwischen Pferd07 und Landschaft10_bw => 41313.128007829364
Distanz zwischen Pferd07 und Landschaft10_mir => 41495.21067009029
Distanz zwischen Pferd07 und Landschaft10_rot => 42078.8820848769
Distanz zwischen Pferd07 und Mensch01 => 10851.132285335552
Distanz zwischen Pferd07 und Mensch01_bw => 10901.550760591233
Distanz zwischen Pferd07 und Mensch01_mir => 10914.613259790522
Distanz zwischen Pferd07 und Mensch01_rot => 18310.333279507868
Distanz zwischen Pferd07 und Mensch02 => 20780.100571960043
Distanz zwischen Pferd07 und Mensch02_bw => 20602.74090610447
Distanz zwischen Pferd07 und Mensch02_mir => 20599.95389074401
Distanz zwischen Pferd07 und Mensch02_rot => 24274.919192599325
Distanz zwischen Pferd07 und Mensch03 => 35927.203010735386
Distanz zwischen Pferd07 und Mensch03_bw => 36213.11793121166
Distanz zwischen Pferd07 und Mensch03_mir => 35995.994674832706
Distanz zwischen Pferd07 und Mensch03_rot => 36829.58280873336
Distanz zwischen Pferd07 und Mensch04 => 13905.894282566374
Distanz zwischen Pferd07 und Mensch05 => 15701.644986017138
Distanz zwischen Pferd07 und Mensch05_bw => 15822.978505468054
Distanz zwischen Pferd07 und Mensch05_mir => 15890.610221695699
Distanz zwischen Pferd07 und Mensch05_rot => 19076.498318256123
Distanz zwischen Pferd07 und Mensch06 => 25845.738473359663
Distanz zwischen Pferd07 und Mensch06_bw => 25981.590361317172
Distanz zwischen Pferd07 und Mensch06_mir => 25807.55087673986
Distanz zwischen Pferd07 und Mensch06_rot => 28991.677910275394
Distanz zwischen Pferd07 und Mensch07 => 17431.687436609576
Distanz zwischen Pferd07 und Mensch07_bw => 17661.83216595669
Distanz zwischen Pferd07 und Mensch07_mir => 17401.59251391305
Distanz zwischen Pferd07 und Mensch07_rot => 20907.452995216445
Distanz zwischen Pferd07 und Mensch08 => 27324.297874182037
