Zeitstempel: 2020-09-23T19:34:02.615  ///  Zu vergleichendes Bild: Schaf02

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf02 und Auto01 => 39961.6578255707
Distanz zwischen Schaf02 und Auto01_bw => 39475.06577505635
Distanz zwischen Schaf02 und Auto01_mir => 39945.283320703835
Distanz zwischen Schaf02 und Auto01_rot => 31117.579611192537
Distanz zwischen Schaf02 und Auto02 => 29228.06688668711
Distanz zwischen Schaf02 und Auto02_bw => 29440.775353694477
Distanz zwischen Schaf02 und Auto02_mir => 29228.87468881464
Distanz zwischen Schaf02 und Auto02_rot => 21213.7377400684
Distanz zwischen Schaf02 und Auto03 => 3036.799430584749
Distanz zwischen Schaf02 und Auto03_bw => 3186.7241951915576
Distanz zwischen Schaf02 und Auto03_mir => 3032.0308061053993
Distanz zwischen Schaf02 und Auto03_rot => 6353.436810867422
Distanz zwischen Schaf02 und Auto04 => 7826.183514439088
Distanz zwischen Schaf02 und Auto04_bw => 8529.45250938368
Distanz zwischen Schaf02 und Auto04_mir => 7928.354636946981
Distanz zwischen Schaf02 und Auto04_rot => 3094.861372534576
Distanz zwischen Schaf02 und Auto05 => 29999.035319937768
Distanz zwischen Schaf02 und Auto05_bw => 30419.316934206825
Distanz zwischen Schaf02 und Auto05_mir => 29995.420425551285
Distanz zwischen Schaf02 und Auto05_rot => 23563.988398118967
Distanz zwischen Schaf02 und Auto06 => 29364.66386308449
Distanz zwischen Schaf02 und Auto06_bw => 29325.22706174417
Distanz zwischen Schaf02 und Auto06_mir => 29270.40208672643
Distanz zwischen Schaf02 und Auto06_rot => 22735.299264143643
Distanz zwischen Schaf02 und Auto07 => 18676.341149121025
Distanz zwischen Schaf02 und Auto08 => 12599.402942990546
Distanz zwischen Schaf02 und Auto08_bw => 11515.238518919812
Distanz zwischen Schaf02 und Auto08_mir => 12610.953150624022
Distanz zwischen Schaf02 und Auto08_rot => 6943.547307607408
Distanz zwischen Schaf02 und Auto09 => 12324.164585282237
Distanz zwischen Schaf02 und Auto09_bw => 12894.946626962206
Distanz zwischen Schaf02 und Auto09_mir => 12319.142912439846
Distanz zwischen Schaf02 und Auto09_rot => 6623.283495201193
Distanz zwischen Schaf02 und Auto10 => 23542.473193093603
Distanz zwischen Schaf02 und Auto10_bw => 23247.656217028067
Distanz zwischen Schaf02 und Auto10_mir => 23614.978355129628
Distanz zwischen Schaf02 und Auto10_rot => 15579.148398575986
Distanz zwischen Schaf02 und Bike01 => 12876.439437889328
Distanz zwischen Schaf02 und Bike01_bw => 12319.671439038562
Distanz zwischen Schaf02 und Bike01_mir => 12859.612665554767
Distanz zwischen Schaf02 und Bike01_rot => 17946.886481171437
Distanz zwischen Schaf02 und Bike02 => 24021.43404525018
Distanz zwischen Schaf02 und Bike02_bw => 24233.290529995607
Distanz zwischen Schaf02 und Bike02_mir => 24031.864949439434
Distanz zwischen Schaf02 und Bike02_rot => 12422.56303724306
Distanz zwischen Schaf02 und Bike03 => 4395.680898469736
Distanz zwischen Schaf02 und Bike03_bw => 4090.518040521956
Distanz zwischen Schaf02 und Bike03_mir => 4327.367106522087
