Zeitstempel: 2020-09-23T16:54:16.560  ///  Zu vergleichendes Bild: Mensch08

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch08 und Auto01 => 54356.832440369646
Distanz zwischen Mensch08 und Auto01_bw => 53643.45766635455
Distanz zwischen Mensch08 und Auto01_mir => 54354.63859537679
Distanz zwischen Mensch08 und Auto01_rot => 45521.30640440731
Distanz zwischen Mensch08 und Auto02 => 45174.8078646473
Distanz zwischen Mensch08 und Auto02_bw => 45346.20553025647
Distanz zwischen Mensch08 und Auto02_mir => 45173.140569588824
Distanz zwischen Mensch08 und Auto02_rot => 37110.23103116465
Distanz zwischen Mensch08 und Auto03 => 12836.620009023578
Distanz zwischen Mensch08 und Auto03_bw => 12634.41912120183
Distanz zwischen Mensch08 und Auto03_mir => 12836.68498761049
Distanz zwischen Mensch08 und Auto03_rot => 9480.142289232923
Distanz zwischen Mensch08 und Auto04 => 22017.2570650353
Distanz zwischen Mensch08 und Auto04_bw => 22777.46095941186
Distanz zwischen Mensch08 und Auto04_mir => 22025.94953505692
Distanz zwischen Mensch08 und Auto04_rot => 17169.969599903703
Distanz zwischen Mensch08 und Auto05 => 44300.272538057296
Distanz zwischen Mensch08 und Auto05_bw => 44484.83881293415
Distanz zwischen Mensch08 und Auto05_mir => 44296.405274742865
Distanz zwischen Mensch08 und Auto05_rot => 38008.66733786871
Distanz zwischen Mensch08 und Auto06 => 42285.04233262935
Distanz zwischen Mensch08 und Auto06_bw => 42229.63078831052
Distanz zwischen Mensch08 und Auto06_mir => 42143.632366415186
Distanz zwischen Mensch08 und Auto06_rot => 36050.556286253064
Distanz zwischen Mensch08 und Auto07 => 31564.803826697804
Distanz zwischen Mensch08 und Auto08 => 26393.833710624214
Distanz zwischen Mensch08 und Auto08_bw => 24994.29781294946
Distanz zwischen Mensch08 und Auto08_mir => 26393.74341872428
Distanz zwischen Mensch08 und Auto08_rot => 20855.796138440215
Distanz zwischen Mensch08 und Auto09 => 26218.24878747041
Distanz zwischen Mensch08 und Auto09_bw => 26824.541528612284
Distanz zwischen Mensch08 und Auto09_mir => 26219.324377399607
Distanz zwischen Mensch08 und Auto09_rot => 20444.71312755343
Distanz zwischen Mensch08 und Auto10 => 36710.63109417389
Distanz zwischen Mensch08 und Auto10_bw => 36417.965566609215
Distanz zwischen Mensch08 und Auto10_mir => 36702.04745305523
Distanz zwischen Mensch08 und Auto10_rot => 29353.159095016952
Distanz zwischen Mensch08 und Bike01 => 3027.0282144859743
Distanz zwischen Mensch08 und Bike01_bw => 3581.9560255089204
Distanz zwischen Mensch08 und Bike01_mir => 3053.7834915080266
Distanz zwischen Mensch08 und Bike01_rot => 2287.5157388933394
Distanz zwischen Mensch08 und Bike02 => 39298.83268739961
Distanz zwischen Mensch08 und Bike02_bw => 39326.67841604208
Distanz zwischen Mensch08 und Bike02_mir => 39355.523131840055
Distanz zwischen Mensch08 und Bike02_rot => 27741.927422134282
Distanz zwischen Mensch08 und Bike03 => 11621.813253093882
Distanz zwischen Mensch08 und Bike03_bw => 11885.906455750193
Distanz zwischen Mensch08 und Bike03_mir => 11617.008173998012
