Zeitstempel: 2020-09-23T13:06:08.713  ///  Zu vergleichendes Bild: Auto04

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Auto04 und Auto01 => 32106.931211231444
Distanz zwischen Auto04 und Auto01_bw => 31489.663885957696
Distanz zwischen Auto04 und Auto01_mir => 32109.002236664917
Distanz zwischen Auto04 und Auto01_rot => 23360.629495606772
Distanz zwischen Auto04 und Auto02 => 22027.06992716668
Distanz zwischen Auto04 und Auto02_bw => 22268.38615595217
Distanz zwischen Auto04 und Auto02_mir => 22022.200626138467
Distanz zwischen Auto04 und Auto02_rot => 13916.511261178439
Distanz zwischen Auto04 und Auto03 => 9984.034315537163
Distanz zwischen Auto04 und Auto03_bw => 10078.21438719125
Distanz zwischen Auto04 und Auto03_mir => 9984.118799270513
Distanz zwischen Auto04 und Auto03_rot => 13107.357689471586
Distanz zwischen Auto04 und Auto04 => 0.0
Distanz zwischen Auto04 und Auto04_bw => 737.6268364117515
Distanz zwischen Auto04 und Auto04_mir => 34.65367960765882
Distanz zwischen Auto04 und Auto04_rot => 4654.012994649989
Distanz zwischen Auto04 und Auto05 => 21896.57108324785
Distanz zwischen Auto04 und Auto05_bw => 22174.97500331554
Distanz zwischen Auto04 und Auto05_mir => 21893.693232642632
Distanz zwischen Auto04 und Auto05_rot => 15567.366022898643
Distanz zwischen Auto04 und Auto06 => 20725.400214409507
Distanz zwischen Auto04 und Auto06_bw => 20703.27352093762
Distanz zwischen Auto04 und Auto06_mir => 20651.748577712784
Distanz zwischen Auto04 und Auto06_rot => 14359.500829086006
Distanz zwischen Auto04 und Auto07 => 10667.350588463765
Distanz zwischen Auto04 und Auto08 => 4757.887973045109
Distanz zwischen Auto04 und Auto08_bw => 3702.7348873922333
Distanz zwischen Auto04 und Auto08_mir => 4762.34195431068
Distanz zwischen Auto04 und Auto08_rot => 1557.8668646846952
Distanz zwischen Auto04 und Auto09 => 4607.014997753326
Distanz zwischen Auto04 und Auto09_bw => 5169.365553378248
Distanz zwischen Auto04 und Auto09_mir => 4607.883818866543
Distanz zwischen Auto04 und Auto09_rot => 1848.0872791274674
Distanz zwischen Auto04 und Auto10 => 15176.801080993673
Distanz zwischen Auto04 und Auto10_bw => 14907.818560865417
Distanz zwischen Auto04 und Auto10_mir => 15222.246827831248
Distanz zwischen Auto04 und Auto10_rot => 7574.633925163105
Distanz zwischen Auto04 und Bike01 => 19427.70732824756
Distanz zwischen Auto04 und Bike01_bw => 18875.060381559593
Distanz zwischen Auto04 und Bike01_mir => 19406.932584412432
Distanz zwischen Auto04 und Bike01_rot => 24276.63253028931
Distanz zwischen Auto04 und Bike02 => 16498.486430790024
Distanz zwischen Auto04 und Bike02_bw => 16598.937783250745
Distanz zwischen Auto04 und Bike02_mir => 16546.57036883538
Distanz zwischen Auto04 und Bike02_rot => 4952.3164780825355
Distanz zwischen Auto04 und Bike03 => 11857.450077930764
Distanz zwischen Auto04 und Bike03_bw => 11540.880250581802
Distanz zwischen Auto04 und Bike03_mir => 11863.781416019692
Distanz zwischen Auto04 und Bike03_rot => 18175.727654835504
Distanz zwischen Auto04 und Bike04 => 9759.038890566355
