Zeitstempel: 2020-09-23T16:05:53.028  ///  Zu vergleichendes Bild: Mensch01
Distanz zwischen Mensch01 und Landschaft07 => 33743.50701367655
Distanz zwischen Mensch01 und Landschaft07_bw => 34212.841453570705
Distanz zwischen Mensch01 und Landschaft07_mir => 33424.00901689993
Distanz zwischen Mensch01 und Landschaft07_rot => 33634.41055674947
Distanz zwischen Mensch01 und Landschaft09 => 30170.531203207913
Distanz zwischen Mensch01 und Landschaft09_bw => 30374.562149685516
Distanz zwischen Mensch01 und Landschaft09_mir => 30045.721272549552
Distanz zwischen Mensch01 und Landschaft09_rot => 32119.39900702964
Distanz zwischen Mensch01 und Landschaft10 => 31009.88940421754
Distanz zwischen Mensch01 und Landschaft10_bw => 30418.068519477314
Distanz zwischen Mensch01 und Landschaft10_mir => 31008.40493325223
Distanz zwischen Mensch01 und Landschaft10_rot => 31579.498752817228
Distanz zwischen Mensch01 und Mensch01 => 0.0
Distanz zwischen Mensch01 und Mensch01_bw => 75.66071992142042
Distanz zwischen Mensch01 und Mensch01_mir => 52.658465130776364
Distanz zwischen Mensch01 und Mensch01_rot => 7637.614385393129
Distanz zwischen Mensch01 und Mensch02 => 10355.216950766833
Distanz zwischen Mensch01 und Mensch02_bw => 10140.045940875172
Distanz zwischen Mensch01 und Mensch02_mir => 10258.341770831767
Distanz zwischen Mensch01 und Mensch02_rot => 13767.821436287895
Distanz zwischen Mensch01 und Mensch03 => 25542.243419014114
Distanz zwischen Mensch01 und Mensch03_bw => 25789.539687480996
Distanz zwischen Mensch01 und Mensch03_mir => 25589.819933168277
Distanz zwischen Mensch01 und Mensch03_rot => 26373.279772899205
Distanz zwischen Mensch01 und Mensch04 => 3246.5628880488457
Distanz zwischen Mensch01 und Mensch05 => 5280.259746013273
Distanz zwischen Mensch01 und Mensch05_bw => 5404.484177863943
Distanz zwischen Mensch01 und Mensch05_mir => 5448.8168712003635
Distanz zwischen Mensch01 und Mensch05_rot => 8587.402434530555
Distanz zwischen Mensch01 und Mensch06 => 14508.051028724647
Distanz zwischen Mensch01 und Mensch06_bw => 14664.931878433035
Distanz zwischen Mensch01 und Mensch06_mir => 14481.476347916547
Distanz zwischen Mensch01 und Mensch06_rot => 17758.826952632728
Distanz zwischen Mensch01 und Mensch07 => 6917.095665181172
Distanz zwischen Mensch01 und Mensch07_bw => 7130.600636969942
Distanz zwischen Mensch01 und Mensch07_mir => 6959.614242507674
Distanz zwischen Mensch01 und Mensch07_rot => 10384.64570916738
Distanz zwischen Mensch01 und Mensch08 => 16771.978364817012
Distanz zwischen Mensch01 und Mensch08_bw => 16753.468430115976
Distanz zwischen Mensch01 und Mensch08_mir => 16857.01019979729
Distanz zwischen Mensch01 und Mensch08_rot => 20118.583444229866
Distanz zwischen Mensch01 und Mensch09 => 2181.554701269499
Distanz zwischen Mensch01 und Mensch09_bw => 2372.187312881063
Distanz zwischen Mensch01 und Mensch09_mir => 2082.7603114716862
Distanz zwischen Mensch01 und Mensch09_rot => 5912.082241642497
Distanz zwischen Mensch01 und Mensch10 => 11067.707446330778
Distanz zwischen Mensch01 und Mensch10_bw => 10988.5633340916
Distanz zwischen Mensch01 und Mensch10_mir => 11516.210899439422
Distanz zwischen Mensch01 und Mensch10_rot => 16401.945880917083
Distanz zwischen Mensch01 und Pferd01 => 6108.703399998947
Distanz zwischen Mensch01 und Pferd01_bw => 5533.549447542978
Distanz zwischen Mensch01 und Pferd01_mir => 6048.643917734054
Distanz zwischen Mensch01 und Pferd01_rot => 13527.717641672032
Distanz zwischen Mensch01 und Pferd02 => 6333.545110024316
Distanz zwischen Mensch01 und Pferd02_bw => 6566.4347756272855
Distanz zwischen Mensch01 und Pferd02_mir => 5972.565780644609
Distanz zwischen Mensch01 und Pferd02_rot => 1498.422819764407
Distanz zwischen Mensch01 und Pferd03 => 14800.283651084706
Distanz zwischen Mensch01 und Pferd03_bw => 14497.1521605315
Distanz zwischen Mensch01 und Pferd03_mir => 14819.038731324086
Distanz zwischen Mensch01 und Pferd03_rot => 18198.731536920393
Distanz zwischen Mensch01 und Pferd04 => 13064.095433901875
Distanz zwischen Mensch01 und Pferd04_bw => 12389.884425745897
Distanz zwischen Mensch01 und Pferd04_mir => 13047.335764066758
Distanz zwischen Mensch01 und Pferd04_rot => 15613.476017186327
Distanz zwischen Mensch01 und Pferd05 => 12087.15244519835
Distanz zwischen Mensch01 und Pferd05_bw => 11662.062407324202
Distanz zwischen Mensch01 und Pferd05_mir => 12021.17954373599
Distanz zwischen Mensch01 und Pferd05_rot => 16605.623319506933
Distanz zwischen Mensch01 und Pferd06 => 12565.830943565134
Distanz zwischen Mensch01 und Pferd06_bw => 12093.105304228486
Distanz zwischen Mensch01 und Pferd06_mir => 11965.340874455453
Distanz zwischen Mensch01 und Pferd06_rot => 1923.1865132157795
Distanz zwischen Mensch01 und Pferd07 => 10851.132285335552
Distanz zwischen Mensch01 und Pferd07_bw => 10155.110153005215
Distanz zwischen Mensch01 und Pferd07_mir => 10766.82585638058
Distanz zwischen Mensch01 und Pferd07_rot => 6151.819691789941
Distanz zwischen Mensch01 und Pferd08 => 6623.8461325613225
Distanz zwischen Mensch01 und Pferd08_bw => 6143.8113356000085
Distanz zwischen Mensch01 und Pferd08_mir => 6644.670612504064
Distanz zwischen Mensch01 und Pferd08_rot => 13229.209036392373
Distanz zwischen Mensch01 und Pferd09 => 10590.727979217081
Distanz zwischen Mensch01 und Pferd09_bw => 10381.231430040903
Distanz zwischen Mensch01 und Pferd09_mir => 10657.05359409834
Distanz zwischen Mensch01 und Pferd09_rot => 12685.4471221635
Distanz zwischen Mensch01 und Pferd10 => 8355.872400658745
Distanz zwischen Mensch01 und Pferd10_bw => 8308.541904548925
Distanz zwischen Mensch01 und Pferd10_mir => 8393.202490854128
Distanz zwischen Mensch01 und Pferd10_rot => 10935.5663477187
Distanz zwischen Mensch01 und Rad01 => 65840.06552437534
Distanz zwischen Mensch01 und Rad01_bw => 65764.2467970662
Distanz zwischen Mensch01 und Rad01_mir => 65847.13966380562
Distanz zwischen Mensch01 und Rad01_rot => 55869.78595155723
Distanz zwischen Mensch01 und Rad03 => 48016.14894415074
Distanz zwischen Mensch01 und Rad03_bw => 47269.92756678934
Distanz zwischen Mensch01 und Rad03_mir => 48026.0219930229
Distanz zwischen Mensch01 und Rad03_rot => 39536.59576888397
Distanz zwischen Mensch01 und Rad04 => 45110.302196389195
Distanz zwischen Mensch01 und Rad04_bw => 44981.57803903775
Distanz zwischen Mensch01 und Rad04_mir => 45121.10487388155
Distanz zwischen Mensch01 und Rad04_rot => 37296.10304394089
Distanz zwischen Mensch01 und Rad05 => 55562.662951087535
Distanz zwischen Mensch01 und Rad06 => 74743.22487721633
Distanz zwischen Mensch01 und Rad07 => 51558.98313280313
Distanz zwischen Mensch01 und Rad07_bw => 51299.886039945486
Distanz zwischen Mensch01 und Rad07_mir => 51557.26524577624
Distanz zwischen Mensch01 und Rad07_rot => 44369.7098910791
Distanz zwischen Mensch01 und Rad08 => 57531.10390729811
Distanz zwischen Mensch01 und Rad08_bw => 58164.078181197445
Distanz zwischen Mensch01 und Rad08_mir => 57533.388267903334
Distanz zwischen Mensch01 und Rad08_rot => 50127.73590152567
Distanz zwischen Mensch01 und Rad09 => 55077.23264069432
Distanz zwischen Mensch01 und Rad09_bw => 54121.94439685052
Distanz zwischen Mensch01 und Rad09_mir => 55078.79678969401
Distanz zwischen Mensch01 und Rad09_rot => 47270.64741031945
Distanz zwischen Mensch01 und Rad10 => 11661.282314707038
Distanz zwischen Mensch01 und Rad10_bw => 10760.997631246631
Distanz zwischen Mensch01 und Rad10_mir => 11561.18290753581
Distanz zwischen Mensch01 und Rad10_rot => 7087.488508427797
Distanz zwischen Mensch01 und Schaf01 => 19239.780040085687
Distanz zwischen Mensch01 und Schaf01_bw => 18884.921640053002
Distanz zwischen Mensch01 und Schaf01_mir => 19362.02052942781
Distanz zwischen Mensch01 und Schaf01_rot => 11184.487672344689
Distanz zwischen Mensch01 und Schaf02 => 3142.129939202018
Distanz zwischen Mensch01 und Schaf03 => 9896.469434765255
Distanz zwischen Mensch01 und Schaf03_bw => 10461.960394515936
Distanz zwischen Mensch01 und Schaf03_mir => 9904.753924425017
Distanz zwischen Mensch01 und Schaf03_rot => 11215.683890999911
Distanz zwischen Mensch01 und Schaf04 => 12646.138264999357
Distanz zwischen Mensch01 und Schaf04_bw => 13384.153922718855
Distanz zwischen Mensch01 und Schaf04_mir => 12406.354644005123
Distanz zwischen Mensch01 und Schaf04_rot => 13576.433275252486
Distanz zwischen Mensch01 und Schaf06 => 4209.642747459973
Distanz zwischen Mensch01 und Schaf06_bw => 5113.191478610171
Distanz zwischen Mensch01 und Schaf06_mir => 4229.752071677383
Distanz zwischen Mensch01 und Schaf06_rot => 5319.327376302916
Distanz zwischen Mensch01 und Schaf07 => 2549.726320572864
Distanz zwischen Mensch01 und Schaf07_bw => 3253.48936204237
Distanz zwischen Mensch01 und Schaf07_mir => 2555.813344043966
Distanz zwischen Mensch01 und Schaf07_rot => 3941.5908265137678
Distanz zwischen Mensch01 und Schaf10 => 11714.38807390042
Distanz zwischen Mensch01 und Schaf10_bw => 10694.731761872481
Distanz zwischen Mensch01 und Schaf10_mir => 11642.28831311816
Distanz zwischen Mensch01 und Schaf10_rot => 8085.551151689732
___________________________________________________________________________________


Execution Time: 414 s
Score (Image): 5

Score (Schwarz-wei�): 8
Score (Rotiert 90 Grad): 0
Score (Gespiegelt): 9
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 373
Berechnungszeit Cluster: 3937
Berechnungszeit Distanz: 144
Gesamt:  4454 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 378
Berechnungszeit Cluster: 3700
Berechnungszeit Distanz: 336
Gesamt:  4414 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 399
Berechnungszeit Cluster: 3685
Berechnungszeit Distanz: 60
Gesamt:  4144 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 303
Berechnungszeit Cluster: 3875
Berechnungszeit Distanz: 233
Gesamt:  4411 ms

Für Auto02.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 2946
Berechnungszeit Distanz: 265
Gesamt:  3501 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 308
Berechnungszeit Cluster: 2758
Berechnungszeit Distanz: 270
Gesamt:  3336 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 2524
Berechnungszeit Distanz: 265
Gesamt:  3081 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 275
Berechnungszeit Cluster: 2114
Berechnungszeit Distanz: 293
Gesamt:  2682 ms

Für Auto03.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 698
Berechnungszeit Distanz: 271
Gesamt:  1160 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 734
Berechnungszeit Distanz: 142
Gesamt:  1067 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 195
Berechnungszeit Cluster: 702
Berechnungszeit Distanz: 141
Gesamt:  1038 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 189
Berechnungszeit Cluster: 574
Berechnungszeit Distanz: 161
Gesamt:  924 ms

Für Auto04.png: 
Berechnungszeit KPs: 231
Berechnungszeit Cluster: 1558
Berechnungszeit Distanz: 161
Gesamt:  1950 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1231
Berechnungszeit Distanz: 173
Gesamt:  1637 ms

Für Auto04_mir.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1352
Berechnungszeit Distanz: 156
Gesamt:  1741 ms

Für Auto04_rot.png: 
Berechnungszeit KPs: 224
Berechnungszeit Cluster: 954
Berechnungszeit Distanz: 173
Gesamt:  1351 ms

Für Auto05.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 3031
Berechnungszeit Distanz: 142
Gesamt:  3463 ms

Für Auto05_bw.png: 
Berechnungszeit KPs: 297
Berechnungszeit Cluster: 3106
Berechnungszeit Distanz: 137
Gesamt:  3540 ms

Für Auto05_mir.png: 
Berechnungszeit KPs: 293
Berechnungszeit Cluster: 3009
Berechnungszeit Distanz: 157
Gesamt:  3459 ms

Für Auto05_rot.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 3004
Berechnungszeit Distanz: 133
Gesamt:  3418 ms

Für Auto06.png: 
Berechnungszeit KPs: 315
Berechnungszeit Cluster: 3511
Berechnungszeit Distanz: 151
Gesamt:  3977 ms

Für Auto06_bw.png: 
Berechnungszeit KPs: 374
Berechnungszeit Cluster: 2959
Berechnungszeit Distanz: 164
Gesamt:  3497 ms

Für Auto06_mir.png: 
Berechnungszeit KPs: 420
Berechnungszeit Cluster: 3103
Berechnungszeit Distanz: 152
Gesamt:  3675 ms

Für Auto06_rot.png: 
Berechnungszeit KPs: 294
Berechnungszeit Cluster: 2499
Berechnungszeit Distanz: 152
Gesamt:  2945 ms

Für Auto07.png: 
Berechnungszeit KPs: 407
Berechnungszeit Cluster: 1799
Berechnungszeit Distanz: 175
Gesamt:  2381 ms

Für Auto08.png: 
Berechnungszeit KPs: 253
Berechnungszeit Cluster: 1622
Berechnungszeit Distanz: 162
Gesamt:  2037 ms

Für Auto08_bw.png: 
Berechnungszeit KPs: 339
Berechnungszeit Cluster: 1505
Berechnungszeit Distanz: 141
Gesamt:  1985 ms

Für Auto08_mir.png: 
Berechnungszeit KPs: 313
Berechnungszeit Cluster: 1527
Berechnungszeit Distanz: 81
Gesamt:  1921 ms

Für Auto08_rot.png: 
Berechnungszeit KPs: 243
Berechnungszeit Cluster: 1232
Berechnungszeit Distanz: 91
Gesamt:  1566 ms

Für Auto09.png: 
Berechnungszeit KPs: 227
Berechnungszeit Cluster: 1584
Berechnungszeit Distanz: 94
Gesamt:  1905 ms

Für Auto09_bw.png: 
Berechnungszeit KPs: 230
Berechnungszeit Cluster: 1447
Berechnungszeit Distanz: 79
Gesamt:  1756 ms

Für Auto09_mir.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1416
Berechnungszeit Distanz: 91
Gesamt:  1740 ms

Für Auto09_rot.png: 
Berechnungszeit KPs: 213
Berechnungszeit Cluster: 1254
Berechnungszeit Distanz: 90
Gesamt:  1557 ms

Für Auto10.png: 
Berechnungszeit KPs: 266
Berechnungszeit Cluster: 2528
Berechnungszeit Distanz: 81
Gesamt:  2875 ms

Für Auto10_bw.png: 
Berechnungszeit KPs: 261
Berechnungszeit Cluster: 2480
Berechnungszeit Distanz: 81
Gesamt:  2822 ms

Für Auto10_mir.png: 
Berechnungszeit KPs: 265
Berechnungszeit Cluster: 2266
Berechnungszeit Distanz: 84
Gesamt:  2615 ms

Für Auto10_rot.png: 
Berechnungszeit KPs: 251
Berechnungszeit Cluster: 1870
Berechnungszeit Distanz: 99
Gesamt:  2220 ms

Für Bike01.png: 
Berechnungszeit KPs: 119
Berechnungszeit Cluster: 413
Berechnungszeit Distanz: 83
Gesamt:  615 ms

Für Bike01_bw.png: 
Berechnungszeit KPs: 115
Berechnungszeit Cluster: 391
Berechnungszeit Distanz: 80
Gesamt:  586 ms

Für Bike01_mir.png: 
Berechnungszeit KPs: 111
Berechnungszeit Cluster: 364
Berechnungszeit Distanz: 91
Gesamt:  566 ms

Für Bike01_rot.png: 
Berechnungszeit KPs: 108
Berechnungszeit Cluster: 236
Berechnungszeit Distanz: 81
Gesamt:  425 ms

Für Bike02.png: 
Berechnungszeit KPs: 193
Berechnungszeit Cluster: 2484
Berechnungszeit Distanz: 85
Gesamt:  2762 ms

Für Bike02_bw.png: 
Berechnungszeit KPs: 206
Berechnungszeit Cluster: 3104
Berechnungszeit Distanz: 70
Gesamt:  3380 ms

Für Bike02_mir.png: 
Berechnungszeit KPs: 262
Berechnungszeit Cluster: 2339
Berechnungszeit Distanz: 81
Gesamt:  2682 ms

Für Bike02_rot.png: 
Berechnungszeit KPs: 192
Berechnungszeit Cluster: 1438
Berechnungszeit Distanz: 81
Gesamt:  1711 ms

Für Bike03.png: 
Berechnungszeit KPs: 139
Berechnungszeit Cluster: 637
Berechnungszeit Distanz: 81
Gesamt:  857 ms

Für Bike03_bw.png: 
Berechnungszeit KPs: 126
Berechnungszeit Cluster: 666
Berechnungszeit Distanz: 70
Gesamt:  862 ms

Für Bike03_mir.png: 
Berechnungszeit KPs: 160
Berechnungszeit Cluster: 702
Berechnungszeit Distanz: 79
Gesamt:  941 ms

Für Bike03_rot.png: 
Berechnungszeit KPs: 175
Berechnungszeit Cluster: 441
Berechnungszeit Distanz: 78
Gesamt:  694 ms

Für Bike04.png: 
Berechnungszeit KPs: 240
Berechnungszeit Cluster: 1833
Berechnungszeit Distanz: 91
Gesamt:  2164 ms

Für Bike04_bw.png: 
Berechnungszeit KPs: 193
Berechnungszeit Cluster: 1708
Berechnungszeit Distanz: 89
Gesamt:  1990 ms

Für Bike04_mir.png: 
Berechnungszeit KPs: 190
Berechnungszeit Cluster: 1719
Berechnungszeit Distanz: 72
Gesamt:  1981 ms

Für Bike04_rot.png: 
Berechnungszeit KPs: 274
Berechnungszeit Cluster: 1141
Berechnungszeit Distanz: 89
Gesamt:  1504 ms

Für Bike05.png: 
Berechnungszeit KPs: 305
Berechnungszeit Cluster: 1322
Berechnungszeit Distanz: 81
Gesamt:  1708 ms

Für Bike05_bw.png: 
Berechnungszeit KPs: 335
Berechnungszeit Cluster: 1333
Berechnungszeit Distanz: 95
Gesamt:  1763 ms

Für Bike05_mir.png: 
Berechnungszeit KPs: 230
Berechnungszeit Cluster: 1480
Berechnungszeit Distanz: 80
Gesamt:  1790 ms

Für Bike05_rot.png: 
Berechnungszeit KPs: 216
Berechnungszeit Cluster: 811
Berechnungszeit Distanz: 71
Gesamt:  1098 ms

Für Bike06.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 746
Berechnungszeit Distanz: 81
Gesamt:  1018 ms

Für Bike06_bw.png: 
Berechnungszeit KPs: 199
Berechnungszeit Cluster: 722
Berechnungszeit Distanz: 71
Gesamt:  992 ms

Für Bike06_mir.png: 
Berechnungszeit KPs: 200
Berechnungszeit Cluster: 788
Berechnungszeit Distanz: 81
Gesamt:  1069 ms

Für Bike06_rot.png: 
Berechnungszeit KPs: 201
Berechnungszeit Cluster: 579
Berechnungszeit Distanz: 88
Gesamt:  868 ms

Für Bike07.png: 
Berechnungszeit KPs: 268
Berechnungszeit Cluster: 887
Berechnungszeit Distanz: 76
Gesamt:  1231 ms

Für Bike07_bw.png: 
Berechnungszeit KPs: 214
Berechnungszeit Cluster: 913
Berechnungszeit Distanz: 80
Gesamt:  1207 ms

Für Bike07_mir.png: 
Berechnungszeit KPs: 265
Berechnungszeit Cluster: 875
Berechnungszeit Distanz: 81
Gesamt:  1221 ms

Für Bike07_rot.png: 
Berechnungszeit KPs: 200
Berechnungszeit Cluster: 659
Berechnungszeit Distanz: 71
Gesamt:  930 ms

Für Bike08.png: 
Berechnungszeit KPs: 331
Berechnungszeit Cluster: 2888
Berechnungszeit Distanz: 68
Gesamt:  3287 ms

Für Bike08_bw.png: 
Berechnungszeit KPs: 289
Berechnungszeit Cluster: 2621
Berechnungszeit Distanz: 61
Gesamt:  2971 ms

Für Bike08_mir.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 1892
Berechnungszeit Distanz: 71
Gesamt:  2255 ms

Für Bike08_rot.png: 
Berechnungszeit KPs: 399
Berechnungszeit Cluster: 1597
Berechnungszeit Distanz: 72
Gesamt:  2068 ms

Für Bike09.png: 
Berechnungszeit KPs: 280
Berechnungszeit Cluster: 896
Berechnungszeit Distanz: 81
Gesamt:  1257 ms

Für Bike09_bw.png: 
Berechnungszeit KPs: 203
Berechnungszeit Cluster: 890
Berechnungszeit Distanz: 73
Gesamt:  1166 ms

Für Bike09_mir.png: 
Berechnungszeit KPs: 205
Berechnungszeit Cluster: 942
Berechnungszeit Distanz: 81
Gesamt:  1228 ms

Für Bike09_rot.png: 
Berechnungszeit KPs: 190
Berechnungszeit Cluster: 636
Berechnungszeit Distanz: 71
Gesamt:  897 ms

Für Bike10.png: 
Berechnungszeit KPs: 272
Berechnungszeit Cluster: 1767
Berechnungszeit Distanz: 81
Gesamt:  2120 ms

Für Bike10_bw.png: 
Berechnungszeit KPs: 257
Berechnungszeit Cluster: 1696
Berechnungszeit Distanz: 92
Gesamt:  2045 ms

Für Bike10_mir.png: 
Berechnungszeit KPs: 260
Berechnungszeit Cluster: 2340
Berechnungszeit Distanz: 77
Gesamt:  2677 ms

Für Bike10_rot.png: 
Berechnungszeit KPs: 236
Berechnungszeit Cluster: 1045
Berechnungszeit Distanz: 91
Gesamt:  1372 ms

Für Landschaft01.jpg: 
Berechnungszeit KPs: 62
Berechnungszeit Cluster: 67
Berechnungszeit Distanz: 71
Gesamt:  200 ms

Für Landschaft01_bw.jpg: 
Berechnungszeit KPs: 60
Berechnungszeit Cluster: 71
Berechnungszeit Distanz: 69
Gesamt:  200 ms

Für Landschaft01_mir.jpg: 
Berechnungszeit KPs: 70
Berechnungszeit Cluster: 82
Berechnungszeit Distanz: 62
Gesamt:  214 ms

Für Landschaft01_rot.jpg: 
