Zeitstempel: 2020-09-23T19:13:10.432  ///  Zu vergleichendes Bild: Rad09
Distanz zwischen Rad09 und Landschaft07_rot => 93802.1577110375
Distanz zwischen Rad09 und Landschaft09 => 90829.89470278598
Distanz zwischen Rad09 und Landschaft09_bw => 91648.11694287628
Distanz zwischen Rad09 und Landschaft09_mir => 90225.46261231703
Distanz zwischen Rad09 und Landschaft09_rot => 94269.48156869109
Distanz zwischen Rad09 und Landschaft10 => 92284.70449509175
Distanz zwischen Rad09 und Landschaft10_bw => 92813.80296344326
Distanz zwischen Rad09 und Landschaft10_mir => 91735.20656507557
Distanz zwischen Rad09 und Landschaft10_rot => 93514.12635967015
Distanz zwischen Rad09 und Mensch01 => 55077.23264069432
Distanz zwischen Rad09 und Mensch01_bw => 55111.99351062889
Distanz zwischen Rad09 und Mensch01_mir => 55321.43324019268
Distanz zwischen Rad09 und Mensch01_rot => 64262.61146333111
Distanz zwischen Rad09 und Mensch02 => 67180.31662100596
Distanz zwischen Rad09 und Mensch02_bw => 67026.59402671372
Distanz zwischen Rad09 und Mensch02_mir => 66676.71062158061
Distanz zwischen Rad09 und Mensch02_rot => 71310.10895330254
Distanz zwischen Rad09 und Mensch03 => 83495.80629286396
Distanz zwischen Rad09 und Mensch03_bw => 83656.78107830923
Distanz zwischen Rad09 und Mensch03_mir => 84655.4918815506
Distanz zwischen Rad09 und Mensch03_rot => 84396.63160477462
Distanz zwischen Rad09 und Mensch04 => 57802.20137497319
Distanz zwischen Rad09 und Mensch05 => 60790.227554672056
Distanz zwischen Rad09 und Mensch05_bw => 60896.62088897162
Distanz zwischen Rad09 und Mensch05_mir => 61043.568994032656
Distanz zwischen Rad09 und Mensch05_rot => 64844.96753334612
Distanz zwischen Rad09 und Mensch06 => 71028.62853535693
Distanz zwischen Rad09 und Mensch06_bw => 71090.27243263171
Distanz zwischen Rad09 und Mensch06_mir => 71720.5655740569
Distanz zwischen Rad09 und Mensch06_rot => 74579.86784874782
Distanz zwischen Rad09 und Mensch07 => 62659.59242650438
Distanz zwischen Rad09 und Mensch07_bw => 63034.363400831164
Distanz zwischen Rad09 und Mensch07_mir => 62419.98508815629
Distanz zwischen Rad09 und Mensch07_rot => 66813.89688032374
Distanz zwischen Rad09 und Mensch08 => 74780.99130053069
Distanz zwischen Rad09 und Mensch08_bw => 74981.61507112598
Distanz zwischen Rad09 und Mensch08_mir => 75526.66397310018
Distanz zwischen Rad09 und Mensch08_rot => 79213.04154958404
Distanz zwischen Rad09 und Mensch09 => 53947.743378158964
Distanz zwischen Rad09 und Mensch09_bw => 53768.27876722127
Distanz zwischen Rad09 und Mensch09_mir => 54500.408026970385
Distanz zwischen Rad09 und Mensch09_rot => 61659.0916996966
Distanz zwischen Rad09 und Mensch10 => 66197.13715864238
Distanz zwischen Rad09 und Mensch10_bw => 66065.7784812631
Distanz zwischen Rad09 und Mensch10_mir => 66439.58944727734
Distanz zwischen Rad09 und Mensch10_rot => 71555.86002809888
Distanz zwischen Rad09 und Pferd01 => 61406.411201629184
Distanz zwischen Rad09 und Pferd01_bw => 60563.4369222578
Distanz zwischen Rad09 und Pferd01_mir => 61724.009724721924
Distanz zwischen Rad09 und Pferd01_rot => 70191.57183996405
Distanz zwischen Rad09 und Pferd02 => 48731.72759621665
Distanz zwischen Rad09 und Pferd02_bw => 48448.15892809232
Distanz zwischen Rad09 und Pferd02_mir => 49258.98371415719
Distanz zwischen Rad09 und Pferd02_rot => 55262.21639751828
Distanz zwischen Rad09 und Pferd03 => 71973.52228000404
Distanz zwischen Rad09 und Pferd03_bw => 71592.17458944455
Distanz zwischen Rad09 und Pferd03_mir => 71637.2082649795
Distanz zwischen Rad09 und Pferd03_rot => 75716.30264438345
Distanz zwischen Rad09 und Pferd04 => 70418.9100642324
Distanz zwischen Rad09 und Pferd04_bw => 69662.91968982929
Distanz zwischen Rad09 und Pferd04_mir => 70714.78433405608
Distanz zwischen Rad09 und Pferd04_rot => 72681.20714357718
Distanz zwischen Rad09 und Pferd05 => 68032.86314763292
Distanz zwischen Rad09 und Pferd05_bw => 67457.95755184324
Distanz zwischen Rad09 und Pferd05_mir => 67593.29103925878
Distanz zwischen Rad09 und Pferd05_rot => 73569.9665561845
Distanz zwischen Rad09 und Pferd06 => 41958.394007255236
Distanz zwischen Rad09 und Pferd06_bw => 42567.21334525893
Distanz zwischen Rad09 und Pferd06_mir => 42515.65696085074
Distanz zwischen Rad09 und Pferd06_rot => 54798.936370327334
Distanz zwischen Rad09 und Pferd07 => 43894.11775580828
Distanz zwischen Rad09 und Pferd07_bw => 44620.6837111331
Distanz zwischen Rad09 und Pferd07_mir => 43735.0644792924
Distanz zwischen Rad09 und Pferd07_rot => 62307.80321922625
Distanz zwischen Rad09 und Pferd08 => 61973.66446851251
Distanz zwischen Rad09 und Pferd08_bw => 61213.94804101415
Distanz zwischen Rad09 und Pferd08_mir => 61892.61823006973
Distanz zwischen Rad09 und Pferd08_rot => 70666.31757686182
Distanz zwischen Rad09 und Pferd09 => 66117.88340772741
Distanz zwischen Rad09 und Pferd09_bw => 65890.88025570544
Distanz zwischen Rad09 und Pferd09_mir => 66233.00892418894
Distanz zwischen Rad09 und Pferd09_rot => 68558.71265584935
Distanz zwischen Rad09 und Pferd10 => 65108.338694887614
Distanz zwischen Rad09 und Pferd10_bw => 64680.41759423809
Distanz zwischen Rad09 und Pferd10_mir => 64795.18379037887
Distanz zwischen Rad09 und Pferd10_rot => 68156.9146414848
Distanz zwischen Rad09 und Rad01 => 16668.168689824084
Distanz zwischen Rad09 und Rad01_bw => 16493.518374194875
Distanz zwischen Rad09 und Rad01_mir => 16713.11177378136
Distanz zwischen Rad09 und Rad01_rot => 6482.938321144867
Distanz zwischen Rad09 und Rad03 => 2184.759189885521
Distanz zwischen Rad09 und Rad03_bw => 3065.23256817569
Distanz zwischen Rad09 und Rad03_mir => 2198.4708922429413
Distanz zwischen Rad09 und Rad03_rot => 11474.995196245434
Distanz zwischen Rad09 und Rad04 => 4976.0068497726725
Distanz zwischen Rad09 und Rad04_bw => 5421.270176553392
Distanz zwischen Rad09 und Rad04_mir => 4989.6935975916695
Distanz zwischen Rad09 und Rad04_rot => 13796.41087487237
Distanz zwischen Rad09 und Rad05 => 9017.564050700716
Distanz zwischen Rad09 und Rad06 => 24146.313278845293
Distanz zwischen Rad09 und Rad07 => 5511.7688816439395
Distanz zwischen Rad09 und Rad07_bw => 5406.752533506824
Distanz zwischen Rad09 und Rad07_mir => 5505.104003454911
