Zeitstempel: 2020-09-23T17:14:59.969  ///  Zu vergleichendes Bild: Pferd01

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd01 und Auto01 => 42780.35328702928
Distanz zwischen Pferd01 und Auto01_bw => 42118.1401642847
Distanz zwischen Pferd01 und Auto01_mir => 42781.79733854552
Distanz zwischen Pferd01 und Auto01_rot => 33985.84797702731
Distanz zwischen Pferd01 und Auto02 => 33139.25728952812
Distanz zwischen Pferd01 und Auto02_bw => 33350.027997683756
Distanz zwischen Pferd01 und Auto02_mir => 33140.54693117566
Distanz zwischen Pferd01 und Auto02_rot => 25047.2156377486
Distanz zwischen Pferd01 und Auto03 => 1722.5038491581904
Distanz zwischen Pferd01 und Auto03_bw => 1590.2109946403093
Distanz zwischen Pferd01 und Auto03_mir => 1717.892720746042
Distanz zwischen Pferd01 und Auto03_rot => 2547.772612810384
Distanz zwischen Pferd01 und Auto04 => 10746.713608229016
Distanz zwischen Pferd01 und Auto04_bw => 11468.922733366891
Distanz zwischen Pferd01 und Auto04_mir => 10854.400947886601
Distanz zwischen Pferd01 und Auto04_rot => 6161.200270754973
Distanz zwischen Pferd01 und Auto05 => 32735.7509155143
Distanz zwischen Pferd01 und Auto05_bw => 32974.32377031717
Distanz zwischen Pferd01 und Auto05_mir => 32734.838805914394
Distanz zwischen Pferd01 und Auto05_rot => 26454.285671344172
Distanz zwischen Pferd01 und Auto06 => 31333.584798317966
Distanz zwischen Pferd01 und Auto06_bw => 31294.62889779057
Distanz zwischen Pferd01 und Auto06_mir => 31224.904979984098
Distanz zwischen Pferd01 und Auto06_rot => 25012.585436803936
Distanz zwischen Pferd01 und Auto07 => 20999.47616557186
Distanz zwischen Pferd01 und Auto08 => 15334.225378165147
Distanz zwischen Pferd01 und Auto08_bw => 14248.832943538671
Distanz zwischen Pferd01 und Auto08_mir => 15336.620019370044
Distanz zwischen Pferd01 und Auto08_rot => 9884.945105067001
Distanz zwischen Pferd01 und Auto09 => 15075.51968422003
Distanz zwischen Pferd01 und Auto09_bw => 15659.792173772177
Distanz zwischen Pferd01 und Auto09_mir => 15074.754067797636
Distanz zwischen Pferd01 und Auto09_rot => 9518.456639551121
Distanz zwischen Pferd01 und Auto10 => 25698.6241566219
Distanz zwischen Pferd01 und Auto10_bw => 25407.333666093615
Distanz zwischen Pferd01 und Auto10_mir => 25793.73219774392
Distanz zwischen Pferd01 und Auto10_rot => 18091.497118743675
Distanz zwischen Pferd01 und Bike01 => 8701.80276843969
Distanz zwischen Pferd01 und Bike01_bw => 8157.835257695181
Distanz zwischen Pferd01 und Bike01_mir => 8680.671189330158
Distanz zwischen Pferd01 und Bike01_rot => 13567.182572243566
Distanz zwischen Pferd01 und Bike02 => 27496.008478205495
Distanz zwischen Pferd01 und Bike02_bw => 27563.54890707619
Distanz zwischen Pferd01 und Bike02_mir => 27549.583203078993
Distanz zwischen Pferd01 und Bike02_rot => 15926.067430951609
Distanz zwischen Pferd01 und Bike03 => 845.4015051730239
Distanz zwischen Pferd01 und Bike03_bw => 559.8100072737938
Distanz zwischen Pferd01 und Bike03_mir => 825.9795577126642
