Zeitstempel: 2020-09-23T18:17:05.649  ///  Zu vergleichendes Bild: Pferd10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd10 und Auto01 => 45665.403798750456
Distanz zwischen Pferd10 und Auto01_bw => 44985.94316281167
Distanz zwischen Pferd10 und Auto01_mir => 45671.5213713451
Distanz zwischen Pferd10 und Auto01_rot => 36624.79357295789
Distanz zwischen Pferd10 und Auto02 => 36040.21836928849
Distanz zwischen Pferd10 und Auto02_bw => 36254.77315549427
Distanz zwischen Pferd10 und Auto02_mir => 36042.807026428054
Distanz zwischen Pferd10 und Auto02_rot => 27745.29464990397
Distanz zwischen Pferd10 und Auto03 => 3802.4563968540388
Distanz zwischen Pferd10 und Auto03_bw => 3650.5304962062933
Distanz zwischen Pferd10 und Auto03_mir => 3798.327623014483
Distanz zwischen Pferd10 und Auto03_rot => 936.3520472161971
Distanz zwischen Pferd10 und Auto04 => 13166.090772969916
Distanz zwischen Pferd10 und Auto04_bw => 13902.271221590216
Distanz zwischen Pferd10 und Auto04_mir => 13178.196732178587
Distanz zwischen Pferd10 und Auto04_rot => 8387.99556625708
Distanz zwischen Pferd10 und Auto05 => 35706.14815827973
Distanz zwischen Pferd10 und Auto05_bw => 35956.77050652245
Distanz zwischen Pferd10 und Auto05_mir => 35705.168586242886
Distanz zwischen Pferd10 und Auto05_rot => 29259.084976245176
Distanz zwischen Pferd10 und Auto06 => 34087.00763031721
Distanz zwischen Pferd10 und Auto06_bw => 34034.652266844816
Distanz zwischen Pferd10 und Auto06_mir => 33975.71574714407
Distanz zwischen Pferd10 und Auto06_rot => 27646.767905825447
Distanz zwischen Pferd10 und Auto07 => 23542.76485176925
Distanz zwischen Pferd10 und Auto08 => 17859.095403237137
Distanz zwischen Pferd10 und Auto08_bw => 16618.21005453429
Distanz zwischen Pferd10 und Auto08_mir => 17858.669879751516
Distanz zwischen Pferd10 und Auto08_rot => 12226.115314888928
Distanz zwischen Pferd10 und Auto09 => 17620.92024282424
Distanz zwischen Pferd10 und Auto09_bw => 18226.43281655655
Distanz zwischen Pferd10 und Auto09_mir => 17622.388560800347
Distanz zwischen Pferd10 und Auto09_rot => 11849.049449177823
Distanz zwischen Pferd10 und Auto10 => 28346.59303296997
Distanz zwischen Pferd10 und Auto10_bw => 28057.046672788103
Distanz zwischen Pferd10 und Auto10_mir => 28444.49641617668
Distanz zwischen Pferd10 und Auto10_rot => 20733.943626542874
Distanz zwischen Pferd10 und Bike01 => 7164.690585559779
Distanz zwischen Pferd10 und Bike01_bw => 6613.012951962335
Distanz zwischen Pferd10 und Bike01_mir => 7138.940694045502
Distanz zwischen Pferd10 und Bike01_rot => 12095.636294920785
Distanz zwischen Pferd10 und Bike02 => 30255.304784638425
Distanz zwischen Pferd10 und Bike02_bw => 30323.704295776548
Distanz zwischen Pferd10 und Bike02_mir => 30308.087043359294
Distanz zwischen Pferd10 und Bike02_rot => 18367.840659699075
Distanz zwischen Pferd10 und Bike03 => 1731.427346264706
Distanz zwischen Pferd10 und Bike03_bw => 2017.4286195358682
Distanz zwischen Pferd10 und Bike03_mir => 1744.2076890905025
