Zeitstempel: 2020-09-23T18:10:07.140  ///  Zu vergleichendes Bild: Pferd09

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd09 und Auto01 => 47980.937748885524
Distanz zwischen Pferd09 und Auto01_bw => 47488.81926323343
Distanz zwischen Pferd09 und Auto01_mir => 47956.42439451814
Distanz zwischen Pferd09 und Auto01_rot => 39135.868373628844
Distanz zwischen Pferd09 und Auto02 => 37454.284082354745
Distanz zwischen Pferd09 und Auto02_bw => 37664.85281455076
Distanz zwischen Pferd09 und Auto02_mir => 37453.12235195991
Distanz zwischen Pferd09 und Auto02_rot => 29377.059446292853
Distanz zwischen Pferd09 und Auto03 => 5946.070398150122
Distanz zwischen Pferd09 und Auto03_bw => 5799.02302712111
Distanz zwischen Pferd09 und Auto03_mir => 5932.30874074938
Distanz zwischen Pferd09 und Auto03_rot => 2612.3048489953253
Distanz zwischen Pferd09 und Auto04 => 15439.940482926506
Distanz zwischen Pferd09 und Auto04_bw => 16137.413252572573
Distanz zwischen Pferd09 und Auto04_mir => 15646.863147331256
Distanz zwischen Pferd09 und Auto04_rot => 10698.05898325168
Distanz zwischen Pferd09 und Auto05 => 37542.01596130494
Distanz zwischen Pferd09 und Auto05_bw => 37978.84512645357
Distanz zwischen Pferd09 und Auto05_mir => 37536.94204604142
Distanz zwischen Pferd09 und Auto05_rot => 31112.937875770614
Distanz zwischen Pferd09 und Auto06 => 37115.48085720047
Distanz zwischen Pferd09 und Auto06_bw => 37071.096910332264
Distanz zwischen Pferd09 und Auto06_mir => 36996.32646776879
Distanz zwischen Pferd09 und Auto06_rot => 30526.67310797832
Distanz zwischen Pferd09 und Auto07 => 26194.631337090847
Distanz zwischen Pferd09 und Auto08 => 20227.010260789822
Distanz zwischen Pferd09 und Auto08_bw => 19133.97565480114
Distanz zwischen Pferd09 und Auto08_mir => 20247.38807661011
Distanz zwischen Pferd09 und Auto08_rot => 14583.375763543907
Distanz zwischen Pferd09 und Auto09 => 19890.23676529953
Distanz zwischen Pferd09 und Auto09_bw => 20456.700491184583
Distanz zwischen Pferd09 und Auto09_mir => 19884.122168915907
Distanz zwischen Pferd09 und Auto09_rot => 14199.715601692364
Distanz zwischen Pferd09 und Auto10 => 31198.56251915636
Distanz zwischen Pferd09 und Auto10_bw => 30883.78371328124
Distanz zwischen Pferd09 und Auto10_mir => 31302.22316575074
Distanz zwischen Pferd09 und Auto10_rot => 23244.54478314851
Distanz zwischen Pferd09 und Bike01 => 4845.209471450077
Distanz zwischen Pferd09 und Bike01_bw => 4249.222910657784
Distanz zwischen Pferd09 und Bike01_mir => 4821.955129243098
Distanz zwischen Pferd09 und Bike01_rot => 9962.806866300696
Distanz zwischen Pferd09 und Bike02 => 31678.899892573376
Distanz zwischen Pferd09 und Bike02_bw => 31890.463676972213
Distanz zwischen Pferd09 und Bike02_mir => 31732.987778375984
Distanz zwischen Pferd09 und Bike02_rot => 20139.83298960542
Distanz zwischen Pferd09 und Bike03 => 4235.009069765013
Distanz zwischen Pferd09 und Bike03_bw => 4518.746702299069
Distanz zwischen Pferd09 und Bike03_mir => 4166.01825206393
