Zeitstempel: 2020-09-23T19:40:56.578  ///  Zu vergleichendes Bild: Schaf03

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf03 und Auto01 => 47160.90276888701
Distanz zwischen Schaf03 und Auto01_bw => 46469.69499624595
Distanz zwischen Schaf03 und Auto01_mir => 47166.016320815426
Distanz zwischen Schaf03 und Auto01_rot => 38138.486708988254
Distanz zwischen Schaf03 und Auto02 => 37844.951603741254
Distanz zwischen Schaf03 und Auto02_bw => 38054.357113150116
Distanz zwischen Schaf03 und Auto02_mir => 37847.651984983844
Distanz zwischen Schaf03 und Auto02_rot => 29574.19803588832
Distanz zwischen Schaf03 und Auto03 => 5526.892421763849
Distanz zwischen Schaf03 und Auto03_bw => 5354.661029764988
Distanz zwischen Schaf03 und Auto03_mir => 5524.629295300743
Distanz zwischen Schaf03 und Auto03_rot => 2198.746368737182
Distanz zwischen Schaf03 und Auto04 => 14849.48987906618
Distanz zwischen Schaf03 und Auto04_bw => 15588.022956501827
Distanz zwischen Schaf03 und Auto04_mir => 14840.869861788038
Distanz zwischen Schaf03 und Auto04_rot => 10038.010366013392
Distanz zwischen Schaf03 und Auto05 => 37402.42633107946
Distanz zwischen Schaf03 und Auto05_bw => 37652.132980398375
Distanz zwischen Schaf03 und Auto05_mir => 37400.574044502166
Distanz zwischen Schaf03 und Auto05_rot => 30974.998746644014
Distanz zwischen Schaf03 und Auto06 => 35430.74567482956
Distanz zwischen Schaf03 und Auto06_bw => 35539.21409959868
Distanz zwischen Schaf03 und Auto06_mir => 35429.06477170797
Distanz zwischen Schaf03 und Auto06_rot => 28967.0147619184
Distanz zwischen Schaf03 und Auto07 => 24790.015783353658
Distanz zwischen Schaf03 und Auto08 => 19538.278922754595
Distanz zwischen Schaf03 und Auto08_bw => 18220.251804708354
Distanz zwischen Schaf03 und Auto08_mir => 19537.748411958302
Distanz zwischen Schaf03 und Auto08_rot => 13910.77077209088
Distanz zwischen Schaf03 und Auto09 => 19261.211556569655
Distanz zwischen Schaf03 und Auto09_bw => 19870.311503122357
Distanz zwischen Schaf03 und Auto09_mir => 19261.05127799563
Distanz zwischen Schaf03 und Auto09_rot => 13506.054731941982
Distanz zwischen Schaf03 und Auto10 => 30012.49131508256
Distanz zwischen Schaf03 und Auto10_bw => 29725.519870407166
Distanz zwischen Schaf03 und Auto10_mir => 29990.792766064635
Distanz zwischen Schaf03 und Auto10_rot => 22436.260207367843
Distanz zwischen Schaf03 und Bike01 => 5780.672395842814
Distanz zwischen Schaf03 und Bike01_bw => 5247.741266863274
Distanz zwischen Schaf03 und Bike01_mir => 5758.79017717183
Distanz zwischen Schaf03 und Bike01_rot => 10595.980903301333
Distanz zwischen Schaf03 und Bike02 => 31975.85809740351
Distanz zwischen Schaf03 und Bike02_bw => 32047.070480181486
Distanz zwischen Schaf03 und Bike02_mir => 32032.8137054235
Distanz zwischen Schaf03 und Bike02_rot => 20122.532950542616
Distanz zwischen Schaf03 und Bike03 => 3553.158199161863
Distanz zwischen Schaf03 und Bike03_bw => 3835.1017026512254
Distanz zwischen Schaf03 und Bike03_mir => 3560.116627404422
