Zeitstempel: 2020-09-23T13:28:39.488  ///  Zu vergleichendes Bild: Auto07

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Auto07 und Auto01 => 22145.648583869144
Distanz zwischen Auto07 und Auto01_bw => 21576.179984176066
Distanz zwischen Auto07 und Auto01_mir => 22148.030221747882
Distanz zwischen Auto07 und Auto01_rot => 13475.46762621464
Distanz zwischen Auto07 und Auto02 => 11689.893397254185
Distanz zwischen Auto07 und Auto02_bw => 11965.634163555573
Distanz zwischen Auto07 und Auto02_mir => 11700.492828714634
Distanz zwischen Auto07 und Auto02_rot => 3593.594845807483
Distanz zwischen Auto07 und Auto03 => 20389.54083772222
Distanz zwischen Auto07 und Auto03_bw => 20415.707328538578
Distanz zwischen Auto07 und Auto03_mir => 20389.278402912652
Distanz zwischen Auto07 und Auto03_rot => 23350.569308169743
Distanz zwischen Auto07 und Auto04 => 10667.350588463765
Distanz zwischen Auto07 und Auto04_bw => 10042.689256383765
Distanz zwischen Auto07 und Auto04_mir => 10676.726897615477
Distanz zwischen Auto07 und Auto04_rot => 14933.849219740452
Distanz zwischen Auto07 und Auto05 => 11934.623339483122
Distanz zwischen Auto07 und Auto05_bw => 12245.22628452865
Distanz zwischen Auto07 und Auto05_mir => 11933.577272271172
Distanz zwischen Auto07 und Auto05_rot => 5606.746416759094
Distanz zwischen Auto07 und Auto06 => 10663.078066650904
Distanz zwischen Auto07 und Auto06_bw => 10729.732037646847
Distanz zwischen Auto07 und Auto06_mir => 10652.8737422844
Distanz zwischen Auto07 und Auto06_rot => 4400.200367774161
Distanz zwischen Auto07 und Auto07 => 0.0
Distanz zwischen Auto07 und Auto08 => 6341.06895746806
Distanz zwischen Auto07 und Auto08_bw => 7260.661127725317
Distanz zwischen Auto07 und Auto08_mir => 6342.539780753233
Distanz zwischen Auto07 und Auto08_rot => 11592.086431763759
Distanz zwischen Auto07 und Auto09 => 6389.110506285843
Distanz zwischen Auto07 und Auto09_bw => 5840.852869139732
Distanz zwischen Auto07 und Auto09_mir => 6391.001495442088
Distanz zwischen Auto07 und Auto09_rot => 11757.867125441375
Distanz zwischen Auto07 und Auto10 => 5369.842648997095
Distanz zwischen Auto07 und Auto10_bw => 5144.43666641074
Distanz zwischen Auto07 und Auto10_mir => 5360.8867183795255
Distanz zwischen Auto07 und Auto10_rot => 3438.429344848493
Distanz zwischen Auto07 und Bike01 => 28662.656891997776
Distanz zwischen Auto07 und Bike01_bw => 28116.337529374752
Distanz zwischen Auto07 und Bike01_mir => 28645.156450248054
Distanz zwischen Auto07 und Bike01_rot => 33310.876620450144
Distanz zwischen Auto07 und Bike02 => 6520.1466468533745
Distanz zwischen Auto07 und Bike02_bw => 6651.366989796338
Distanz zwischen Auto07 und Bike02_mir => 6568.873512786312
Distanz zwischen Auto07 und Bike02_rot => 7125.9376848006605
Distanz zwischen Auto07 und Bike03 => 22696.574283728674
Distanz zwischen Auto07 und Bike03_bw => 22362.746833278106
Distanz zwischen Auto07 und Bike03_mir => 22710.63827891728
Distanz zwischen Auto07 und Bike03_rot => 29074.849826705013
Distanz zwischen Auto07 und Bike04 => 2813.361460090703
