Zeitstempel: 2020-09-23T17:21:54.787  ///  Zu vergleichendes Bild: Pferd02

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd02 und Auto01 => 33914.55145748939
Distanz zwischen Pferd02 und Auto01_bw => 33414.13086870691
Distanz zwischen Pferd02 und Auto01_mir => 33896.88775500844
Distanz zwischen Pferd02 und Auto01_rot => 24698.93615346606
Distanz zwischen Pferd02 und Auto02 => 22398.99585523374
Distanz zwischen Pferd02 und Auto02_bw => 22746.345722010145
Distanz zwischen Pferd02 und Auto02_mir => 22442.115719625865
Distanz zwischen Pferd02 und Auto02_rot => 14037.18179589996
Distanz zwischen Pferd02 und Auto03 => 11030.134334163518
Distanz zwischen Pferd02 und Auto03_bw => 11146.166177051133
Distanz zwischen Pferd02 und Auto03_mir => 11009.385604436166
Distanz zwischen Pferd02 und Auto03_rot => 14504.88389026586
Distanz zwischen Pferd02 und Auto04 => 720.6268732433894
Distanz zwischen Pferd02 und Auto04_bw => 1237.4596137246149
Distanz zwischen Pferd02 und Auto04_mir => 724.3708131776232
Distanz zwischen Pferd02 und Auto04_rot => 5645.562459386447
Distanz zwischen Pferd02 und Auto05 => 23423.911192542393
Distanz zwischen Pferd02 und Auto05_bw => 23870.112196124675
Distanz zwischen Pferd02 und Auto05_mir => 23424.74031332204
Distanz zwischen Pferd02 und Auto05_rot => 16722.88538036605
Distanz zwischen Pferd02 und Auto06 => 22797.526915141785
Distanz zwischen Pferd02 und Auto06_bw => 22745.783480571547
Distanz zwischen Pferd02 und Auto06_mir => 22722.136739166323
Distanz zwischen Pferd02 und Auto06_rot => 15909.666949340968
Distanz zwischen Pferd02 und Auto07 => 11965.745943536243
Distanz zwischen Pferd02 und Auto08 => 5549.338762061461
Distanz zwischen Pferd02 und Auto08_bw => 4429.761947884559
Distanz zwischen Pferd02 und Auto08_mir => 5552.9896615149155
Distanz zwischen Pferd02 und Auto08_rot => 2223.300715438697
Distanz zwischen Pferd02 und Auto09 => 5295.593570400613
Distanz zwischen Pferd02 und Auto09_bw => 5887.757744719042
Distanz zwischen Pferd02 und Auto09_mir => 5297.074011676619
Distanz zwischen Pferd02 und Auto09_rot => 2502.6705056690494
Distanz zwischen Pferd02 und Auto10 => 16841.818099758788
Distanz zwischen Pferd02 und Auto10_bw => 16555.51392443334
Distanz zwischen Pferd02 und Auto10_mir => 16893.483752066742
Distanz zwischen Pferd02 und Auto10_rot => 8606.261275164874
Distanz zwischen Pferd02 und Bike01 => 21284.19391106302
Distanz zwischen Pferd02 und Bike01_bw => 20693.3776741452
Distanz zwischen Pferd02 und Bike01_mir => 21253.91120531575
Distanz zwischen Pferd02 und Bike01_rot => 26512.76165541646
Distanz zwischen Pferd02 und Bike02 => 17205.28374353775
Distanz zwischen Pferd02 und Bike02_bw => 17417.906931573125
Distanz zwischen Pferd02 und Bike02_mir => 17226.912331874686
Distanz zwischen Pferd02 und Bike02_rot => 5124.946306129206
Distanz zwischen Pferd02 und Bike03 => 12634.041954869359
Distanz zwischen Pferd02 und Bike03_bw => 12296.116273331905
Distanz zwischen Pferd02 und Bike03_mir => 12465.177086211443
