Zeitstempel: 2020-09-23T16:40:25.052  ///  Zu vergleichendes Bild: Mensch06

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch06 und Auto01 => 53155.21634328856
Distanz zwischen Mensch06 und Auto01_bw => 52638.917819540366
Distanz zwischen Mensch06 und Auto01_mir => 53133.84631659466
Distanz zwischen Mensch06 und Auto01_rot => 44070.048158221674
Distanz zwischen Mensch06 und Auto02 => 41717.53854499141
Distanz zwischen Mensch06 und Auto02_bw => 42009.23501131391
Distanz zwischen Mensch06 und Auto02_mir => 41732.23919980093
Distanz zwischen Mensch06 und Auto02_rot => 33567.21765628611
Distanz zwischen Mensch06 und Auto03 => 9728.755013106409
Distanz zwischen Mensch06 und Auto03_bw => 9549.311052189069
Distanz zwischen Mensch06 und Auto03_mir => 9712.949508114103
Distanz zwischen Mensch06 und Auto03_rot => 6315.639883757067
Distanz zwischen Mensch06 und Auto04 => 19713.078321584646
Distanz zwischen Mensch06 und Auto04_bw => 20429.552446961763
Distanz zwischen Mensch06 und Auto04_mir => 19960.617991076702
Distanz zwischen Mensch06 und Auto04_rot => 14827.342588335872
Distanz zwischen Mensch06 und Auto05 => 42423.07274303534
Distanz zwischen Mensch06 und Auto05_bw => 42873.09663639446
Distanz zwischen Mensch06 und Auto05_mir => 42419.96919441348
Distanz zwischen Mensch06 und Auto05_rot => 35818.86894414448
Distanz zwischen Mensch06 und Auto06 => 42024.61440809372
Distanz zwischen Mensch06 und Auto06_bw => 41978.27535599735
Distanz zwischen Mensch06 und Auto06_mir => 41894.98233333943
Distanz zwischen Mensch06 und Auto06_rot => 35251.54086094867
Distanz zwischen Mensch06 und Auto07 => 30518.875073011575
Distanz zwischen Mensch06 und Auto08 => 24410.479632541705
Distanz zwischen Mensch06 und Auto08_bw => 23288.07049731179
Distanz zwischen Mensch06 und Auto08_mir => 24435.316351898404
Distanz zwischen Mensch06 und Auto08_rot => 18618.75494103905
Distanz zwischen Mensch06 und Auto09 => 24133.06425531543
Distanz zwischen Mensch06 und Auto09_bw => 24696.96886061827
Distanz zwischen Mensch06 und Auto09_mir => 24126.051386811887
Distanz zwischen Mensch06 und Auto09_rot => 18265.840236186377
Distanz zwischen Mensch06 und Auto10 => 35891.780702834876
Distanz zwischen Mensch06 und Auto10_bw => 35564.78307479942
Distanz zwischen Mensch06 und Auto10_mir => 36013.615382483295
Distanz zwischen Mensch06 und Auto10_rot => 27714.755332517125
Distanz zwischen Mensch06 und Bike01 => 1083.8893651229064
Distanz zwischen Mensch06 und Bike01_bw => 508.6552248657749
Distanz zwischen Mensch06 und Bike01_mir => 1062.3766122611612
Distanz zwischen Mensch06 und Bike01_rot => 6307.583839740583
Distanz zwischen Mensch06 und Bike02 => 36463.25182811512
Distanz zwischen Mensch06 und Bike02_bw => 36700.08937476797
Distanz zwischen Mensch06 und Bike02_mir => 36460.49124864419
Distanz zwischen Mensch06 und Bike02_rot => 24607.567883177755
Distanz zwischen Mensch06 und Bike03 => 8301.863620406843
Distanz zwischen Mensch06 und Bike03_bw => 8586.346262524661
Distanz zwischen Mensch06 und Bike03_mir => 8175.951282612297
