Zeitstempel: 2020-09-23T19:47:50.158  ///  Zu vergleichendes Bild: Schaf04
Distanz zwischen Schaf04 und Landschaft07 => 21203.8878672639
Distanz zwischen Schaf04 und Landschaft07_bw => 21514.204734394578
Distanz zwischen Schaf04 und Landschaft07_mir => 21037.365205930084
Distanz zwischen Schaf04 und Landschaft07_rot => 21402.08885078009
Distanz zwischen Schaf04 und Landschaft09 => 18305.549333303894
Distanz zwischen Schaf04 und Landschaft09_bw => 18590.825168302945
Distanz zwischen Schaf04 und Landschaft09_mir => 18179.48161735108
Distanz zwischen Schaf04 und Landschaft09_rot => 20295.00069849582
Distanz zwischen Schaf04 und Landschaft10 => 19050.23089620687
Distanz zwischen Schaf04 und Landschaft10_bw => 18588.98694525693
Distanz zwischen Schaf04 und Landschaft10_mir => 19089.821662982526
Distanz zwischen Schaf04 und Landschaft10_rot => 19702.40042434781
Distanz zwischen Schaf04 und Mensch01 => 12646.138264999357
Distanz zwischen Schaf04 und Mensch01_bw => 12516.878332266984
Distanz zwischen Schaf04 und Mensch01_mir => 12625.614009683633
Distanz zwischen Schaf04 und Mensch01_rot => 4952.749638753756
Distanz zwischen Schaf04 und Mensch02 => 2147.3617613584547
Distanz zwischen Schaf04 und Mensch02_bw => 2391.2715316090516
Distanz zwischen Schaf04 und Mensch02_mir => 2141.431037033279
Distanz zwischen Schaf04 und Mensch02_rot => 1907.1603527686455
Distanz zwischen Schaf04 und Mensch03 => 13577.27612125564
Distanz zwischen Schaf04 und Mensch03_bw => 13781.28470147203
Distanz zwischen Schaf04 und Mensch03_mir => 13601.532256700433
Distanz zwischen Schaf04 und Mensch03_rot => 14361.572750539508
Distanz zwischen Schaf04 und Mensch04 => 10232.560761953726
Distanz zwischen Schaf04 und Mensch05 => 7321.176121912581
Distanz zwischen Schaf04 und Mensch05_bw => 7179.063562229986
Distanz zwischen Schaf04 und Mensch05_mir => 7143.251273164037
Distanz zwischen Schaf04 und Mensch05_rot => 3940.873226125582
Distanz zwischen Schaf04 und Mensch06 => 1603.374443302181
Distanz zwischen Schaf04 und Mensch06_bw => 1779.4231604172337
Distanz zwischen Schaf04 und Mensch06_mir => 1565.980640065219
Distanz zwischen Schaf04 und Mensch06_rot => 4978.203937828122
Distanz zwischen Schaf04 und Mensch07 => 5501.213977044196
Distanz zwischen Schaf04 und Mensch07_bw => 5316.2222289605215
Distanz zwischen Schaf04 und Mensch07_mir => 5416.223740105236
Distanz zwischen Schaf04 und Mensch07_rot => 2002.3080459161895
Distanz zwischen Schaf04 und Mensch08 => 4938.916594085516
Distanz zwischen Schaf04 und Mensch08_bw => 4891.205664458494
Distanz zwischen Schaf04 und Mensch08_mir => 5075.632889485066
Distanz zwischen Schaf04 und Mensch08_rot => 8386.594241824923
Distanz zwischen Schaf04 und Mensch09 => 14108.82576497046
Distanz zwischen Schaf04 und Mensch09_bw => 14211.90940369353
Distanz zwischen Schaf04 und Mensch09_mir => 13988.816374711889
Distanz zwischen Schaf04 und Mensch09_rot => 7192.364555391006
Distanz zwischen Schaf04 und Mensch10 => 4524.983854827884
Distanz zwischen Schaf04 und Mensch10_bw => 4502.410275996971
Distanz zwischen Schaf04 und Mensch10_mir => 4073.0930370335127
Distanz zwischen Schaf04 und Mensch10_rot => 2673.6603522973974
Distanz zwischen Schaf04 und Pferd01 => 7159.3544790073365
Distanz zwischen Schaf04 und Pferd01_bw => 7854.504084162513
Distanz zwischen Schaf04 und Pferd01_mir => 7218.906705563018
Distanz zwischen Schaf04 und Pferd01_rot => 1370.5548830292046
Distanz zwischen Schaf04 und Pferd02 => 19555.483747087113
Distanz zwischen Schaf04 und Pferd02_bw => 19798.61901641479
Distanz zwischen Schaf04 und Pferd02_mir => 19163.498218453213
Distanz zwischen Schaf04 und Pferd02_rot => 13398.108190476461
Distanz zwischen Schaf04 und Pferd03 => 1983.0901216883394
Distanz zwischen Schaf04 und Pferd03_bw => 1534.0177167285588
Distanz zwischen Schaf04 und Pferd03_mir => 2014.0168013395219
Distanz zwischen Schaf04 und Pferd03_rot => 5339.001340232792
Distanz zwischen Schaf04 und Pferd04 => 881.3873821900227
Distanz zwischen Schaf04 und Pferd04_bw => 713.2913271753644
Distanz zwischen Schaf04 und Pferd04_mir => 863.7648515868832
Distanz zwischen Schaf04 und Pferd04_rot => 3116.501750649994
Distanz zwischen Schaf04 und Pferd05 => 1952.4797170368101
Distanz zwischen Schaf04 und Pferd05_bw => 2440.779185026646
Distanz zwischen Schaf04 und Pferd05_mir => 2025.191588555391
Distanz zwischen Schaf04 und Pferd05_rot => 3698.233421562608
Distanz zwischen Schaf04 und Pferd06 => 24836.219979023943
Distanz zwischen Schaf04 und Pferd06_bw => 24316.599208263382
Distanz zwischen Schaf04 und Pferd06_mir => 24254.731602828055
Distanz zwischen Schaf04 und Pferd06_rot => 13737.25455043821
Distanz zwischen Schaf04 und Pferd07 => 22977.204845603876
Distanz zwischen Schaf04 und Pferd07_bw => 22314.352897757388
Distanz zwischen Schaf04 und Pferd07_mir => 22889.338875323527
Distanz zwischen Schaf04 und Pferd07_rot => 7373.507662895531
Distanz zwischen Schaf04 und Pferd08 => 7233.750289452757
Distanz zwischen Schaf04 und Pferd08_bw => 7696.476621836691
Distanz zwischen Schaf04 und Pferd08_mir => 7210.623044286315
Distanz zwischen Schaf04 und Pferd08_rot => 838.6067403203316
Distanz zwischen Schaf04 und Pferd09 => 3283.0734547326097
Distanz zwischen Schaf04 und Pferd09_bw => 3502.490855297801
Distanz zwischen Schaf04 und Pferd09_mir => 3375.500221735603
Distanz zwischen Schaf04 und Pferd09_rot => 1145.976919496718
Distanz zwischen Schaf04 und Pferd10 => 5302.143118558997
Distanz zwischen Schaf04 und Pferd10_bw => 5361.654381684537
Distanz zwischen Schaf04 und Pferd10_mir => 5258.005017643842
Distanz zwischen Schaf04 und Pferd10_rot => 2414.4689472235837
Distanz zwischen Schaf04 und Rad01 => 80681.80034962775
Distanz zwischen Schaf04 und Rad01_bw => 80625.16506316938
Distanz zwischen Schaf04 und Rad01_mir => 80683.07642557469
Distanz zwischen Schaf04 und Rad01_rot => 70415.6743819958
Distanz zwischen Schaf04 und Rad03 => 61533.55666166824
Distanz zwischen Schaf04 und Rad03_bw => 60768.0254182749
Distanz zwischen Schaf04 und Rad03_mir => 61536.48677177745
Distanz zwischen Schaf04 und Rad03_rot => 52779.661830076235
Distanz zwischen Schaf04 und Rad04 => 58690.51995005273
Distanz zwischen Schaf04 und Rad04_bw => 58634.26086860304
Distanz zwischen Schaf04 und Rad04_mir => 58695.29945851034
Distanz zwischen Schaf04 und Rad04_rot => 50705.954930483786
Distanz zwischen Schaf04 und Rad05 => 69720.25104278969
Distanz zwischen Schaf04 und Rad06 => 90001.38289607326
Distanz zwischen Schaf04 und Rad07 => 65290.61757155588
Distanz zwischen Schaf04 und Rad07_bw => 64989.93985507463
Distanz zwischen Schaf04 und Rad07_mir => 65289.67785340279
Distanz zwischen Schaf04 und Rad07_rot => 57921.742979279705
Distanz zwischen Schaf04 und Rad08 => 72652.00039343923
Distanz zwischen Schaf04 und Rad08_bw => 73327.28814751534
Distanz zwischen Schaf04 und Rad08_mir => 72656.75354132648
Distanz zwischen Schaf04 und Rad08_rot => 65120.9757209299
Distanz zwischen Schaf04 und Rad09 => 70714.58943126963
Distanz zwischen Schaf04 und Rad09_bw => 69698.16788746347
Distanz zwischen Schaf04 und Rad09_mir => 70710.39785243037
Distanz zwischen Schaf04 und Rad09_rot => 62717.218669035356
Distanz zwischen Schaf04 und Rad10 => 25255.24263256533
Distanz zwischen Schaf04 und Rad10_bw => 24177.354279653722
Distanz zwischen Schaf04 und Rad10_mir => 25141.131742943995
Distanz zwischen Schaf04 und Rad10_rot => 20507.50276397563
Distanz zwischen Schaf04 und Schaf01 => 32070.436504033456
Distanz zwischen Schaf04 und Schaf01_bw => 31725.533632783223
Distanz zwischen Schaf04 und Schaf01_mir => 32220.78780565119
Distanz zwischen Schaf04 und Schaf01_rot => 23634.858349849943
Distanz zwischen Schaf04 und Schaf02 => 11102.249965119117
Distanz zwischen Schaf04 und Schaf03 => 3937.424266721932
Distanz zwischen Schaf04 und Schaf03_bw => 3209.07907364403
Distanz zwischen Schaf04 und Schaf03_mir => 3942.3100763907614
Distanz zwischen Schaf04 und Schaf03_rot => 2515.3793168274906
Distanz zwischen Schaf04 und Schaf04 => 0.0
Distanz zwischen Schaf04 und Schaf04_bw => 781.9004561080775
Distanz zwischen Schaf04 und Schaf04_mir => 27.63080440545838
Distanz zwischen Schaf04 und Schaf04_rot => 912.3961121371943
Distanz zwischen Schaf04 und Schaf06 => 9426.833368594405
Distanz zwischen Schaf04 und Schaf06_bw => 8404.29736724418
Distanz zwischen Schaf04 und Schaf06_mir => 9429.24030660868
Distanz zwischen Schaf04 und Schaf06_rot => 8269.876812938239
Distanz zwischen Schaf04 und Schaf07 => 11216.653492206804
Distanz zwischen Schaf04 und Schaf07_bw => 10488.210923554228
Distanz zwischen Schaf04 und Schaf07_mir => 11219.015837858708
Distanz zwischen Schaf04 und Schaf07_rot => 9751.641334263526
Distanz zwischen Schaf04 und Schaf10 => 23275.200288346845
Distanz zwischen Schaf04 und Schaf10_bw => 22104.5316730502
Distanz zwischen Schaf04 und Schaf10_mir => 23267.878365544795
Distanz zwischen Schaf04 und Schaf10_rot => 19534.49399409594
___________________________________________________________________________________


Execution Time: 414 s
Score (Image): 7

Score (Schwarz-wei�): 7
Score (Rotiert 90 Grad): 2
Score (Gespiegelt): 9
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 373
Berechnungszeit Cluster: 3937
Berechnungszeit Distanz: 144
Gesamt:  4454 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 378
Berechnungszeit Cluster: 3700
Berechnungszeit Distanz: 336
Gesamt:  4414 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 399
Berechnungszeit Cluster: 3685
Berechnungszeit Distanz: 60
Gesamt:  4144 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 303
Berechnungszeit Cluster: 3875
Berechnungszeit Distanz: 233
Gesamt:  4411 ms

Für Auto02.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 2946
Berechnungszeit Distanz: 265
Gesamt:  3501 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 308
Berechnungszeit Cluster: 2758
Berechnungszeit Distanz: 270
Gesamt:  3336 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 2524
Berechnungszeit Distanz: 265
Gesamt:  3081 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 275
Berechnungszeit Cluster: 2114
Berechnungszeit Distanz: 293
Gesamt:  2682 ms

Für Auto03.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 698
Berechnungszeit Distanz: 271
Gesamt:  1160 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 734
Berechnungszeit Distanz: 142
Gesamt:  1067 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 195
Berechnungszeit Cluster: 702
Berechnungszeit Distanz: 141
Gesamt:  1038 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 189
Berechnungszeit Cluster: 574
Berechnungszeit Distanz: 161
Gesamt:  924 ms

Für Auto04.png: 
Berechnungszeit KPs: 231
Berechnungszeit Cluster: 1558
Berechnungszeit Distanz: 161
Gesamt:  1950 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1231
Berechnungszeit Distanz: 173
Gesamt:  1637 ms

Für Auto04_mir.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1352
Berechnungszeit Distanz: 156
Gesamt:  1741 ms

Für Auto04_rot.png: 
Berechnungszeit KPs: 224
Berechnungszeit Cluster: 954
Berechnungszeit Distanz: 173
Gesamt:  1351 ms

Für Auto05.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 3031
Berechnungszeit Distanz: 142
Gesamt:  3463 ms

Für Auto05_bw.png: 
Berechnungszeit KPs: 297
Berechnungszeit Cluster: 3106
Berechnungszeit Distanz: 137
Gesamt:  3540 ms

Für Auto05_mir.png: 
Berechnungszeit KPs: 293
Berechnungszeit Cluster: 3009
Berechnungszeit Distanz: 157
Gesamt:  3459 ms

Für Auto05_rot.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 3004
Berechnungszeit Distanz: 133
Gesamt:  3418 ms

Für Auto06.png: 
Berechnungszeit KPs: 315
Berechnungszeit Cluster: 3511
Berechnungszeit Distanz: 151
Gesamt:  3977 ms

Für Auto06_bw.png: 
Berechnungszeit KPs: 374
Berechnungszeit Cluster: 2959
Berechnungszeit Distanz: 164
Gesamt:  3497 ms

Für Auto06_mir.png: 
Berechnungszeit KPs: 420
Berechnungszeit Cluster: 3103
Berechnungszeit Distanz: 152
Gesamt:  3675 ms

Für Auto06_rot.png: 
Berechnungszeit KPs: 294
Berechnungszeit Cluster: 2499
Berechnungszeit Distanz: 152
Gesamt:  2945 ms

Für Auto07.png: 
Berechnungszeit KPs: 407
Berechnungszeit Cluster: 1799
Berechnungszeit Distanz: 175
Gesamt:  2381 ms

Für Auto08.png: 
Berechnungszeit KPs: 253
Berechnungszeit Cluster: 1622
Berechnungszeit Distanz: 162
Gesamt:  2037 ms

Für Auto08_bw.png: 
Berechnungszeit KPs: 339
Berechnungszeit Cluster: 1505
Berechnungszeit Distanz: 141
Gesamt:  1985 ms

Für Auto08_mir.png: 
Berechnungszeit KPs: 313
Berechnungszeit Cluster: 1527
Berechnungszeit Distanz: 81
Gesamt:  1921 ms

Für Auto08_rot.png: 
Berechnungszeit KPs: 243
Berechnungszeit Cluster: 1232
Berechnungszeit Distanz: 91
Gesamt:  1566 ms

Für Auto09.png: 
Berechnungszeit KPs: 227
Berechnungszeit Cluster: 1584
Berechnungszeit Distanz: 94
Gesamt:  1905 ms

Für Auto09_bw.png: 
Berechnungszeit KPs: 230
Berechnungszeit Cluster: 1447
Berechnungszeit Distanz: 79
Gesamt:  1756 ms

Für Auto09_mir.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1416
Berechnungszeit Distanz: 91
Gesamt:  1740 ms

Für Auto09_rot.png: 
Berechnungszeit KPs: 213
Berechnungszeit Cluster: 1254
Berechnungszeit Distanz: 90
Gesamt:  1557 ms

Für Auto10.png: 
Berechnungszeit KPs: 266
Berechnungszeit Cluster: 2528
Berechnungszeit Distanz: 81
Gesamt:  2875 ms

Für Auto10_bw.png: 
Berechnungszeit KPs: 261
Berechnungszeit Cluster: 2480
Berechnungszeit Distanz: 81
Gesamt:  2822 ms

Für Auto10_mir.png: 
Berechnungszeit KPs: 265
Berechnungszeit Cluster: 2266
Berechnungszeit Distanz: 84
Gesamt:  2615 ms

Für Auto10_rot.png: 
Berechnungszeit KPs: 251
Berechnungszeit Cluster: 1870
Berechnungszeit Distanz: 99
Gesamt:  2220 ms

Für Bike01.png: 
Berechnungszeit KPs: 119
Berechnungszeit Cluster: 413
