Zeitstempel: 2020-09-23T18:58:58.624  ///  Zu vergleichendes Bild: Rad07

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Rad07 und Auto01 => 14355.598042913092
Distanz zwischen Rad07 und Auto01_bw => 14803.672972228684
Distanz zwischen Rad07 und Auto01_mir => 14354.155612760243
Distanz zwischen Rad07 und Auto01_rot => 23105.397133491315
Distanz zwischen Rad07 und Auto02 => 26247.31491116925
Distanz zwischen Rad07 und Auto02_bw => 25837.89243563356
Distanz zwischen Rad07 und Auto02_mir => 26246.120508470533
Distanz zwischen Rad07 und Auto02_rot => 34666.806425283576
Distanz zwischen Rad07 und Auto03 => 56573.94434891901
Distanz zwischen Rad07 und Auto03_bw => 56456.07837683259
Distanz zwischen Rad07 und Auto03_mir => 56480.74216110742
Distanz zwischen Rad07 und Auto03_rot => 60055.595175887895
Distanz zwischen Rad07 und Auto04 => 46071.624718532476
Distanz zwischen Rad07 und Auto04_bw => 45274.60561698641
Distanz zwischen Rad07 und Auto04_mir => 46673.30456034378
Distanz zwischen Rad07 und Auto04_rot => 50857.340291391796
Distanz zwischen Rad07 und Auto05 => 24482.486422423397
Distanz zwischen Rad07 und Auto05_bw => 24011.699660117232
Distanz zwischen Rad07 und Auto05_mir => 24482.080805395242
Distanz zwischen Rad07 und Auto05_rot => 31002.23266061779
Distanz zwischen Rad07 und Auto06 => 25604.214358407895
Distanz zwischen Rad07 und Auto06_bw => 25529.86588056902
Distanz zwischen Rad07 und Auto06_mir => 25529.164604351372
Distanz zwischen Rad07 und Auto06_rot => 32260.289763507353
Distanz zwischen Rad07 und Auto07 => 36068.83374100463
Distanz zwischen Rad07 und Auto08 => 42125.84733171422
Distanz zwischen Rad07 und Auto08_bw => 43165.75315276019
Distanz zwischen Rad07 und Auto08_mir => 42165.89128503015
Distanz zwischen Rad07 und Auto08_rot => 47737.831759567554
Distanz zwischen Rad07 und Auto09 => 42324.35662623525
Distanz zwischen Rad07 und Auto09_bw => 41723.1742935143
Distanz zwischen Rad07 und Auto09_mir => 42314.19969908784
Distanz zwischen Rad07 und Auto09_rot => 48122.46839917401
Distanz zwischen Rad07 und Auto10 => 30831.01385881394
Distanz zwischen Rad07 und Auto10_bw => 30983.376040889525
Distanz zwischen Rad07 und Auto10_mir => 30981.795552547595
Distanz zwischen Rad07 und Auto10_rot => 38472.13977496433
Distanz zwischen Rad07 und Bike01 => 66536.54582419885
Distanz zwischen Rad07 und Bike01_bw => 65936.03487224538
Distanz zwischen Rad07 und Bike01_mir => 66511.31902457433
Distanz zwischen Rad07 und Bike01_rot => 71309.0928783716
Distanz zwischen Rad07 und Bike02 => 30683.118352869602
Distanz zwischen Rad07 und Bike02_bw => 30400.531924880215
Distanz zwischen Rad07 und Bike02_mir => 30640.148010431025
Distanz zwischen Rad07 und Bike02_rot => 42480.78639327213
Distanz zwischen Rad07 und Bike03 => 58562.72583216584
Distanz zwischen Rad07 und Bike03_bw => 58142.53030283133
Distanz zwischen Rad07 und Bike03_mir => 58647.08700890467
Distanz zwischen Rad07 und Bike03_rot => 65631.50687399652
Distanz zwischen Rad07 und Bike04 => 38113.041863454644
