Zeitstempel: 2020-09-23T20:08:29.597  ///  Zu vergleichendes Bild: Schaf10

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Schaf10 und Auto01 => 26000.546878286903
Distanz zwischen Schaf10 und Auto01_bw => 25400.49076093155
Distanz zwischen Schaf10 und Auto01_mir => 25998.35026893405
Distanz zwischen Schaf10 und Auto01_rot => 17129.727027907324
Distanz zwischen Schaf10 und Auto02 => 16190.183745489852
Distanz zwischen Schaf10 und Auto02_bw => 16460.17112688315
Distanz zwischen Schaf10 und Auto02_mir => 16194.066546696022
Distanz zwischen Schaf10 und Auto02_rot => 7959.516785021339
Distanz zwischen Schaf10 und Auto03 => 17004.67214933309
Distanz zwischen Schaf10 und Auto03_bw => 17058.093755047368
Distanz zwischen Schaf10 und Auto03_mir => 16999.501057700247
Distanz zwischen Schaf10 und Auto03_rot => 20022.649245140026
Distanz zwischen Schaf10 und Auto04 => 7149.77354616872
Distanz zwischen Schaf10 und Auto04_bw => 6482.269279908837
Distanz zwischen Schaf10 und Auto04_mir => 7145.8417297275855
Distanz zwischen Schaf10 und Auto04_rot => 11544.093965335996
Distanz zwischen Schaf10 und Auto05 => 16643.53203682636
Distanz zwischen Schaf10 und Auto05_bw => 16968.71856548476
Distanz zwischen Schaf10 und Auto05_mir => 16640.744318605022
Distanz zwischen Schaf10 und Auto05_rot => 10209.335789072651
Distanz zwischen Schaf10 und Auto06 => 15086.648152985561
Distanz zwischen Schaf10 und Auto06_bw => 15138.478376336248
Distanz zwischen Schaf10 und Auto06_mir => 15083.810268583971
Distanz zwischen Schaf10 und Auto06_rot => 8649.441181149825
Distanz zwischen Schaf10 und Auto07 => 5281.031184714695
Distanz zwischen Schaf10 und Auto08 => 3178.7570886325643
Distanz zwischen Schaf10 und Auto08_bw => 4119.671645568072
Distanz zwischen Schaf10 und Auto08_mir => 3176.733499108823
Distanz zwischen Schaf10 und Auto08_rot => 8431.331248632847
Distanz zwischen Schaf10 und Auto09 => 3323.2296173531595
Distanz zwischen Schaf10 und Auto09_bw => 2795.777524657952
Distanz zwischen Schaf10 und Auto09_mir => 3325.4877462301056
Distanz zwischen Schaf10 und Auto09_rot => 8646.329277728964
Distanz zwischen Schaf10 und Auto10 => 9753.39521001503
Distanz zwischen Schaf10 und Auto10_bw => 9502.499333483785
Distanz zwischen Schaf10 und Auto10_mir => 9728.197065177259
Distanz zwischen Schaf10 und Auto10_rot => 2180.6959601180215
Distanz zwischen Schaf10 und Bike01 => 24808.98348122784
Distanz zwischen Schaf10 und Bike01_bw => 24740.34731019733
Distanz zwischen Schaf10 und Bike01_mir => 24779.23889415725
Distanz zwischen Schaf10 und Bike01_rot => 29610.035336551897
Distanz zwischen Schaf10 und Bike02 => 10865.227311913304
Distanz zwischen Schaf10 und Bike02_bw => 10996.577152255584
Distanz zwischen Schaf10 und Bike02_mir => 10915.18425366038
Distanz zwischen Schaf10 und Bike02_rot => 3030.6191544362114
Distanz zwischen Schaf10 und Bike03 => 18875.137886242042
Distanz zwischen Schaf10 und Bike03_bw => 18537.582656790823
Distanz zwischen Schaf10 und Bike03_mir => 18916.395441795936
