Zeitstempel: 2020-09-23T17:49:27.444  ///  Zu vergleichendes Bild: Pferd06

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Pferd06 und Auto01 => 25196.6461195557
Distanz zwischen Pferd06 und Auto01_bw => 24596.782429628576
Distanz zwischen Pferd06 und Auto01_mir => 25196.327826219705
Distanz zwischen Pferd06 und Auto01_rot => 16396.13206364631
Distanz zwischen Pferd06 und Auto02 => 15643.80204281193
Distanz zwischen Pferd06 und Auto02_bw => 15916.40681358195
Distanz zwischen Pferd06 und Auto02_mir => 15640.35818552359
Distanz zwischen Pferd06 und Auto02_rot => 7469.832028736568
Distanz zwischen Pferd06 und Auto03 => 17408.927427621133
Distanz zwischen Pferd06 und Auto03_bw => 17431.636631533445
Distanz zwischen Pferd06 und Auto03_mir => 17407.007041477227
Distanz zwischen Pferd06 und Auto03_rot => 20432.24935707027
Distanz zwischen Pferd06 und Auto04 => 7622.3508429745925
Distanz zwischen Pferd06 und Auto04_bw => 6929.8066173487
Distanz zwischen Pferd06 und Auto04_mir => 7616.917562891387
Distanz zwischen Pferd06 und Auto04_rot => 12028.448272271713
Distanz zwischen Pferd06 und Auto05 => 15892.647724837334
Distanz zwischen Pferd06 und Auto05_bw => 16226.243764161565
Distanz zwischen Pferd06 und Auto05_mir => 15891.20103842757
Distanz zwischen Pferd06 und Auto05_rot => 9562.745308374406
Distanz zwischen Pferd06 und Auto06 => 14682.35133317813
Distanz zwischen Pferd06 und Auto06_bw => 14684.008416201508
Distanz zwischen Pferd06 und Auto06_mir => 14658.604696055449
Distanz zwischen Pferd06 und Auto06_rot => 8379.008827988255
Distanz zwischen Pferd06 und Auto07 => 5233.850248696475
Distanz zwischen Pferd06 und Auto08 => 3632.544530761285
Distanz zwischen Pferd06 und Auto08_bw => 4586.512912887018
Distanz zwischen Pferd06 und Auto08_mir => 3632.2908740071794
Distanz zwischen Pferd06 und Auto08_rot => 8876.927480951867
Distanz zwischen Pferd06 und Auto09 => 3895.25857311245
Distanz zwischen Pferd06 und Auto09_bw => 3365.3893824957895
Distanz zwischen Pferd06 und Auto09_mir => 3895.7736650123215
Distanz zwischen Pferd06 und Auto09_rot => 9191.874005613183
Distanz zwischen Pferd06 und Auto10 => 9444.817454799728
Distanz zwischen Pferd06 und Auto10_bw => 9198.339838745462
Distanz zwischen Pferd06 und Auto10_mir => 9405.760396962301
Distanz zwischen Pferd06 und Auto10_rot => 1924.3027133915493
Distanz zwischen Pferd06 und Bike01 => 26428.419750221252
Distanz zwischen Pferd06 und Bike01_bw => 25902.102686346076
Distanz zwischen Pferd06 und Bike01_mir => 26402.367375545906
Distanz zwischen Pferd06 und Bike01_rot => 31163.900023905142
Distanz zwischen Pferd06 und Bike02 => 10131.659202242594
Distanz zwischen Pferd06 und Bike02_bw => 10285.104186081788
Distanz zwischen Pferd06 und Bike02_mir => 10184.92890376405
Distanz zwischen Pferd06 und Bike02_rot => 3208.9014081877285
Distanz zwischen Pferd06 und Bike03 => 19127.13938069351
Distanz zwischen Pferd06 und Bike03_bw => 18788.409579389623
Distanz zwischen Pferd06 und Bike03_mir => 19163.925200513524
