Zeitstempel: 2020-09-23T16:47:22.524  ///  Zu vergleichendes Bild: Mensch07

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch07 und Auto01 => 44200.712417660885
Distanz zwischen Mensch07 und Auto01_bw => 43544.145664071904
Distanz zwischen Mensch07 und Auto01_mir => 44206.9212938043
Distanz zwischen Mensch07 und Auto01_rot => 35430.86928522334
Distanz zwischen Mensch07 und Auto02 => 34580.31342400639
Distanz zwischen Mensch07 und Auto02_bw => 34790.68375978587
Distanz zwischen Mensch07 und Auto02_mir => 34581.0376300711
Distanz zwischen Mensch07 und Auto02_rot => 26529.303779621296
Distanz zwischen Mensch07 und Auto03 => 3045.4862856183345
Distanz zwischen Mensch07 und Auto03_bw => 2903.063636289546
Distanz zwischen Mensch07 und Auto03_mir => 3044.7036251814056
Distanz zwischen Mensch07 und Auto03_rot => 1425.8243802586785
Distanz zwischen Mensch07 und Auto04 => 12165.446958695953
Distanz zwischen Mensch07 und Auto04_bw => 12897.028711328889
Distanz zwischen Mensch07 und Auto04_mir => 12177.949694757917
Distanz zwischen Mensch07 und Auto04_rot => 7494.359227195692
Distanz zwischen Mensch07 und Auto05 => 34035.71849086229
Distanz zwischen Mensch07 und Auto05_bw => 34276.6194003281
Distanz zwischen Mensch07 und Auto05_mir => 34031.960641958416
Distanz zwischen Mensch07 und Auto05_rot => 27751.347764714767
Distanz zwischen Mensch07 und Auto06 => 32174.57263832295
Distanz zwischen Mensch07 und Auto06_bw => 32307.431223285228
Distanz zwischen Mensch07 und Auto06_mir => 32167.599902937596
Distanz zwischen Mensch07 und Auto06_rot => 25748.070562938698
Distanz zwischen Mensch07 und Auto07 => 21383.85255355862
Distanz zwischen Mensch07 und Auto08 => 16539.194235471183
Distanz zwischen Mensch07 und Auto08_bw => 15277.646169524667
Distanz zwischen Mensch07 und Auto08_mir => 16537.732635168395
Distanz zwischen Mensch07 und Auto08_rot => 11065.764778199846
Distanz zwischen Mensch07 und Auto09 => 16240.18021190315
Distanz zwischen Mensch07 und Auto09_bw => 16817.82746517744
Distanz zwischen Mensch07 und Auto09_mir => 16241.254236420413
Distanz zwischen Mensch07 und Auto09_rot => 10643.536256558195
Distanz zwischen Mensch07 und Auto10 => 26878.420038441294
Distanz zwischen Mensch07 und Auto10_bw => 26605.943732056523
Distanz zwischen Mensch07 und Auto10_mir => 26861.899575433228
Distanz zwischen Mensch07 und Auto10_rot => 19510.195694316193
Distanz zwischen Mensch07 und Bike01 => 6835.375992068305
Distanz zwischen Mensch07 und Bike01_bw => 6451.484596258522
Distanz zwischen Mensch07 und Bike01_mir => 6812.4340213509595
Distanz zwischen Mensch07 und Bike01_rot => 11530.190435855144
Distanz zwischen Mensch07 und Bike02 => 28931.50496225308
Distanz zwischen Mensch07 und Bike02_bw => 28995.960753835072
Distanz zwischen Mensch07 und Bike02_mir => 28983.629775941557
Distanz zwischen Mensch07 und Bike02_rot => 17450.547800618206
Distanz zwischen Mensch07 und Bike03 => 1600.3744567921026
Distanz zwischen Mensch07 und Bike03_bw => 1870.973282567041
Distanz zwischen Mensch07 und Bike03_mir => 1565.6089411909525
