Zeitstempel: 2020-09-23T16:26:32.219  ///  Zu vergleichendes Bild: Mensch04

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Mensch04 und Auto01 => 39800.286487985635
Distanz zwischen Mensch04 und Auto01_bw => 39145.87771001252
Distanz zwischen Mensch04 und Auto01_mir => 39806.53219203603
Distanz zwischen Mensch04 und Auto01_rot => 31101.910121686946
Distanz zwischen Mensch04 und Auto02 => 30202.624724050154
Distanz zwischen Mensch04 und Auto02_bw => 30426.332323827763
Distanz zwischen Mensch04 und Auto02_mir => 30211.056107548728
Distanz zwischen Mensch04 und Auto02_rot => 22190.60846051372
Distanz zwischen Mensch04 und Auto03 => 1881.1522333711805
Distanz zwischen Mensch04 und Auto03_bw => 2034.4559641696212
Distanz zwischen Mensch04 und Auto03_mir => 1877.2226728972528
Distanz zwischen Mensch04 und Auto03_rot => 5086.038729845519
Distanz zwischen Mensch04 und Auto04 => 8151.586169249389
Distanz zwischen Mensch04 und Auto04_bw => 8836.40540006797
Distanz zwischen Mensch04 und Auto04_mir => 8255.584080366123
Distanz zwischen Mensch04 und Auto04_rot => 3573.684776743766
Distanz zwischen Mensch04 und Auto05 => 29651.528933957063
Distanz zwischen Mensch04 und Auto05_bw => 29883.42239182602
Distanz zwischen Mensch04 und Auto05_mir => 29653.221830495964
Distanz zwischen Mensch04 und Auto05_rot => 23400.31252851767
Distanz zwischen Mensch04 und Auto06 => 28885.68967402112
Distanz zwischen Mensch04 und Auto06_bw => 28852.90069447927
Distanz zwischen Mensch04 und Auto06_mir => 28786.33943023745
Distanz zwischen Mensch04 und Auto06_rot => 22518.184191975182
Distanz zwischen Mensch04 und Auto07 => 18273.886953790992
Distanz zwischen Mensch04 und Auto08 => 12409.64027461325
Distanz zwischen Mensch04 und Auto08_bw => 11340.258402146213
Distanz zwischen Mensch04 und Auto08_mir => 12421.967870952276
Distanz zwischen Mensch04 und Auto08_rot => 6979.618770990025
Distanz zwischen Mensch04 und Auto09 => 12285.34184190686
Distanz zwischen Mensch04 und Auto09_bw => 12819.091145281192
Distanz zwischen Mensch04 und Auto09_mir => 12281.280117766883
Distanz zwischen Mensch04 und Auto09_rot => 6773.607690053549
Distanz zwischen Mensch04 und Auto10 => 23245.264358434844
Distanz zwischen Mensch04 und Auto10_bw => 22957.35347555392
Distanz zwischen Mensch04 und Auto10_mir => 23327.48886113454
Distanz zwischen Mensch04 und Auto10_rot => 15623.63193623113
Distanz zwischen Mensch04 und Bike01 => 11519.634362440203
Distanz zwischen Mensch04 und Bike01_bw => 10955.382613187448
Distanz zwischen Mensch04 und Bike01_mir => 11503.041718378136
Distanz zwischen Mensch04 und Bike01_rot => 16430.436956635553
Distanz zwischen Mensch04 und Bike02 => 24513.499015277226
Distanz zwischen Mensch04 und Bike02_bw => 24571.229365675743
Distanz zwischen Mensch04 und Bike02_mir => 24566.378153654463
Distanz zwischen Mensch04 und Bike02_rot => 13121.382468452372
Distanz zwischen Mensch04 und Bike03 => 3881.821433939116
Distanz zwischen Mensch04 und Bike03_bw => 3595.6699778009092
Distanz zwischen Mensch04 und Bike03_mir => 3869.0649477340426
