Zeitstempel: 2020-09-23T15:59:01.124  ///  Zu vergleichendes Bild: Landschaft10
Distanz zwischen Landschaft10 und Landschaft05_bw => 4104.719481383022
Distanz zwischen Landschaft10 und Landschaft05_mir => 3541.4296919197104
Distanz zwischen Landschaft10 und Landschaft05_rot => 2154.8752112627535
Distanz zwischen Landschaft10 und Landschaft07 => 1280.6606612096975
Distanz zwischen Landschaft10 und Landschaft07_bw => 1348.6491227371537
Distanz zwischen Landschaft10 und Landschaft07_mir => 1342.3906562038378
Distanz zwischen Landschaft10 und Landschaft07_rot => 1891.6838527406162
Distanz zwischen Landschaft10 und Landschaft09 => 853.9761340931002
Distanz zwischen Landschaft10 und Landschaft09_bw => 461.09350414181785
Distanz zwischen Landschaft10 und Landschaft09_mir => 976.937957636644
Distanz zwischen Landschaft10 und Landschaft09_rot => 1329.1752058677484
Distanz zwischen Landschaft10 und Landschaft10 => 0.0
Distanz zwischen Landschaft10 und Landschaft10_bw => 288.29301219386724
Distanz zwischen Landschaft10 und Landschaft10_mir => 112.0847158134396
Distanz zwischen Landschaft10 und Landschaft10_rot => 754.8762456137742
Distanz zwischen Landschaft10 und Mensch01 => 31009.88940421754
Distanz zwischen Landschaft10 und Mensch01_bw => 30960.21902540493
Distanz zwischen Landschaft10 und Mensch01_mir => 31133.450763926256
Distanz zwischen Landschaft10 und Mensch01_rot => 23248.94361972723
Distanz zwischen Landschaft10 und Mensch02 => 20609.32557189599
Distanz zwischen Landschaft10 und Mensch02_bw => 20931.51888107265
Distanz zwischen Landschaft10 und Mensch02_mir => 20424.488377739264
Distanz zwischen Landschaft10 und Mensch02_rot => 16926.73529568102
Distanz zwischen Landschaft10 und Mensch03 => 5348.794561532086
Distanz zwischen Landschaft10 und Mensch03_bw => 5234.769956110649
Distanz zwischen Landschaft10 und Mensch03_mir => 5356.214067256249
Distanz zwischen Landschaft10 und Mensch03_rot => 4681.242015627119
Distanz zwischen Landschaft10 und Mensch04 => 28602.799267886658
Distanz zwischen Landschaft10 und Mensch05 => 25691.590004887443
Distanz zwischen Landschaft10 und Mensch05_bw => 25531.480317885424
Distanz zwischen Landschaft10 und Mensch05_mir => 25522.72625036633
Distanz zwischen Landschaft10 und Mensch05_rot => 22231.06879726212
Distanz zwischen Landschaft10 und Mensch06 => 19234.294750513312
Distanz zwischen Landschaft10 und Mensch06_bw => 19035.718801599833
Distanz zwischen Landschaft10 und Mensch06_mir => 19251.433455206457
Distanz zwischen Landschaft10 und Mensch06_rot => 15502.795775093871
Distanz zwischen Landschaft10 und Mensch07 => 23975.195534152706
Distanz zwischen Landschaft10 und Mensch07_bw => 23820.45588376552
Distanz zwischen Landschaft10 und Mensch07_mir => 23728.722205234022
Distanz zwischen Landschaft10 und Mensch07_rot => 20220.338204813976
Distanz zwischen Landschaft10 und Mensch08 => 14159.216726263732
Distanz zwischen Landschaft10 und Mensch08_bw => 14266.27569192284
Distanz zwischen Landschaft10 und Mensch08_mir => 14062.37944875184
Distanz zwischen Landschaft10 und Mensch08_rot => 10521.896978695551
Distanz zwischen Landschaft10 und Mensch09 => 32642.441332726674
Distanz zwischen Landschaft10 und Mensch09_bw => 32942.12339501592
Distanz zwischen Landschaft10 und Mensch09_mir => 32827.2255885773
Distanz zwischen Landschaft10 und Mensch09_rot => 25757.484309323154
Distanz zwischen Landschaft10 und Mensch10 => 25552.75830287893
Distanz zwischen Landschaft10 und Mensch10_bw => 25396.38023844761
Distanz zwischen Landschaft10 und Mensch10_mir => 25078.565281937044
Distanz zwischen Landschaft10 und Mensch10_rot => 19123.10518119028
Distanz zwischen Landschaft10 und Pferd01 => 25564.95577956575
Distanz zwischen Landschaft10 und Pferd01_bw => 26405.364252771025
Distanz zwischen Landschaft10 und Pferd01_mir => 25626.792728244767
Distanz zwischen Landschaft10 und Pferd01_rot => 17713.691710460487
Distanz zwischen Landschaft10 und Pferd02 => 39584.083624370505
Distanz zwischen Landschaft10 und Pferd02_bw => 39842.119592503215
Distanz zwischen Landschaft10 und Pferd02_mir => 39161.60592263378
Distanz zwischen Landschaft10 und Pferd02_rot => 33322.81690183765
Distanz zwischen Landschaft10 und Pferd03 => 17991.863720978232
Distanz zwischen Landschaft10 und Pferd03_bw => 18671.247500867074
Distanz zwischen Landschaft10 und Pferd03_mir => 17971.579345200636
Distanz zwischen Landschaft10 und Pferd03_rot => 14771.36574724875
Distanz zwischen Landschaft10 und Pferd04 => 18303.9993589166
Distanz zwischen Landschaft10 und Pferd04_bw => 19065.233195324996
Distanz zwischen Landschaft10 und Pferd04_mir => 18427.323303570643
Distanz zwischen Landschaft10 und Pferd04_rot => 16369.593169876762
Distanz zwischen Landschaft10 und Pferd05 => 21636.291113338717
Distanz zwischen Landschaft10 und Pferd05_bw => 22175.55077236667
Distanz zwischen Landschaft10 und Pferd05_mir => 21726.34738985006
Distanz zwischen Landschaft10 und Pferd05_rot => 16579.771810663
Distanz zwischen Landschaft10 und Pferd06 => 43090.03355084726
Distanz zwischen Landschaft10 und Pferd06_bw => 42687.730153111275
Distanz zwischen Landschaft10 und Pferd06_mir => 42452.48068914385
Distanz zwischen Landschaft10 und Pferd06_rot => 32124.27357075874
Distanz zwischen Landschaft10 und Pferd07 => 41515.13476712169
Distanz zwischen Landschaft10 und Pferd07_bw => 40598.222959663406
Distanz zwischen Landschaft10 und Pferd07_mir => 41159.7124680449
Distanz zwischen Landschaft10 und Pferd07_rot => 26109.476094548325
Distanz zwischen Landschaft10 und Pferd08 => 26193.080914068643
Distanz zwischen Landschaft10 und Pferd08_bw => 26550.43053512167
Distanz zwischen Landschaft10 und Pferd08_mir => 26156.60206796414
Distanz zwischen Landschaft10 und Pferd08_rot => 18845.464192876872
Distanz zwischen Landschaft10 und Pferd09 => 22525.825813723375
Distanz zwischen Landschaft10 und Pferd09_bw => 22772.603286663314
Distanz zwischen Landschaft10 und Pferd09_mir => 22807.468287093347
Distanz zwischen Landschaft10 und Pferd09_rot => 20416.19957780561
Distanz zwischen Landschaft10 und Pferd10 => 24186.3081845212
Distanz zwischen Landschaft10 und Pferd10_bw => 24266.681907283408
Distanz zwischen Landschaft10 und Pferd10_mir => 24141.491834373384
Distanz zwischen Landschaft10 und Pferd10_rot => 21129.21597265653
Distanz zwischen Landschaft10 und Rad01 => 100595.54499958151
Distanz zwischen Landschaft10 und Rad01_bw => 100568.58125410999
Distanz zwischen Landschaft10 und Rad01_mir => 100593.36395628865
Distanz zwischen Landschaft10 und Rad01_rot => 90252.574292327
Distanz zwischen Landschaft10 und Rad03 => 80080.82484737605
Distanz zwischen Landschaft10 und Rad03_bw => 79334.51931737627
Distanz zwischen Landschaft10 und Rad03_mir => 80080.52006428906
Distanz zwischen Landschaft10 und Rad03_rot => 71324.93928294313
Distanz zwischen Landschaft10 und Rad04 => 77227.62873980516
Distanz zwischen Landschaft10 und Rad04_bw => 77331.13051893777
Distanz zwischen Landschaft10 und Rad04_mir => 77227.4004922782
Distanz zwischen Landschaft10 und Rad04_rot => 69347.1659235977
Distanz zwischen Landschaft10 und Rad05 => 88527.81273703508
Distanz zwischen Landschaft10 und Rad06 => 110522.59769288596
Distanz zwischen Landschaft10 und Rad07 => 83843.07950018071
Distanz zwischen Landschaft10 und Rad07_bw => 83481.3503049024
Distanz zwischen Landschaft10 und Rad07_mir => 83842.34736630469
Distanz zwischen Landschaft10 und Rad07_rot => 76466.67545641474
Distanz zwischen Landschaft10 und Rad08 => 92961.86296773398
Distanz zwischen Landschaft10 und Rad08_bw => 93683.49765775767
Distanz zwischen Landschaft10 und Rad08_mir => 92964.871033773
Distanz zwischen Landschaft10 und Rad08_rot => 85473.32849429018
Distanz zwischen Landschaft10 und Rad09 => 92284.70449509175
Distanz zwischen Landschaft10 und Rad09_bw => 91228.09512756202
Distanz zwischen Landschaft10 und Rad09_mir => 92285.88853101239
Distanz zwischen Landschaft10 und Rad09_rot => 84267.70282040571
Distanz zwischen Landschaft10 und Rad10 => 45286.29479048477
Distanz zwischen Landschaft10 und Rad10_bw => 43949.374893127155
Distanz zwischen Landschaft10 und Rad10_mir => 45137.921849142534
Distanz zwischen Landschaft10 und Rad10_rot => 40459.58564609323
Distanz zwischen Landschaft10 und Schaf01 => 50793.85396205325
Distanz zwischen Landschaft10 und Schaf01_bw => 50494.685533706695
Distanz zwischen Landschaft10 und Schaf01_mir => 50947.41460799157
Distanz zwischen Landschaft10 und Schaf01_rot => 42280.32357018775
Distanz zwischen Landschaft10 und Schaf02 => 30419.420856785284
Distanz zwischen Landschaft10 und Schaf03 => 22559.884833230983
Distanz zwischen Landschaft10 und Schaf03_bw => 21898.25310967554
Distanz zwischen Landschaft10 und Schaf03_mir => 22639.594585999825
Distanz zwischen Landschaft10 und Schaf03_rot => 21296.560597407006
Distanz zwischen Landschaft10 und Schaf04 => 19050.23089620687
Distanz zwischen Landschaft10 und Schaf04_bw => 18279.979561303597
Distanz zwischen Landschaft10 und Schaf04_mir => 18705.157830698205
Distanz zwischen Landschaft10 und Schaf04_rot => 18176.510485085375
Distanz zwischen Landschaft10 und Schaf06 => 28315.829196056868
Distanz zwischen Landschaft10 und Schaf06_bw => 27322.5561607517
Distanz zwischen Landschaft10 und Schaf06_mir => 28385.89458690127
Distanz zwischen Landschaft10 und Schaf06_rot => 27378.78814414893
Distanz zwischen Landschaft10 und Schaf07 => 29971.27305579804
Distanz zwischen Landschaft10 und Schaf07_bw => 29310.416008282544
Distanz zwischen Landschaft10 und Schaf07_mir => 30079.445320797455
Distanz zwischen Landschaft10 und Schaf07_rot => 28539.608142632147
Distanz zwischen Landschaft10 und Schaf10 => 42849.32334938972
Distanz zwischen Landschaft10 und Schaf10_bw => 41851.188167667955
Distanz zwischen Landschaft10 und Schaf10_mir => 42671.12277467925
Distanz zwischen Landschaft10 und Schaf10_rot => 39009.075550703805
___________________________________________________________________________________


Execution Time: 411 s
Score (Image): 13

Score (Schwarz-wei�): 8
Score (Rotiert 90 Grad): 5
Score (Gespiegelt): 9
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 373
Berechnungszeit Cluster: 3937
Berechnungszeit Distanz: 144
Gesamt:  4454 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 378
Berechnungszeit Cluster: 3700
Berechnungszeit Distanz: 336
Gesamt:  4414 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 399
Berechnungszeit Cluster: 3685
Berechnungszeit Distanz: 60
Gesamt:  4144 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 303
Berechnungszeit Cluster: 3875
Berechnungszeit Distanz: 233
Gesamt:  4411 ms

Für Auto02.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 2946
Berechnungszeit Distanz: 265
Gesamt:  3501 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 308
Berechnungszeit Cluster: 2758
Berechnungszeit Distanz: 270
Gesamt:  3336 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 2524
Berechnungszeit Distanz: 265
Gesamt:  3081 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 275
Berechnungszeit Cluster: 2114
Berechnungszeit Distanz: 293
Gesamt:  2682 ms

Für Auto03.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 698
Berechnungszeit Distanz: 271
Gesamt:  1160 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 734
Berechnungszeit Distanz: 142
Gesamt:  1067 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 195
Berechnungszeit Cluster: 702
Berechnungszeit Distanz: 141
Gesamt:  1038 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 189
Berechnungszeit Cluster: 574
Berechnungszeit Distanz: 161
Gesamt:  924 ms

Für Auto04.png: 
Berechnungszeit KPs: 231
Berechnungszeit Cluster: 1558
Berechnungszeit Distanz: 161
Gesamt:  1950 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1231
Berechnungszeit Distanz: 173
Gesamt:  1637 ms

Für Auto04_mir.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1352
Berechnungszeit Distanz: 156
Gesamt:  1741 ms

Für Auto04_rot.png: 
Berechnungszeit KPs: 224
Berechnungszeit Cluster: 954
Berechnungszeit Distanz: 173
Gesamt:  1351 ms

Für Auto05.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 3031
Berechnungszeit Distanz: 142
Gesamt:  3463 ms

Für Auto05_bw.png: 
Berechnungszeit KPs: 297
Berechnungszeit Cluster: 3106
Berechnungszeit Distanz: 137
Gesamt:  3540 ms

Für Auto05_mir.png: 
Berechnungszeit KPs: 293
Berechnungszeit Cluster: 3009
Berechnungszeit Distanz: 157
Gesamt:  3459 ms

Für Auto05_rot.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 3004
Berechnungszeit Distanz: 133
Gesamt:  3418 ms

Für Auto06.png: 
Berechnungszeit KPs: 315
Berechnungszeit Cluster: 3511
Berechnungszeit Distanz: 151
Gesamt:  3977 ms

