Zeitstempel: 2020-09-23T13:14:09.812  ///  Zu vergleichendes Bild: Auto05

________________________________________________________________________________________
Distanzen zwischen den Bildern:

Distanz zwischen Auto05 und Auto01 => 10833.506404116919
Distanz zwischen Auto05 und Auto01_bw => 10346.782568133478
Distanz zwischen Auto05 und Auto01_mir => 10831.589302620507
Distanz zwischen Auto05 und Auto01_rot => 2113.209753947149
Distanz zwischen Auto05 und Auto02 => 1445.2719378267052
Distanz zwischen Auto05 und Auto02_bw => 1134.0364314025378
Distanz zwischen Auto05 und Auto02_mir => 1459.443671935449
Distanz zwischen Auto05 und Auto02_rot => 9609.679864156886
Distanz zwischen Auto05 und Auto03 => 32028.374771208528
Distanz zwischen Auto05 und Auto03_bw => 32007.748713431378
Distanz zwischen Auto05 und Auto03_mir => 31970.975556465117
Distanz zwischen Auto05 und Auto03_rot => 35421.400496723254
Distanz zwischen Auto05 und Auto04 => 21896.57108324785
Distanz zwischen Auto05 und Auto04_bw => 21141.925638016193
Distanz zwischen Auto05 und Auto04_mir => 22187.421118218866
Distanz zwischen Auto05 und Auto04_rot => 26612.149824189033
Distanz zwischen Auto05 und Auto05 => 0.0
Distanz zwischen Auto05 und Auto05_bw => 504.6725410688865
Distanz zwischen Auto05 und Auto05_mir => 13.977096586001124
Distanz zwischen Auto05 und Auto05_rot => 6460.500309116692
Distanz zwischen Auto05 und Auto06 => 1281.829884637129
Distanz zwischen Auto05 und Auto06_bw => 1269.2791799159932
Distanz zwischen Auto05 und Auto06_mir => 1272.930243703
Distanz zwischen Auto05 und Auto06_rot => 7841.12558150912
Distanz zwischen Auto05 und Auto07 => 11934.623339483122
Distanz zwischen Auto05 und Auto08 => 17869.37744760122
Distanz zwischen Auto05 und Auto08_bw => 18911.2182985348
Distanz zwischen Auto05 und Auto08_mir => 17887.14605144453
Distanz zwischen Auto05 und Auto08_rot => 23395.618962379984
Distanz zwischen Auto05 und Auto09 => 18014.27633636904
Distanz zwischen Auto05 und Auto09_bw => 17439.051357602555
Distanz zwischen Auto05 und Auto09_mir => 18011.35257911238
Distanz zwischen Auto05 und Auto09_rot => 23743.898031634137
Distanz zwischen Auto05 und Auto10 => 6645.784429841934
Distanz zwischen Auto05 und Auto10_bw => 6865.611652321655
Distanz zwischen Auto05 und Auto10_mir => 6705.430220243979
Distanz zwischen Auto05 und Auto10_rot => 14313.988592340344
Distanz zwischen Auto05 und Bike01 => 41868.39432436068
Distanz zwischen Auto05 und Bike01_bw => 41270.93033189285
Distanz zwischen Auto05 und Bike01_mir => 41844.5503560607
Distanz zwischen Auto05 und Bike01_rot => 46738.96455085437
Distanz zwischen Auto05 und Bike02 => 6183.728731790377
Distanz zwischen Auto05 und Bike02_bw => 5965.936391288789
Distanz zwischen Auto05 und Bike02_mir => 6135.386471856179
Distanz zwischen Auto05 und Bike02_rot => 17809.35547000212
Distanz zwischen Auto05 und Bike03 => 34055.73422388037
Distanz zwischen Auto05 und Bike03_bw => 33684.81203308668
Distanz zwischen Auto05 und Bike03_mir => 33972.23717177185
Distanz zwischen Auto05 und Bike03_rot => 40562.76865134059
Distanz zwischen Auto05 und Bike04 => 13758.877352495507
